,BE,NL,FR,CH,AT,CZ,GB,NO_2,HU,IT_NORD,ES,SI,RS,PL,ME,DK_1,RO,LT,BG,SE_3,LV,BA,NO_1,SE_4,NO_5,SK,EE,DK_2,FI,NO_4,SE_1,SE_2,DE_LU,MK,PT,GR,NO_3,IT_SUD,IT_CSUD,IT_CNOR,IT_SARD,IT_SICI,IT_CALA,HR
2026-01-01 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,48.56750669555476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,158.2524249342072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.35478417252244,0.0,0.0,0.0,153.5806470367083,147.02904572356564,681.4082075292531,1398.567785757751,0.0,4.396286534861457,127.59185681008655,10.144564294767191,46.94928432174321,0.0,0.0,0.0,0.0,136.65760618897937,0.0
2026-01-01 01:00:00+00:00,0.0,0.0,45.008154397414856,0.0,0.0,52.704286157431035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139.23396293699972,0.0,0.8915368663763309,0.0,0.0,0.0,0.0,0.0,13.295947104498884,0.0,57.37160213086602,0.0,0.0,0.0,0.0,127.3355601095232,679.5197613156461,1526.299067440787,0.0,19.830671379127576,97.94375822828404,0.0,52.40791038833837,0.0,0.0,0.0,0.0,147.6577815447069,0.0
2026-01-01 02:00:00+00:00,0.0,0.0,241.2497132958765,0.0,0.0,52.592384680624725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3158607337445303,0.0,77.99575176437502,0.0,13.5782571441653,0.0,62.6074666256778,0.0,0.0,0.0,0.0,0.0,53.74828359071296,0.0,0.0,0.0,53.52482334447445,88.17944462249896,547.5629244692705,1365.7788677258368,0.0,0.0,63.54396820309553,0.0,49.75037663982768,0.0,0.0,0.0,0.0,122.82187715981958,0.0
2026-01-01 03:00:00+00:00,0.0,0.0,223.61404733660632,0.0,0.0,48.77982867519289,22.280850888141963,0.0,0.0,0.0,0.0,0.0,0.0,39.920810014369216,0.0,59.5051066411771,0.0,13.951240479190428,0.0,63.10622536164519,0.0,0.0,0.0,0.0,9.59409630550933,41.32240883946944,0.0,0.0,0.0,0.0,72.30231330513556,492.24112650594867,1313.3704642756297,0.0,0.0,36.1673435955207,0.0,31.593103951647453,0.0,0.0,0.0,0.0,115.25103382481637,0.0
2026-01-01 04:00:00+00:00,0.0,0.0,131.00373934204825,0.0,0.0,38.9139434737397,75.9713733975443,0.0,0.0,0.0,0.0,0.0,0.0,90.47048274175552,0.0,26.895166115759586,0.0,12.771468465247509,0.0,58.78087972188795,0.0,0.0,0.0,0.0,21.355508983860798,35.503486992671824,0.0,0.0,0.0,0.0,71.24977756833316,481.4346797913118,1300.5120220878175,0.0,0.0,30.7408013263394,0.0,25.88659738641862,0.0,0.0,0.0,0.0,111.26007260526387,0.0
2026-01-01 05:00:00+00:00,0.0,0.0,0.0,0.0,0.0,50.34034892783498,113.30685530237163,0.0,0.0,0.0,0.0,0.0,0.0,187.8882317579905,0.0,15.44453426101281,0.0,0.0,0.0,58.526656146995904,0.0,0.0,0.0,0.0,31.864086087612417,35.23717749065997,0.0,0.0,0.0,0.0,88.34896584452831,529.3107940899918,1604.9941229089202,0.0,0.0,3.825397144632674,0.0,30.615978262955355,0.0,0.0,18.113564839894842,0.0,122.93328693459844,0.0
2026-01-01 06:00:00+00:00,0.0,0.0,88.43409918947462,0.0,0.0,26.33965343722798,70.64028913705934,0.0,0.0,0.0,0.0,0.0,0.0,229.5853976210479,0.0,4.93269468194852,0.0,0.0,0.0,34.241326572116144,0.0,0.0,0.0,0.0,43.531643532966335,51.3575319325692,0.0,0.0,0.0,3.3857944970084923,107.5273945557516,552.0004090781147,1687.648041104342,0.0,0.0,14.31885704330649,0.0,52.670391023246005,0.0,0.0,0.0,0.0,129.63647659382087,0.0
2026-01-01 07:00:00+00:00,0.0,0.0,33.453854934870606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,233.7038610302718,0.0,6.72333414379595,36.11445639519331,0.0,47.25488698787625,0.0,0.0,0.0,0.0,0.0,50.01892435810347,25.514191109789703,0.0,0.0,0.0,132.20258573689676,96.55742189590003,488.41095821060696,1409.0020492400051,0.0,0.0,83.98995884249688,0.0,62.827737867950596,0.0,0.0,2.068718198091056,0.0,120.40706104815163,0.0
2026-01-01 08:00:00+00:00,3.962196639084953,0.0,143.06575205245082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,206.49672578543843,0.0,6.971707279869563,65.62133726754134,0.0,69.41091046078039,0.0,0.0,0.0,0.0,0.0,42.616820323967964,0.9461719060042513,0.0,0.0,0.0,0.0,88.67308138026121,426.67141686955114,1162.6970768794956,0.0,0.0,96.49162065861996,0.0,84.27606908041355,0.0,0.0,17.034351354224654,0.0,51.31476206229625,0.0
2026-01-01 09:00:00+00:00,0.0,0.0,285.5714457251247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,189.94257846892953,0.0,12.161761366408259,69.02098162534234,0.0,48.682738635914845,0.0,0.0,0.0,0.0,0.0,50.107719818704304,0.0,0.0,0.0,0.0,71.13786118590241,72.97194101269116,362.48336361123177,969.9152267241559,0.0,0.0,87.40296432047799,0.0,101.84908858492253,0.0,0.0,11.229620496356198,0.0,31.27270842383792,0.0
2026-01-01 10:00:00+00:00,0.0,0.0,296.18742690144103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,207.0360683004823,0.0,13.417988761050813,79.54738719322032,0.0,5.240012181873028,0.0,0.0,0.0,0.0,0.0,59.705010088113596,0.0,0.0,0.0,0.0,89.25808586463481,82.06733647446053,398.4810621656208,1041.9753106231203,0.0,0.0,96.40733020782392,0.0,130.4740798439783,0.0,0.0,0.0,0.0,31.202901394180227,0.0
2026-01-01 11:00:00+00:00,0.0,0.0,486.2689917690897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.309475284214039,0.0,0.0,192.6483644232423,0.0,9.470737223319526,75.49874390873038,0.0,5.754388724851735,0.0,0.0,0.0,0.0,0.0,15.11535480035174,0.0,0.0,0.0,0.0,77.8039380129401,77.7060697606673,371.10847735482537,880.2125129582727,0.0,0.0,82.53071008892725,0.0,133.55048803390662,0.0,0.0,0.0,0.0,30.021747656661518,0.0
2026-01-01 12:00:00+00:00,0.0,0.0,436.6000391463716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.72012830727448,0.0,21.58507595003851,63.35618363488288,0.0,0.9227473846245644,0.0,0.0,0.0,0.0,0.0,21.616165821488128,0.0,0.0,0.0,0.0,67.1876993923334,77.63016541482999,362.98171074339984,870.395771887988,0.0,0.0,56.27639810837662,0.0,112.12251239589057,0.0,0.0,6.926823358974161,0.0,28.42857845352771,0.0
2026-01-01 13:00:00+00:00,0.0,0.0,539.6917013604613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.4279942103988,0.0,30.297447888046584,44.57154258983303,6.000574842789207,0.0,0.0,0.0,0.0,0.0,0.0,23.82410048188612,1.429227826191612,0.0,0.0,0.0,36.2058926928455,79.91311005784848,366.8654479893963,901.980953383892,0.0,0.0,23.084635703279773,0.0,106.65264134719078,0.0,0.0,7.564361013940333,0.0,25.990368612000122,0.0
2026-01-01 14:00:00+00:00,0.0,0.0,475.2850632263458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.2990540832485,0.0,96.21898848412096,0.0,23.08429589328529,18.880503846986926,10.489596416748752,0.0,0.0,0.0,0.0,0.0,0.0,9.72888580464994,16.47778720473741,0.0,0.0,0.0,98.24327405898086,97.78145985939304,403.2317855528783,982.5533254085899,0.0,0.0,0.0,0.0,92.06779195671494,0.0,0.0,2.039679381512843,0.0,47.772113312917156,6.846395508889345
2026-01-01 15:00:00+00:00,0.0,0.0,557.1880601212223,0.0,0.0,0.276413360128357,0.0,0.0,0.0,0.0,0.0,26.03732153879128,0.0,109.13834305915695,0.0,61.92203923742668,13.28554263434717,14.96172414330293,0.0,0.0,0.0,0.0,0.0,0.0,8.898331568664423,19.485099425797685,0.0,0.0,0.0,35.522520881915455,113.45474873209749,442.3063103969351,989.8947932329112,0.0,0.0,0.0,0.0,53.70316711065414,0.0,0.0,0.0,0.0,80.064559485458,8.611025071191094
2026-01-01 16:00:00+00:00,0.0,0.0,618.7409731135392,0.0,0.0,2.557741715238228,0.0,3.6093410949344236,0.0,0.0,0.0,42.2139893646943,0.0,128.26962191287092,0.0,47.77051447510042,5.325503263060568,14.467367215107037,0.0,0.0,0.0,0.0,0.0,0.0,23.870255819865534,30.443877049293068,0.0,0.0,0.0,2.6297485201247026,132.2855014270602,506.7628908062326,1081.4567013140093,0.0,65.95823327600853,0.0,0.0,56.76536451883556,0.0,0.0,0.0,0.0,84.99803260140654,3.6243425126190987
2026-01-01 17:00:00+00:00,0.0,0.0,445.2394935107458,0.0,0.0,0.0,0.0,21.355911062788746,0.0,0.0,0.0,43.85414203259258,0.0,161.80323176389578,0.0,77.44066841330635,4.254271235704976,17.21272173386171,0.0,0.0,0.0,0.0,0.0,0.0,20.782264200920494,31.245516643841057,0.0,7.697810345821617,0.0,83.94144686817747,144.48274400107036,533.1003079553873,1135.8241023769458,0.0,141.56808740232938,0.0,0.0,74.83936226801364,0.0,0.0,0.0,0.0,96.29309172632327,7.314826458273731
