,NL_NO_2,NO_2_NL,GB_NO_2,NO_2_GB,NO_2_DE_LU,DE_LU_NO_2,NO_2_DK_1,DK_1_NO_2,NO_2_NO_1,NO_1_NO_2,NO_2_NO_5,NO_5_NO_2,NO_2_DE_LU_net_export,NO_2_DK_1_net_export,NO_2_NL_net_export,NO_2_NO_1_net_export,NO_2_NO_5_net_export,NO_2_GB_net_export,Net Export
2026-01-01 00:00:00+00:00,0.0,576.775,0.0,671.6,0.0,1349.5,0.0,1623.75,0.0,0.0,945.6,0.0,-1349.5,-1623.75,576.775,0.0,945.6,671.6,-779.275
2026-01-01 01:00:00+00:00,0.0,321.55,0.0,694.9,0.0,1289.5,0.0,1680.0,457.925,0.0,511.375,0.0,-1289.5,-1680.0,321.55,457.925,511.375,694.9,-983.7499999999997
2026-01-01 02:00:00+00:00,88.125,77.25,0.0,398.9,0.0,1115.0,0.0,1680.0,297.825,0.0,759.725,0.0,-1115.0,-1680.0,-10.875,297.825,759.725,398.9,-1349.4250000000002
2026-01-01 03:00:00+00:00,112.3,0.0,0.0,20.5,0.0,1045.5,0.0,1680.0,244.475,0.0,735.875,0.0,-1045.5,-1680.0,-112.3,244.475,735.875,20.5,-1836.9500000000003
2026-01-01 04:00:00+00:00,86.95,0.0,141.9,0.0,0.0,1181.25,0.0,1680.0,297.25,0.0,879.65,0.0,-1181.25,-1680.0,-86.95,297.25,879.65,-141.9,-1913.1999999999998
2026-01-01 05:00:00+00:00,6.45,23.75,147.7,0.0,0.0,1399.0,0.0,1680.0,702.525,0.0,704.35,0.0,-1399.0,-1680.0,17.3,702.525,704.35,-147.7,-1802.5249999999999
2026-01-01 06:00:00+00:00,0.0,149.32500000000002,363.3,0.0,0.0,1399.0,0.0,1680.0,1368.55,0.0,0.0,0.0,-1399.0,-1680.0,149.32500000000002,1368.55,0.0,-363.3,-1924.4250000000002
2026-01-01 07:00:00+00:00,0.0,124.425,228.6,0.0,0.0,1399.0,0.0,1680.0,1128.85,0.0,0.0,0.0,-1399.0,-1680.0,124.425,1128.85,0.0,-228.6,-2054.325
2026-01-01 08:00:00+00:00,157.05,63.3,141.2,0.0,0.0,1131.25,0.0,1680.0,1035.225,0.0,0.0,0.0,-1131.25,-1680.0,-93.75000000000001,1035.225,0.0,-141.2,-2010.9750000000001
2026-01-01 09:00:00+00:00,381.7,0.0,0.0,0.0,0.0,982.0,0.0,1680.0,664.275,0.0,0.0,0.0,-982.0,-1680.0,-381.7,664.275,0.0,0.0,-2379.4249999999997
