,DK_1_SE_3,SE_3_DK_1,SE_3_FI,FI_SE_3,SE_3_NO_1,NO_1_SE_3,SE_3_SE_2,SE_2_SE_3,SE_3_SE_4,SE_4_SE_3,SE_3_DK_1_net_export,SE_3_FI_net_export,SE_3_NO_1_net_export,SE_3_SE_2_net_export,SE_3_SE_4_net_export,Net Export
2026-01-01 00:00:00+00:00,0.0,508.0,1200.0,0.0,0.0,1265.5,0.0,4118.0,2840.5,0.0,508.0,1200.0,-1265.5,-4118.0,2840.5,-835.0
2026-01-01 01:00:00+00:00,0.0,16.5,1200.0,0.0,1229.25,0.0,0.0,5594.75,2467.25,0.0,16.5,1200.0,1229.25,-5594.75,2467.25,-681.75
2026-01-01 02:00:00+00:00,0.0,235.5,1200.0,0.0,0.0,1810.75,0.0,1633.0,2639.75,0.0,235.5,1200.0,-1810.75,-1633.0,2639.75,631.5
2026-01-01 03:00:00+00:00,0.0,733.0,1200.0,0.0,874.5,0.0,0.0,3797.0,1719.75,0.0,733.0,1200.0,874.5,-3797.0,1719.75,730.25
2026-01-01 04:00:00+00:00,0.0,733.0,1200.0,0.0,872.0,1465.0,0.0,2341.75,1761.0,0.0,733.0,1200.0,-593.0,-2341.75,1761.0,759.25
2026-01-01 05:00:00+00:00,0.0,733.0,1200.0,0.0,543.75,736.0,0.0,2743.75,1621.0,0.0,733.0,1200.0,-192.25,-2743.75,1621.0,618.0
2026-01-01 06:00:00+00:00,0.0,733.0,1200.0,0.0,541.5,0.0,0.0,3640.0,1537.0,0.0,733.0,1200.0,541.5,-3640.0,1537.0,371.5
2026-01-01 07:00:00+00:00,0.0,733.0,1200.0,0.0,0.0,844.5,0.0,2506.75,1383.0,0.0,733.0,1200.0,-844.5,-2506.75,1383.0,-35.25
2026-01-01 08:00:00+00:00,0.0,733.0,1200.0,0.0,1819.75,890.0,0.0,4468.75,1093.75,0.0,733.0,1200.0,929.75,-4468.75,1093.75,-512.25
2026-01-01 09:00:00+00:00,0.0,733.0,1200.0,0.0,0.0,922.0,0.0,2776.0,736.75,0.0,733.0,1200.0,-922.0,-2776.0,736.75,-1028.25
2026-01-01 10:00:00+00:00,0.0,733.0,1200.0,0.0,683.5,981.75,0.0,3639.0,528.5,0.0,733.0,1200.0,-298.25,-3639.0,528.5,-1475.75
2026-01-01 11:00:00+00:00,0.0,733.0,1200.0,0.0,1312.25,0.0,0.0,5768.0,776.0,0.0,733.0,1200.0,1312.25,-5768.0,776.0,-1746.75
2026-01-01 12:00:00+00:00,0.0,733.0,1200.0,0.0,1347.75,0.0,0.0,6058.75,981.25,0.0,733.0,1200.0,1347.75,-6058.75,981.25,-1796.75
2026-01-01 13:00:00+00:00,0.0,611.0,1200.0,0.0,1335.5,0.0,0.0,6219.25,1151.5,0.0,611.0,1200.0,1335.5,-6219.25,1151.5,-1921.25
2026-01-01 14:00:00+00:00,0.0,70.75,1200.0,0.0,636.0,0.0,0.0,6108.5,1185.5,0.0,70.75,1200.0,636.0,-6108.5,1185.5,-3016.25
2026-01-01 15:00:00+00:00,81.75,0.0,1200.0,0.0,1270.75,1455.5,0.0,5606.0,1035.25,0.0,-81.75,1200.0,-184.75,-5606.0,1035.25,-3637.25
2026-01-01 16:00:00+00:00,8.25,20.75,1200.0,0.0,1878.75,0.0,0.0,7996.75,1272.75,0.0,12.5,1200.0,1878.75,-7996.75,1272.75,-3632.75
2026-01-01 17:00:00+00:00,0.0,111.5,1200.0,0.0,561.25,0.0,0.0,6915.75,1471.75,0.0,111.5,1200.0,561.25,-6915.75,1471.75,-3571.25
2026-01-01 18:00:00+00:00,0.0,277.5,1200.0,0.0,1158.5,0.0,0.0,7456.5,1347.25,0.0,277.5,1200.0,1158.5,-7456.5,1347.25,-3473.25
2026-01-01 19:00:00+00:00,0.0,509.25,1200.0,0.0,564.0,1527.0,0.0,5097.25,1148.5,0.0,509.25,1200.0,-963.0,-5097.25,1148.5,-3202.5
2026-01-01 20:00:00+00:00,0.0,705.75,1200.0,0.0,565.75,0.0,0.0,6370.0,1402.0,0.0,705.75,1200.0,565.75,-6370.0,1402.0,-2496.5
2026-01-01 21:00:00+00:00,0.0,730.5,1200.0,0.0,555.75,0.0,0.0,5943.25,1787.5,0.0,730.5,1200.0,555.75,-5943.25,1787.5,-1669.5
2026-01-01 22:00:00+00:00,0.0,733.0,1200.0,0.0,0.0,0.0,0.0,4739.5,1692.0,0.0,733.0,1200.0,0.0,-4739.5,1692.0,-1114.5
2026-01-01 23:00:00+00:00,0.0,668.25,1187.0,0.0,93.25,0.0,0.0,4115.5,403.0,4.25,668.25,1187.0,93.25,-4115.5,398.75,-1768.25
2026-01-02 00:00:00+00:00,0.0,712.0,968.0,0.0,137.5,0.0,0.0,3887.75,1357.75,0.0,712.0,968.0,137.5,-3887.75,1357.75,-712.5
2026-01-02 01:00:00+00:00,0.0,733.0,657.5,0.0,227.75,0.0,0.0,3638.5,1473.5,0.0,733.0,657.5,227.75,-3638.5,1473.5,-546.75
2026-01-02 02:00:00+00:00,0.0,645.0,508.75,0.0,244.0,0.0,0.0,3447.5,1702.0,0.0,645.0,508.75,244.0,-3447.5,1702.0,-347.75
2026-01-02 03:00:00+00:00,0.0,660.0,818.25,0.0,114.75,0.0,0.0,3741.25,1871.25,0.0,660.0,818.25,114.75,-3741.25,1871.25,-277.0
2026-01-02 04:00:00+00:00,0.0,619.25,1181.25,0.0,31.75,0.0,0.0,4074.75,1641.0,0.0,619.25,1181.25,31.75,-4074.75,1641.0,-601.5
2026-01-02 05:00:00+00:00,0.0,642.0,1200.0,0.0,0.0,0.0,0.0,5223.75,1768.25,0.0,642.0,1200.0,0.0,-5223.75,1768.25,-1613.5
2026-01-02 06:00:00+00:00,0.0,565.0,1086.0,0.0,0.0,0.0,0.0,6639.0,3103.25,0.0,565.0,1086.0,0.0,-6639.0,3103.25,-1884.75
2026-01-02 07:00:00+00:00,0.0,660.0,621.0,0.0,0.0,0.0,0.0,6745.75,3499.25,0.0,660.0,621.0,0.0,-6745.75,3499.25,-1965.5
2026-01-02 08:00:00+00:00,0.0,633.0,638.0,0.0,0.0,0.0,0.0,6743.0,3411.5,0.0,633.0,638.0,0.0,-6743.0,3411.5,-2060.5
2026-01-02 09:00:00+00:00,0.0,196.0,601.75,0.0,0.0,0.0,0.0,6403.25,3310.75,0.0,196.0,601.75,0.0,-6403.25,3310.75,-2294.75
2026-01-02 10:00:00+00:00,0.0,42.75,618.5,0.0,0.0,0.0,0.0,6392.25,3389.25,0.0,42.75,618.5,0.0,-6392.25,3389.25,-2341.75
2026-01-02 11:00:00+00:00,0.0,0.75,497.25,0.0,0.0,0.0,0.0,6363.5,3485.0,0.0,0.75,497.25,0.0,-6363.5,3485.0,-2380.5
