,AT_SI,SI_AT,HU_SI,SI_HU,IT_NORD_SI,SI_IT_NORD,SI_HR,HR_SI,SI_AT_net_export,SI_HR_net_export,SI_IT_NORD_net_export,SI_HU_net_export,Net Export
2026-01-01 00:00:00+00:00,2191.3,201.45,0.0,1211.85,680.0,0.0,1529.3,47.0,-1989.8500000000001,1482.3,-680.0,1211.85,24.299999999999727
2026-01-01 01:00:00+00:00,2243.125,210.60000000000002,0.0,0.0,680.0,0.0,2800.525,47.0,-2032.525,2753.525,-680.0,0.0,41.0
2026-01-01 02:00:00+00:00,2077.15,121.075,0.0,2194.525,680.0,0.0,351.0,46.0,-1956.075,305.0,-680.0,2194.525,-136.54999999999973
2026-01-01 03:00:00+00:00,2901.45,60.1,0.0,1176.025,680.0,0.0,2245.625,47.0,-2841.35,2198.625,-680.0,1176.025,-146.69999999999982
2026-01-01 04:00:00+00:00,3132.6,41.825,0.0,2162.275,680.0,0.0,1449.05,49.0,-3090.775,1400.05,-680.0,2162.275,-208.45000000000027
2026-01-01 05:00:00+00:00,3113.025,23.725,0.0,2136.2,680.0,0.0,1409.8,53.0,-3089.3,1356.8,-680.0,2136.2,-276.3000000000002
2026-01-01 06:00:00+00:00,327.575,73.05,0.0,0.0,680.0,0.0,708.575,52.0,-254.52499999999998,656.575,-680.0,0.0,-277.94999999999993
2026-01-01 07:00:00+00:00,1074.15,12.575,0.0,390.925,680.0,0.0,1059.65,50.0,-1061.575,1009.6500000000001,-680.0,390.925,-340.99999999999994
2026-01-01 08:00:00+00:00,175.8,75.4,0.0,159.85,680.0,0.0,428.625,69.3,-100.4,359.325,-680.0,159.85,-261.225
2026-01-01 09:00:00+00:00,63.275000000000006,123.45,7.55,49.625,499.25,0.0,351.0,126.275,60.175,224.725,-499.25,42.075,-172.27500000000003
2026-01-01 10:00:00+00:00,0.0,572.75,316.35,0.0,680.0,0.0,351.0,43.0,572.75,308.0,-680.0,-316.35,-115.60000000000002
2026-01-01 11:00:00+00:00,125.175,96.5,0.0,196.975,551.0,0.0,351.0,42.0,-28.674999999999997,309.0,-551.0,196.975,-73.70000000000002
2026-01-01 12:00:00+00:00,231.85,115.60000000000001,0.0,457.65000000000003,680.0,0.0,449.25,41.0,-116.24999999999999,408.25,-680.0,457.65000000000003,69.65000000000003
2026-01-01 13:00:00+00:00,809.575,302.825,0.0,0.0,680.0,0.0,1253.7,43.0,-506.75000000000006,1210.7,-680.0,0.0,23.950000000000045
2026-01-01 14:00:00+00:00,867.725,405.2,0.0,0.0,680.0,0.0,1366.275,45.0,-462.52500000000003,1321.275,-680.0,0.0,178.75
2026-01-01 15:00:00+00:00,837.075,1081.425,870.625,1410.7250000000001,680.0,0.0,351.0,48.0,244.3499999999999,303.0,-680.0,540.1000000000001,407.45000000000005
2026-01-01 16:00:00+00:00,169.175,0.0,0.0,989.9,680.0,0.0,351.0,52.0,-169.175,299.0,-680.0,989.9,439.725
2026-01-01 17:00:00+00:00,1502.525,0.0,0.0,2320.0499999999997,680.0,0.0,351.0,54.0,-1502.525,297.0,-680.0,2320.0499999999997,434.52499999999964
2026-01-01 18:00:00+00:00,772.2,0.0,0.0,1453.8500000000001,680.0,0.0,351.0,51.0,-772.2,300.0,-680.0,1453.8500000000001,301.6500000000001
2026-01-01 19:00:00+00:00,1835.775,1031.0,1018.4,2000.7,680.0,0.0,628.25,50.0,-804.7750000000001,578.25,-680.0,982.3000000000001,75.77499999999998
2026-01-01 20:00:00+00:00,0.0,4184.5,4443.675,0.0,680.0,0.0,895.0500000000001,48.0,4184.5,847.0500000000001,-680.0,-4443.675,-92.125
2026-01-01 21:00:00+00:00,2779.175,0.0,34.25,2628.85,657.25,0.0,761.175,48.0,-2779.175,713.175,-657.25,2594.6,-128.6500000000001
2026-01-01 22:00:00+00:00,1814.8,0.0,327.92499999999995,1618.9,498.0,0.0,849.7,48.0,-1814.8,801.7,-498.0,1290.9750000000001,-220.12499999999977
2026-01-01 23:00:00+00:00,511.425,0.0,0.0,397.55,735.0,0.0,758.075,47.0,-511.425,711.075,-735.0,397.55,-137.7999999999999
2026-01-02 00:00:00+00:00,358.575,0.0,0.0,400.775,735.0,0.0,643.5999999999999,47.0,-358.575,596.5999999999999,-735.0,400.775,-96.2000000000001
2026-01-02 01:00:00+00:00,261.1,0.0,0.0,440.0,735.0,0.0,529.225,46.0,-261.1,483.225,-735.0,440.0,-72.875
2026-01-02 02:00:00+00:00,186.7,0.0,0.0,451.05,782.0,0.0,503.675,46.0,-186.7,457.675,-782.0,451.05,-59.974999999999966
2026-01-02 03:00:00+00:00,192.85,0.0,0.0,441.775,782.0,0.0,508.8,47.0,-192.85,461.8,-782.0,441.775,-71.27499999999998
