,BE_NL,NL_BE,NL_DE_LU,DE_LU_NL,NL_GB,GB_NL,NL_NO_2,NO_2_NL,NL_DK_1,DK_1_NL,NL_BE_net_export,NL_DE_LU_net_export,NL_GB_net_export,NL_NO_2_net_export,NL_DK_1_net_export,Net Export
2026-01-01 00:00:00+00:00,0.0,1097.375,232.25,1576.325,699.0,102.0,0.0,576.775,0.0,700.0,1097.375,-1344.075,597.0,-576.775,-700.0,-926.475
2026-01-01 01:00:00+00:00,0.0,1833.725,0.0,3737.8,784.0,90.0,0.0,321.55,0.0,700.0,1833.725,-3737.8,694.0,-321.55,-700.0,-2231.625
2026-01-01 02:00:00+00:00,0.0,1730.025,0.0,5547.425,782.0,45.0,88.125,77.25,0.0,700.0,1730.025,-5547.425,737.0,10.875,-700.0,-3769.525
2026-01-01 03:00:00+00:00,0.0,1025.05,0.0,4999.025,962.0,0.0,112.3,0.0,0.0,700.0,1025.05,-4999.025,962.0,112.3,-700.0,-3599.6749999999993
2026-01-01 04:00:00+00:00,0.0,1448.225,0.0,4913.075,710.0,45.0,86.95,0.0,0.0,700.0,1448.225,-4913.075,665.0,86.95,-700.0,-3412.9
2026-01-01 05:00:00+00:00,0.0,294.225,0.0,1924.625,498.0,0.0,6.45,23.75,0.0,695.175,294.225,-1924.625,498.0,-17.3,-695.175,-1844.875
2026-01-01 06:00:00+00:00,0.0,94.0,0.0,3992.9,698.0,0.0,0.0,149.32500000000002,0.0,700.0,94.0,-3992.9,698.0,-149.32500000000002,-700.0,-4050.225
2026-01-01 07:00:00+00:00,0.0,62.2,0.0,1959.2,730.0,0.0,0.0,124.425,0.0,700.0,62.2,-1959.2,730.0,-124.425,-700.0,-1991.425
2026-01-01 08:00:00+00:00,0.0,132.375,0.0,2155.225,730.0,0.0,157.05,63.3,0.0,700.0,132.375,-2155.225,730.0,93.75000000000001,-700.0,-1899.1
2026-01-01 09:00:00+00:00,0.0,458.95000000000005,0.0,4142.875,731.0,0.0,381.7,0.0,0.0,700.0,458.95000000000005,-4142.875,731.0,381.7,-700.0,-3271.2250000000004
2026-01-01 10:00:00+00:00,0.0,67.425,0.0,1967.7,730.0,0.0,316.075,0.0,0.0,700.0,67.425,-1967.7,730.0,316.075,-700.0,-1554.2
2026-01-01 11:00:00+00:00,0.0,0.0,0.0,4813.3,1047.0,45.0,0.0,27.7,0.0,700.0,0.0,-4813.3,1002.0,-27.7,-700.0,-4539.0
2026-01-01 12:00:00+00:00,0.0,328.825,289.375,3723.45,1060.0,0.0,15.75,0.0,0.0,700.0,328.825,-3434.075,1060.0,15.75,-700.0,-2729.5
2026-01-01 13:00:00+00:00,0.0,663.275,157.55,6085.525,1060.0,0.0,0.0,236.875,0.0,700.0,663.275,-5927.974999999999,1060.0,-236.875,-700.0,-5141.575
2026-01-01 14:00:00+00:00,0.0,816.45,0.0,3519.575,1059.0,0.0,0.0,333.6,0.0,700.0,816.45,-3519.575,1059.0,-333.6,-700.0,-2677.725
2026-01-01 15:00:00+00:00,0.0,1953.85,0.0,6037.05,1060.0,0.0,0.0,555.7,0.0,700.0,1953.85,-6037.05,1060.0,-555.7,-700.0,-4278.900000000001
2026-01-01 16:00:00+00:00,0.0,3209.975,0.0,8256.725,1060.0,0.0,0.0,634.3,0.0,700.0,3209.975,-8256.725,1060.0,-634.3,-700.0,-5321.05
2026-01-01 17:00:00+00:00,0.0,991.075,0.0,2777.775,1060.0,0.0,0.0,640.0,0.0,700.0,991.075,-2777.775,1060.0,-640.0,-700.0,-2066.7
