,FR_ES,ES_FR,ES_PT,PT_ES,ES_FR_net_export,ES_PT_net_export,Net Export
2026-01-01 00:00:00+00:00,1900.0,0.0,0.0,769.475,-1900.0,-769.475,-2669.475
2026-01-01 01:00:00+00:00,1900.0,0.0,0.0,540.375,-1900.0,-540.375,-2440.375
2026-01-01 02:00:00+00:00,1900.0,0.0,43.9,181.75,-1900.0,-137.85,-2037.85
2026-01-01 03:00:00+00:00,1900.0,0.0,240.975,0.0,-1900.0,240.975,-1659.025
2026-01-01 04:00:00+00:00,1900.0,0.0,152.8,0.0,-1900.0,152.8,-1747.2
2026-01-01 05:00:00+00:00,1900.0,0.0,3.575,63.25,-1900.0,-59.675,-1959.675
2026-01-01 06:00:00+00:00,1900.0,0.0,0.0,222.475,-1900.0,-222.475,-2122.475
2026-01-01 07:00:00+00:00,1900.0,0.0,0.0,268.525,-1900.0,-268.525,-2168.525
2026-01-01 08:00:00+00:00,1900.0,0.0,481.9,0.0,-1900.0,481.9,-1418.1
2026-01-01 09:00:00+00:00,1900.0,0.0,1154.625,0.0,-1900.0,1154.625,-745.375
2026-01-01 10:00:00+00:00,1900.0,0.0,1705.675,0.0,-1900.0,1705.675,-194.32500000000005
2026-01-01 11:00:00+00:00,1900.0,0.0,1902.1,0.0,-1900.0,1902.1,2.099999999999909
2026-01-01 12:00:00+00:00,1900.0,0.0,1831.05,0.0,-1900.0,1831.05,-68.95000000000005
2026-01-01 13:00:00+00:00,1900.0,0.0,1486.625,0.0,-1900.0,1486.625,-413.375
2026-01-01 14:00:00+00:00,1900.0,0.0,1321.175,0.0,-1900.0,1321.175,-578.825
2026-01-01 15:00:00+00:00,1843.15,0.0,309.875,240.75,-1843.15,69.125,-1774.025
2026-01-01 16:00:00+00:00,1900.0,0.0,0.0,1364.225,-1900.0,-1364.225,-3264.225
2026-01-01 17:00:00+00:00,1900.0,0.0,0.0,1632.175,-1900.0,-1632.175,-3532.175
2026-01-01 18:00:00+00:00,1900.0,0.0,0.0,1847.95,-1900.0,-1847.95,-3747.95
2026-01-01 19:00:00+00:00,1900.0,0.0,0.0,1960.8249999999998,-1900.0,-1960.8249999999998,-3860.825
2026-01-01 20:00:00+00:00,1900.0,0.0,0.0,1972.2250000000001,-1900.0,-1972.2250000000001,-3872.2250000000004
2026-01-01 21:00:00+00:00,1900.0,0.0,0.0,2014.775,-1900.0,-2014.775,-3914.775
2026-01-01 22:00:00+00:00,1900.0,0.0,0.0,1338.0,-1900.0,-1338.0,-3238.0
2026-01-01 23:00:00+00:00,1900.0,0.0,0.0,628.225,-1900.0,-628.225,-2528.225
2026-01-02 00:00:00+00:00,1900.0,0.0,427.0,0.0,-1900.0,427.0,-1473.0
2026-01-02 01:00:00+00:00,1900.0,0.0,112.45,11.775,-1900.0,100.675,-1799.325
2026-01-02 02:00:00+00:00,1900.0,0.0,0.0,209.225,-1900.0,-209.225,-2109.225
2026-01-02 03:00:00+00:00,1900.0,0.0,0.0,168.125,-1900.0,-168.125,-2068.125
2026-01-02 04:00:00+00:00,1900.0,0.0,0.0,385.475,-1900.0,-385.475,-2285.475
2026-01-02 05:00:00+00:00,1900.0,0.0,0.0,424.6,-1900.0,-424.6,-2324.6
2026-01-02 06:00:00+00:00,1900.0,0.0,0.0,1595.025,-1900.0,-1595.025,-3495.025
2026-01-02 07:00:00+00:00,1696.25,0.0,0.0,2160.625,-1696.25,-2160.625,-3856.875
2026-01-02 08:00:00+00:00,866.075,0.0,0.0,1762.725,-866.075,-1762.725,-2628.8
2026-01-02 09:00:00+00:00,303.0,275.175,11.325,908.875,-27.82499999999999,-897.55,-925.375
2026-01-02 10:00:00+00:00,502.20000000000005,0.0,60.35,298.125,-502.20000000000005,-237.775,-739.975
2026-01-02 11:00:00+00:00,477.15,0.0,399.925,0.0,-477.15,399.925,-77.22499999999997
2026-01-02 12:00:00+00:00,1900.0,0.0,729.4,0.0,-1900.0,729.4,-1170.6
2026-01-02 13:00:00+00:00,1900.0,0.0,644.0,0.0,-1900.0,644.0,-1256.0
2026-01-02 14:00:00+00:00,1876.625,0.0,238.675,12.625,-1876.625,226.05,-1650.575
2026-01-02 15:00:00+00:00,1900.0,0.0,0.0,516.0,-1900.0,-516.0,-2416.0
2026-01-02 16:00:00+00:00,1383.125,0.0,0.0,1224.85,-1383.125,-1224.85,-2607.975
2026-01-02 17:00:00+00:00,1744.05,0.0,0.0,1934.475,-1744.05,-1934.475,-3678.5249999999996
2026-01-02 18:00:00+00:00,2656.85,0.0,0.0,1595.725,-2656.85,-1595.725,-4252.575
2026-01-02 19:00:00+00:00,2914.0,0.0,0.0,1547.85,-2914.0,-1547.85,-4461.85
2026-01-02 20:00:00+00:00,2914.0,0.0,0.0,1652.0,-2914.0,-1652.0,-4566.0
2026-01-02 21:00:00+00:00,2914.0,0.0,0.0,938.7,-2914.0,-938.7,-3852.7
2026-01-02 22:00:00+00:00,2914.0,0.0,0.0,379.47499999999997,-2914.0,-379.47499999999997,-3293.475
2026-01-02 23:00:00+00:00,804.5,0.0,0.0,287.35,-804.5,-287.35,-1091.85
2026-01-03 00:00:00+00:00,0.0,789.0999999999999,0.0,647.425,789.0999999999999,-647.425,141.67499999999995
2026-01-03 01:00:00+00:00,0.0,1279.525,0.0,914.4,1279.525,-914.4,365.1250000000001
2026-01-03 02:00:00+00:00,0.0,1623.125,0.0,1224.825,1623.125,-1224.825,398.29999999999995
2026-01-03 03:00:00+00:00,0.0,1909.4750000000001,0.0,1311.8,1909.4750000000001,-1311.8,597.6750000000002
2026-01-03 04:00:00+00:00,0.0,1943.625,0.0,1536.1,1943.625,-1536.1,407.5250000000001
2026-01-03 05:00:00+00:00,0.0,1729.7,0.0,1498.4,1729.7,-1498.4,231.29999999999995
2026-01-03 06:00:00+00:00,0.0,1097.625,0.0,1612.875,1097.625,-1612.875,-515.25
2026-01-03 07:00:00+00:00,868.45,0.0,0.0,2707.45,-868.45,-2707.45,-3575.8999999999996
2026-01-03 08:00:00+00:00,412.5,0.0,0.0,2674.975,-412.5,-2674.975,-3087.475
2026-01-03 09:00:00+00:00,1157.475,0.0,0.0,2169.0,-1157.475,-2169.0,-3326.475
2026-01-03 10:00:00+00:00,2161.2,0.0,0.0,1244.475,-2161.2,-1244.475,-3405.6749999999997
2026-01-03 11:00:00+00:00,2121.425,0.0,0.0,822.4,-2121.425,-822.4,-2943.8250000000003
2026-01-03 12:00:00+00:00,2934.125,0.0,0.0,385.975,-2934.125,-385.975,-3320.1
2026-01-03 13:00:00+00:00,2857.225,0.0,0.0,428.15,-2857.225,-428.15,-3285.375
2026-01-03 14:00:00+00:00,1853.9,0.0,0.0,632.25,-1853.9,-632.25,-2486.15
2026-01-03 15:00:00+00:00,313.55,622.925,0.0,1259.35,309.37499999999994,-1259.35,-949.9749999999999
2026-01-03 16:00:00+00:00,0.0,3509.1,0.0,2546.0,3509.1,-2546.0,963.0999999999999
2026-01-03 17:00:00+00:00,0.0,3515.0,0.0,2339.875,3515.0,-2339.875,1175.125
2026-01-03 18:00:00+00:00,0.0,3094.275,0.0,1262.35,3094.275,-1262.35,1831.9250000000002
2026-01-03 19:00:00+00:00,0.0,2203.075,0.0,465.65,2203.075,-465.65,1737.4249999999997
2026-01-03 20:00:00+00:00,0.0,1698.35,125.1,95.45,1698.35,29.64999999999999,1728.0
2026-01-03 21:00:00+00:00,0.0,2908.6,96.025,44.275,2908.6,51.75000000000001,2960.35
2026-01-03 22:00:00+00:00,0.0,2810.625,139.05,18.8,2810.625,120.25000000000001,2930.875
2026-01-03 23:00:00+00:00,0.0,2966.775,18.675,359.05,2966.775,-340.375,2626.4
2026-01-04 00:00:00+00:00,0.0,3206.0,771.175,0.0,3206.0,771.175,3977.175
2026-01-04 01:00:00+00:00,0.0,3206.0,1908.375,0.0,3206.0,1908.375,5114.375
2026-01-04 02:00:00+00:00,0.0,3206.0,1685.4,0.0,3206.0,1685.4,4891.4
2026-01-04 03:00:00+00:00,0.0,3237.0,1595.85,0.0,3237.0,1595.85,4832.85
2026-01-04 04:00:00+00:00,0.0,3237.0,1734.925,0.0,3237.0,1734.925,4971.925
2026-01-04 05:00:00+00:00,0.0,3237.0,1424.075,0.0,3237.0,1424.075,4661.075
2026-01-04 06:00:00+00:00,0.0,2729.0,1456.9,0.0,2729.0,1456.9,4185.9
2026-01-04 07:00:00+00:00,0.0,2729.0,1592.25,0.0,2729.0,1592.25,4321.25
2026-01-04 08:00:00+00:00,0.0,2729.0,1654.15,0.0,2729.0,1654.15,4383.15
2026-01-04 09:00:00+00:00,0.0,2729.0,1817.675,0.0,2729.0,1817.675,4546.675
2026-01-04 10:00:00+00:00,0.0,3145.0,1888.95,0.0,3145.0,1888.95,5033.95
2026-01-04 11:00:00+00:00,0.0,3145.0,2198.85,0.0,3145.0,2198.85,5343.85
2026-01-04 12:00:00+00:00,0.0,3145.0,2316.4,0.0,3145.0,2316.4,5461.4
2026-01-04 13:00:00+00:00,0.0,3145.0,2030.65,0.0,3145.0,2030.65,5175.65
2026-01-04 14:00:00+00:00,0.0,2960.0,2134.0,0.0,2960.0,2134.0,5094.0
2026-01-04 15:00:00+00:00,0.0,2960.0,1879.875,0.0,2960.0,1879.875,4839.875
2026-01-04 16:00:00+00:00,0.0,2960.0,1641.6,0.0,2960.0,1641.6,4601.6
2026-01-04 17:00:00+00:00,0.0,2960.0,794.925,0.0,2960.0,794.925,3754.925
2026-01-04 18:00:00+00:00,0.0,2590.0,846.925,0.0,2590.0,846.925,3436.925
2026-01-04 19:00:00+00:00,0.0,2590.0,90.025,20.5,2590.0,69.525,2659.525
2026-01-04 20:00:00+00:00,0.0,2555.725,0.5,178.65,2555.725,-178.15,2377.575
2026-01-04 21:00:00+00:00,0.0,2590.0,275.825,11.55,2590.0,264.275,2854.275
2026-01-04 22:00:00+00:00,0.0,2590.0,513.1500000000001,23.775,2590.0,489.3750000000001,3079.375
2026-01-04 23:00:00+00:00,0.0,3284.0,905.3,0.0,3284.0,905.3,4189.3
2026-01-05 00:00:00+00:00,0.0,3284.0,1158.6,0.0,3284.0,1158.6,4442.6
2026-01-05 01:00:00+00:00,0.0,3284.0,1328.275,0.0,3284.0,1328.275,4612.275
2026-01-05 02:00:00+00:00,0.0,3284.0,1623.6,0.0,3284.0,1623.6,4907.6
2026-01-05 03:00:00+00:00,0.0,3376.0,1470.3999999999999,0.0,3376.0,1470.3999999999999,4846.4
2026-01-05 04:00:00+00:00,0.0,3376.0,636.925,0.0,3376.0,636.925,4012.925
2026-01-05 05:00:00+00:00,0.0,2590.0,150.125,131.125,2590.0,19.0,2609.0
2026-01-05 06:00:00+00:00,0.0,2590.0,0.0,830.575,2590.0,-830.575,1759.425
2026-01-05 07:00:00+00:00,0.0,2590.0,0.0,1271.225,2590.0,-1271.225,1318.775
2026-01-05 08:00:00+00:00,0.0,2590.0,0.0,1204.6,2590.0,-1204.6,1385.4
2026-01-05 09:00:00+00:00,0.0,2590.0,0.0,885.875,2590.0,-885.875,1704.125
2026-01-05 10:00:00+00:00,0.0,2590.0,0.0,523.3000000000001,2590.0,-523.3000000000001,2066.7
2026-01-05 11:00:00+00:00,0.0,2590.0,0.0,67.125,2590.0,-67.125,2522.875
2026-01-05 12:00:00+00:00,0.0,2590.0,0.0,171.3,2590.0,-171.3,2418.7
