,PL_SE_4,SE_4_PL,LT_SE_4,SE_4_LT,SE_3_SE_4,SE_4_SE_3,SE_4_DE_LU,DE_LU_SE_4,SE_4_DK_2,DK_2_SE_4,SE_4_DE_LU_net_export,SE_4_DK_2_net_export,SE_4_LT_net_export,SE_4_PL_net_export,SE_4_SE_3_net_export,Net Export
2026-01-01 00:00:00+00:00,0.0,600.0,0.0,700.0,2840.5,0.0,154.25,0.0,1282.0,0.0,154.25,1282.0,700.0,600.0,-2840.5,-104.25
2026-01-01 01:00:00+00:00,0.0,600.0,0.0,700.0,2467.25,0.0,151.25,0.0,1150.0,0.0,151.25,1150.0,700.0,600.0,-2467.25,134.0
2026-01-01 02:00:00+00:00,0.0,600.0,0.0,700.0,2639.75,0.0,0.0,52.25,500.5,0.0,-52.25,500.5,700.0,600.0,-2639.75,-891.5
2026-01-01 03:00:00+00:00,0.0,600.0,0.0,700.0,1719.75,0.0,0.0,104.5,0.0,325.0,-104.5,-325.0,700.0,600.0,-1719.75,-849.25
2026-01-01 04:00:00+00:00,0.0,600.0,0.0,700.0,1761.0,0.0,0.0,209.0,0.0,202.75,-209.0,-202.75,700.0,600.0,-1761.0,-872.75
2026-01-01 05:00:00+00:00,0.0,420.0,0.0,700.0,1621.0,0.0,0.0,209.0,0.0,142.25,-209.0,-142.25,700.0,420.0,-1621.0,-852.25
2026-01-01 06:00:00+00:00,0.0,120.0,0.0,700.0,1537.0,0.0,0.0,209.0,57.25,0.0,-209.0,57.25,700.0,120.0,-1537.0,-868.75
2026-01-01 07:00:00+00:00,180.0,0.0,0.0,700.0,1383.0,0.0,0.0,209.0,224.25,0.0,-209.0,224.25,700.0,-180.0,-1383.0,-847.75
2026-01-01 08:00:00+00:00,480.0,0.0,0.0,700.0,1093.75,0.0,0.0,209.0,270.5,0.0,-209.0,270.5,700.0,-480.0,-1093.75,-812.25
2026-01-01 09:00:00+00:00,600.0,0.0,0.0,700.0,736.75,0.0,0.0,209.0,45.75,72.25,-209.0,-26.5,700.0,-600.0,-736.75,-872.25
2026-01-01 10:00:00+00:00,600.0,0.0,0.0,700.0,528.5,0.0,0.0,209.0,0.0,316.75,-209.0,-316.75,700.0,-600.0,-528.5,-954.25
2026-01-01 11:00:00+00:00,338.3,0.0,0.0,700.0,776.0,0.0,0.0,209.0,0.0,395.0,-209.0,-395.0,700.0,-338.3,-776.0,-1018.3
2026-01-01 12:00:00+00:00,38.3,0.0,0.0,700.0,981.25,0.0,0.0,209.0,0.0,544.25,-209.0,-544.25,700.0,-38.3,-981.25,-1072.8
2026-01-01 13:00:00+00:00,0.0,100.0,0.0,700.0,1151.5,0.0,0.0,209.0,0.0,629.75,-209.0,-629.75,700.0,100.0,-1151.5,-1190.25
2026-01-01 14:00:00+00:00,0.0,100.0,0.0,700.0,1185.5,0.0,0.0,209.0,140.0,26.75,-209.0,113.25,700.0,100.0,-1185.5,-481.25
2026-01-01 15:00:00+00:00,0.0,100.0,0.0,700.0,1035.25,0.0,0.0,209.0,135.75,0.0,-209.0,135.75,700.0,100.0,-1035.25,-308.5
2026-01-01 16:00:00+00:00,0.0,100.0,0.0,699.5,1272.75,0.0,0.0,156.75,239.5,0.0,-156.75,239.5,699.5,100.0,-1272.75,-390.5
2026-01-01 17:00:00+00:00,0.0,100.0,0.0,700.0,1471.75,0.0,0.0,63.0,295.25,0.0,-63.0,295.25,700.0,100.0,-1471.75,-439.5
2026-01-01 18:00:00+00:00,0.0,100.0,0.0,700.0,1347.25,0.0,0.0,156.75,250.25,0.0,-156.75,250.25,700.0,100.0,-1347.25,-453.75
2026-01-01 19:00:00+00:00,0.0,100.0,0.0,626.5,1148.5,0.0,0.0,209.0,147.5,0.0,-209.0,147.5,626.5,100.0,-1148.5,-483.5
2026-01-01 20:00:00+00:00,0.0,0.0,0.0,700.0,1402.0,0.0,0.0,209.0,132.75,0.0,-209.0,132.75,700.0,0.0,-1402.0,-778.25
2026-01-01 21:00:00+00:00,300.0,0.0,0.0,700.0,1787.5,0.0,0.0,200.5,206.0,0.0,-200.5,206.0,700.0,-300.0,-1787.5,-1382.0
2026-01-01 22:00:00+00:00,600.0,0.0,0.0,700.0,1692.0,0.0,0.0,209.0,223.5,0.0,-209.0,223.5,700.0,-600.0,-1692.0,-1577.5
2026-01-01 23:00:00+00:00,600.0,0.0,0.0,480.0,403.0,4.25,0.0,209.0,17.25,0.0,-209.0,17.25,480.0,-600.0,-398.75,-710.5
2026-01-02 00:00:00+00:00,600.0,0.0,0.0,576.0,1357.75,0.0,0.0,209.0,0.0,55.5,-209.0,-55.5,576.0,-600.0,-1357.75,-1646.25
2026-01-02 01:00:00+00:00,600.0,0.0,0.0,580.75,1473.5,0.0,0.0,209.0,0.0,50.0,-209.0,-50.0,580.75,-600.0,-1473.5,-1751.75
