,RS_BA,BA_RS,ME_BA,BA_ME,BA_HR,HR_BA,BA_HR_net_export,BA_ME_net_export,BA_RS_net_export,Net Export
2026-01-01 00:00:00+00:00,301.0,264.0,5.0,246.0,0.0,500.0,-500.0,241.0,-37.0,-296.0
2026-01-01 01:00:00+00:00,264.0,266.0,12.0,246.0,0.0,500.0,-500.0,234.0,2.0,-264.0
2026-01-01 02:00:00+00:00,250.0,259.0,1.0,251.0,0.0,500.0,-500.0,250.0,9.0,-241.0
2026-01-01 03:00:00+00:00,245.0,268.0,1.0,251.0,0.0,500.0,-500.0,250.0,23.0,-227.0
2026-01-01 04:00:00+00:00,244.0,266.0,1.0,247.0,0.0,500.0,-500.0,246.0,22.0,-232.0
2026-01-01 05:00:00+00:00,322.0,272.0,1.0,241.0,0.0,409.0,-409.0,240.0,-50.0,-219.0
2026-01-01 06:00:00+00:00,295.0,264.0,26.0,181.0,0.0,411.0,-411.0,155.0,-31.0,-287.0
2026-01-01 07:00:00+00:00,230.0,320.0,12.0,166.0,0.0,413.0,-413.0,154.0,90.0,-169.0
2026-01-01 08:00:00+00:00,265.0,347.0,2.0,218.0,0.0,500.0,-500.0,216.0,82.0,-202.0
2026-01-01 09:00:00+00:00,326.0,434.0,1.0,200.0,0.0,500.0,-500.0,199.0,108.0,-193.0
2026-01-01 10:00:00+00:00,338.0,467.0,1.0,227.0,0.0,500.0,-500.0,226.0,129.0,-145.0
2026-01-01 11:00:00+00:00,351.0,480.0,1.0,227.0,0.0,470.0,-470.0,226.0,129.0,-115.0
2026-01-01 12:00:00+00:00,307.0,464.0,1.0,227.0,0.0,500.0,-500.0,226.0,157.0,-117.0
2026-01-01 13:00:00+00:00,296.0,408.0,1.0,215.0,0.0,500.0,-500.0,214.0,112.0,-174.0
2026-01-01 14:00:00+00:00,318.0,348.0,1.0,211.0,0.0,439.0,-439.0,210.0,30.0,-199.0
2026-01-01 15:00:00+00:00,319.0,310.0,1.0,166.0,0.0,350.0,-350.0,165.0,-9.0,-194.0
2026-01-01 16:00:00+00:00,317.0,310.0,1.0,157.0,0.0,350.0,-350.0,156.0,-7.0,-201.0
