,BE_GB,GB_BE,NL_GB,GB_NL,FR_GB,GB_FR,GB_NO_2,NO_2_GB,GB_DK_1,DK_1_GB,GB_BE_net_export,GB_FR_net_export,GB_NL_net_export,GB_NO_2_net_export,GB_DK_1_net_export,Net Export
2026-01-01 00:00:00+00:00,117.0,252.0,699.0,102.0,236.0,2223.0,0.0,671.6,0.0,950.0,135.0,1987.0,-597.0,-671.6,-950.0,-96.60000000000002
2026-01-01 01:00:00+00:00,80.0,242.0,784.0,90.0,236.0,2915.0,0.0,694.9,0.0,950.0,162.0,2679.0,-694.0,-694.9,-950.0,502.0999999999999
2026-01-01 02:00:00+00:00,117.0,142.0,782.0,45.0,236.0,2309.0,0.0,398.9,0.0,1000.0,25.0,2073.0,-737.0,-398.9,-1000.0,-37.89999999999998
2026-01-01 03:00:00+00:00,244.0,133.0,962.0,0.0,236.0,2680.0,0.0,20.5,0.0,1000.0,-111.0,2444.0,-962.0,-20.5,-1000.0,350.5
2026-01-01 04:00:00+00:00,94.0,322.0,710.0,45.0,236.0,3214.0,141.9,0.0,0.0,950.0,228.0,2978.0,-665.0,141.9,-950.0,1732.9
2026-01-01 05:00:00+00:00,49.0,541.0,498.0,0.0,307.0,3417.0,147.7,0.0,0.0,950.0,492.0,3110.0,-498.0,147.7,-950.0,2301.7
2026-01-01 06:00:00+00:00,117.0,399.0,698.0,0.0,307.0,2793.0,363.3,0.0,0.0,942.0,282.0,2486.0,-698.0,363.3,-942.0,1491.3000000000002
2026-01-01 07:00:00+00:00,372.0,329.0,730.0,0.0,350.0,1968.0,228.6,0.0,0.0,989.0,-43.0,1618.0,-730.0,228.6,-989.0,84.59999999999991
2026-01-01 08:00:00+00:00,434.0,220.0,730.0,0.0,583.0,801.0,141.2,0.0,0.0,1000.0,-214.0,218.0,-730.0,141.2,-1000.0,-1584.8
2026-01-01 09:00:00+00:00,668.0,172.0,731.0,0.0,1272.0,141.0,0.0,0.0,0.0,1000.0,-496.0,-1131.0,-731.0,0.0,-1000.0,-3358.0
2026-01-01 10:00:00+00:00,817.0,172.0,730.0,0.0,1943.0,0.0,0.0,0.0,0.0,1000.0,-645.0,-1943.0,-730.0,0.0,-1000.0,-4318.0
2026-01-01 11:00:00+00:00,1032.0,0.0,1047.0,45.0,1800.0,0.0,117.2,0.0,0.0,1000.0,-1032.0,-1800.0,-1002.0,117.2,-1000.0,-4716.8
2026-01-01 12:00:00+00:00,1032.0,0.0,1060.0,0.0,2821.0,0.0,0.0,91.8,0.0,1000.0,-1032.0,-2821.0,-1060.0,-91.8,-1000.0,-6004.8
2026-01-01 13:00:00+00:00,1017.0,0.0,1060.0,0.0,3140.0,0.0,0.0,54.0,0.0,1000.0,-1017.0,-3140.0,-1060.0,-54.0,-1000.0,-6271.0
2026-01-01 14:00:00+00:00,995.0,0.0,1059.0,0.0,3048.0,0.0,0.0,519.0,0.0,1000.0,-995.0,-3048.0,-1059.0,-519.0,-1000.0,-6621.0
2026-01-01 15:00:00+00:00,918.0,0.0,1060.0,0.0,3527.0,0.0,0.0,984.0,0.0,1000.0,-918.0,-3527.0,-1060.0,-984.0,-1000.0,-7489.0
2026-01-01 16:00:00+00:00,1012.0,0.0,1060.0,0.0,3528.0,0.0,0.0,1449.0,0.0,1000.0,-1012.0,-3528.0,-1060.0,-1449.0,-1000.0,-8049.0
2026-01-01 17:00:00+00:00,1012.0,0.0,1060.0,0.0,3528.0,0.0,0.0,1449.0,0.0,1000.0,-1012.0,-3528.0,-1060.0,-1449.0,-1000.0,-8049.0
2026-01-01 18:00:00+00:00,1012.0,0.0,1060.0,0.0,3528.0,0.0,0.0,1449.0,0.0,1000.0,-1012.0,-3528.0,-1060.0,-1449.0,-1000.0,-8049.0
