,NL_DK_1,DK_1_NL,GB_DK_1,DK_1_GB,NO_2_DK_1,DK_1_NO_2,DK_1_DE_LU,DE_LU_DK_1,DK_1_DK_2,DK_2_DK_1,DK_1_SE_3,SE_3_DK_1,DK_1_DE_LU_net_export,DK_1_DK_2_net_export,DK_1_NO_2_net_export,DK_1_SE_3_net_export,DK_1_NL_net_export,DK_1_GB_net_export,Net Export
2026-01-01 00:00:00+00:00,0.0,699.7,0.0,1011.3199999999999,0.0,1553.988317,4.32,362.24,0.0,589.5525,0.0,472.5325,-357.92,-589.5525,1553.988317,-472.5325,699.7,1011.3199999999999,1845.003317
2026-01-01 01:00:00+00:00,0.0,699.9375,0.0,1000.4,0.0,1604.33086775,0.0,848.1600000000001,0.0,599.3,0.0,325.3425,-848.1600000000001,-599.3,1604.33086775,-325.3425,699.9375,1000.4,1531.8658677499998
2026-01-01 02:00:00+00:00,0.0,700.03,0.0,1000.4,0.0,1604.67520875,0.0,1547.76,0.0,458.1475,0.0,385.14,-1547.76,-458.1475,1604.67520875,-385.14,700.03,1000.4,914.0577087499998
2026-01-01 03:00:00+00:00,0.0,699.75,0.0,999.8225,0.0,1604.47340425,0.0,1738.8,0.0,307.1225,0.0,682.2175,-1738.8,-307.1225,1604.47340425,-682.2175,699.75,999.8225,575.90590425
2026-01-01 04:00:00+00:00,0.0,698.24,0.0,976.875,0.0,1604.01180725,0.0,1677.52,0.0,563.7425000000001,0.0,699.86,-1677.52,-563.7425000000001,1604.01180725,-699.86,698.24,976.875,338.00430725
2026-01-01 05:00:00+00:00,0.0,682.6825,0.0,998.47,0.0,1604.8347765,0.0,1790.96,0.0,589.3824999999999,0.0,702.3725,-1790.96,-589.3824999999999,1604.8347765,-702.3725,682.6825,998.47,203.27227650000043
2026-01-01 06:00:00+00:00,0.0,700.045,0.0,982.955,0.0,1604.7158805,0.0,2233.2,0.0,412.28,0.0,648.86,-2233.2,-412.28,1604.7158805,-648.86,700.045,982.955,-6.624119499999779
2026-01-01 07:00:00+00:00,0.0,700.085,0.0,998.9525,0.0,1605.0828207499999,0.0,2075.2,0.0,574.5125,0.0,652.72,-2075.2,-574.5125,1605.0828207499999,-652.72,700.085,998.9525,1.6878207500002418
2026-01-01 08:00:00+00:00,0.0,698.3775,0.0,999.38,0.0,1604.9979935000001,0.0,2188.3199999999997,0.0,417.0025,0.0,682.5475,-2188.3199999999997,-417.0025,1604.9979935000001,-682.5475,698.3775,999.38,14.88549350000028
2026-01-01 09:00:00+00:00,0.0,696.175,0.0,999.38,0.0,1605.2953715,0.0,2342.16,0.0,195.21,0.0,701.8575,-2342.16,-195.21,1605.2953715,-701.8575,696.175,999.38,61.622871500000315
2026-01-01 10:00:00+00:00,0.0,699.8525,0.0,999.38,0.0,1605.208848,0.0,2318.56,0.0,270.45500000000004,0.0,664.455,-2318.56,-270.45500000000004,1605.208848,-664.455,699.8525,999.38,50.97134799999992
2026-01-01 11:00:00+00:00,0.0,699.8199999999999,0.0,999.38,0.0,1605.02378925,0.0,2200.96,0.0,448.58,0.0,653.815,-2200.96,-448.58,1605.02378925,-653.815,699.8199999999999,999.38,0.8687892499998497
2026-01-01 12:00:00+00:00,0.0,699.77,0.0,999.38,0.0,1605.0542325,0.0,2242.4,0.0,296.63,0.0,683.3425,-2242.4,-296.63,1605.0542325,-683.3425,699.77,999.38,81.8317324999997
2026-01-01 13:00:00+00:00,0.0,700.0025,0.0,999.38,0.0,1047.01614075,0.0,1889.6,0.0,148.5675,0.0,565.955,-1889.6,-148.5675,1047.01614075,-565.955,700.0025,999.38,142.27614075000008
2026-01-01 14:00:00+00:00,0.0,700.23,0.0,999.38,0.0,822.359983,0.0,2093.84,0.0,238.875,0.0,77.2475,-2093.84,-238.875,822.359983,-77.2475,700.23,999.38,112.00748299999998
2026-01-01 15:00:00+00:00,0.0,699.85,0.0,999.38,0.0,790.93353125,0.0,1738.8,0.0,295.6375,102.70333875,17.125,-1738.8,-295.6375,790.93353125,85.57833875,699.85,999.38,541.3043700000001
2026-01-01 16:00:00+00:00,0.0,699.85,0.0,999.38,0.0,790.7836,0.0,1707.2,0.0,450.8825,0.0,36.155,-1707.2,-450.8825,790.7836,-36.155,699.85,999.38,295.77610000000004
2026-01-01 17:00:00+00:00,0.0,699.85,0.0,999.38,0.0,790.7470995,0.0,1209.84,0.0,462.385,0.0,61.6575,-1209.84,-462.385,790.7470995,-61.6575,699.85,999.38,756.0945995000001
2026-01-01 18:00:00+00:00,0.0,699.9125,0.0,999.38,0.0,790.9299747499999,0.0,1139.04,0.0,160.7575,0.0,202.125,-1139.04,-160.7575,790.9299747499999,-202.125,699.9125,999.38,988.29997475
2026-01-01 19:00:00+00:00,0.0,700.1800000000001,0.0,999.38,0.0,790.19317025,0.0,609.6800000000001,0.0,158.3275,0.0,458.595,-609.6800000000001,-158.3275,790.19317025,-458.595,700.1800000000001,999.38,1263.15067025
2026-01-01 20:00:00+00:00,0.0,700.0975,0.0,999.38,0.0,764.1877657499999,0.0,748.88,0.0,209.79,0.0,684.08,-748.88,-209.79,764.1877657499999,-684.08,700.0975,999.38,820.9152657499999
2026-01-01 21:00:00+00:00,0.0,700.0925,0.0,999.38,0.0,760.58969225,0.0,842.4,0.0,258.54,0.0,643.1875,-842.4,-258.54,760.58969225,-643.1875,700.0925,999.38,715.9346922499999
2026-01-01 22:00:00+00:00,0.0,699.9725,0.0,999.38,0.0,760.5581745,0.0,869.12,0.0,221.8825,0.0,642.0,-869.12,-221.8825,760.5581745,-642.0,699.9725,999.38,726.9081744999999
2026-01-01 23:00:00+00:00,0.0,699.1375,0.0,994.9775,0.0,757.7261665,0.0,1504.88,0.0,320.3525,0.0,582.44,-1504.88,-320.3525,757.7261665,-582.44,699.1375,994.9775,44.16866649999997
2026-01-02 00:00:00+00:00,0.0,699.905,0.0,808.92,0.0,765.0728825,0.0,1342.16,0.0,240.48250000000002,0.0,632.905,-1342.16,-240.48250000000002,765.0728825,-632.905,699.905,808.92,58.35038249999991
2026-01-02 01:00:00+00:00,0.0,682.565,0.0,768.9100000000001,0.0,1335.8745087500001,0.0,1940.32,0.0,452.2975,0.0,695.1575,-1940.32,-452.2975,1335.8745087500001,-695.1575,682.565,768.9100000000001,-300.4254912499996
2026-01-02 02:00:00+00:00,0.0,253.5275,0.0,917.8725000000001,0.0,1424.75459675,0.0,2109.36,0.0,599.575,0.0,711.0,-2109.36,-599.575,1424.75459675,-711.0,253.5275,917.8725000000001,-823.7804032500004
2026-01-02 03:00:00+00:00,66.4275,2.83,0.0,673.83,0.0,1539.5740135,0.0,1677.92,0.0,598.045,0.0,586.08,-1677.92,-598.045,1539.5740135,-586.08,-63.5975,673.83,-712.2384865
2026-01-02 04:00:00+00:00,0.0,319.5575,0.0,360.12,0.0,1541.72669575,0.0,1688.0,0.0,413.89250000000004,0.0,553.0175,-1688.0,-413.89250000000004,1541.72669575,-553.0175,319.5575,360.12,-433.50580424999976
2026-01-02 05:00:00+00:00,31.7025,97.5975,0.0,287.85,0.0,1549.8347525,0.0,1250.4,0.0,367.8275,0.0,610.2025,-1250.4,-367.8275,1549.8347525,-610.2025,65.895,287.85,-324.8502475
2026-01-02 06:00:00+00:00,5.68,67.015,0.0,383.765,0.0,1511.6176209999999,0.0,978.08,0.0,552.85,0.0,674.78,-978.08,-552.85,1511.6176209999999,-674.78,61.335,383.765,-248.99237900000014
2026-01-02 07:00:00+00:00,28.2925,11.575000000000001,0.0,978.7650000000001,0.0,1367.91159225,0.0,1151.8400000000001,0.0,591.85,0.0,679.3125,-1151.8400000000001,-591.85,1367.91159225,-679.3125,-16.7175,978.7650000000001,-93.04340774999991
2026-01-02 08:00:00+00:00,0.0,354.08,0.0,999.215,0.0,1385.9262375,0.0,1468.88,0.0,591.245,0.0,709.545,-1468.88,-591.245,1385.9262375,-709.545,354.08,999.215,-30.448762499999816
2026-01-02 09:00:00+00:00,0.0,411.475,0.0,999.34,0.61,1113.4647487500001,0.0,1546.72,0.0,484.5025,0.0,622.02,-1546.72,-484.5025,1112.8547487500002,-622.02,411.475,999.34,-129.5727512499999
2026-01-02 10:00:00+00:00,17.96,107.5875,0.0,999.34,0.11,1394.559595,0.0,1284.0,0.0,362.82,0.0,475.4675,-1284.0,-362.82,1394.449595,-475.4675,89.6275,999.34,361.1295950000002
2026-01-02 11:00:00+00:00,398.445,0.0,0.0,999.34,0.1725,1320.8853732500002,0.0,708.72,0.0,467.15000000000003,0.0,172.9675,-708.72,-467.15000000000003,1320.7128732500003,-172.9675,-398.445,999.34,572.7703732500001
2026-01-02 12:00:00+00:00,0.0,170.2425,0.0,999.1825,0.4225,1224.8327995,0.0,583.6,0.0,550.225,0.0,397.735,-583.6,-550.225,1224.4102995,-397.735,170.2425,999.1825,862.2752995000001
2026-01-02 13:00:00+00:00,0.0,652.2625,0.0,990.6725,0.6725,917.53649875,0.0,609.9200000000001,0.0,597.835,0.0,179.53,-609.9200000000001,-597.835,916.86399875,-179.53,652.2625,990.6725,1172.51399875
2026-01-02 14:00:00+00:00,0.0,412.09749999999997,0.0,999.115,7.275,323.51670075,15.520000000000001,227.6,0.0,235.51,0.5,3.0,-212.07999999999998,-235.51,316.24170075,-2.5,412.09749999999997,999.115,1277.36420075
2026-01-02 15:00:00+00:00,0.0,607.8275,0.0,1005.25,214.62,0.0,64.96,92.56,4.3275,84.6725,0.515625,3.0,-27.60000000000001,-80.345,-214.62,-2.484375,607.8275,1005.25,1288.028125
2026-01-02 16:00:00+00:00,0.0,659.1700000000001,0.0,1254.405,538.015,0.0,0.0,475.59999999999997,272.525,0.0,0.0,20.42,-475.59999999999997,272.525,-538.015,-20.42,659.1700000000001,1254.405,1152.065
2026-01-02 17:00:00+00:00,0.0,409.4125,0.0,1450.915,1095.1475,0.0,147.76,77.92,257.7,0.0,0.53125,3.0,69.83999999999999,257.7,-1095.1475,-2.46875,409.4125,1450.915,1090.2512499999998
