,HU_HR,HR_HU,SI_HR,HR_SI,RS_HR,HR_RS,BA_HR,HR_BA,HR_BA_net_export,HR_HU_net_export,HR_RS_net_export,HR_SI_net_export,Net Export
2026-01-01 00:00:00+00:00,1201.5,0.0,1062.5,0.0,0.0,433.0,0.0,1088.0,1088.0,-1201.5,433.0,-1062.5,-743.0
2026-01-01 01:00:00+00:00,1206.5,0.0,931.5,0.0,0.0,414.0,0.0,1066.0,1066.0,-1206.5,414.0,-931.5,-658.0
2026-01-01 02:00:00+00:00,1188.5,0.0,839.25,0.0,0.0,380.0,0.0,1026.0,1026.0,-1188.5,380.0,-839.25,-621.75
2026-01-01 03:00:00+00:00,1127.75,0.0,879.25,0.0,0.0,367.0,0.0,1047.0,1047.0,-1127.75,367.0,-879.25,-593.0
2026-01-01 04:00:00+00:00,1079.5,0.0,752.25,0.0,0.0,329.0,0.0,1004.0,1004.0,-1079.5,329.0,-752.25,-498.75
2026-01-01 05:00:00+00:00,1113.5,0.0,759.25,0.0,0.0,314.0,0.0,1025.0,1025.0,-1113.5,314.0,-759.25,-533.75
2026-01-01 06:00:00+00:00,976.25,0.0,361.25,0.0,0.0,160.0,0.0,662.0,662.0,-976.25,160.0,-361.25,-515.5
2026-01-01 07:00:00+00:00,487.25,0.0,25.0,147.0,156.0,0.0,21.0,0.0,-21.0,-487.25,-156.0,122.0,-542.25
2026-01-01 08:00:00+00:00,323.0,0.0,0.0,336.75,272.0,0.0,364.0,0.0,-364.0,-323.0,-272.0,336.75,-622.25
2026-01-01 09:00:00+00:00,483.75,0.0,0.0,264.25,185.0,0.0,220.0,0.0,-220.0,-483.75,-185.0,264.25,-624.5
2026-01-01 10:00:00+00:00,643.0,0.0,0.0,139.25,66.0,0.0,27.0,0.0,-27.0,-643.0,-66.0,139.25,-596.75
2026-01-01 11:00:00+00:00,735.0,0.0,0.0,301.0,72.0,0.0,87.0,0.0,-87.0,-735.0,-72.0,301.0,-593.0
2026-01-01 12:00:00+00:00,774.0,0.0,5.5,90.0,0.0,14.0,0.0,209.0,209.0,-774.0,14.0,84.5,-466.5
2026-01-01 13:00:00+00:00,951.0,0.0,244.5,12.75,0.0,160.0,0.0,646.0,646.0,-951.0,160.0,-231.75,-376.75
2026-01-01 14:00:00+00:00,914.75,0.0,473.75,0.0,0.0,306.0,0.0,1217.0,1217.0,-914.75,306.0,-473.75,134.5
2026-01-01 15:00:00+00:00,771.5,0.0,398.0,0.0,0.0,218.0,0.0,1045.0,1045.0,-771.5,218.0,-398.0,93.5
2026-01-01 16:00:00+00:00,643.25,0.0,565.75,0.0,0.0,190.0,0.0,1012.0,1012.0,-643.25,190.0,-565.75,-7.0
2026-01-01 17:00:00+00:00,610.5,0.0,505.75,0.0,0.0,186.0,0.0,1038.0,1038.0,-610.5,186.0,-505.75,107.75
2026-01-01 18:00:00+00:00,622.5,0.0,433.5,0.0,0.0,165.0,0.0,996.0,996.0,-622.5,165.0,-433.5,105.0
2026-01-01 19:00:00+00:00,757.5,0.0,449.5,0.0,0.0,218.0,0.0,1134.0,1134.0,-757.5,218.0,-449.5,145.0
2026-01-01 20:00:00+00:00,819.0,0.0,507.75,0.0,0.0,232.0,0.0,1150.0,1150.0,-819.0,232.0,-507.75,55.25
2026-01-01 21:00:00+00:00,845.5,0.0,399.0,0.0,0.0,195.0,0.0,1058.0,1058.0,-845.5,195.0,-399.0,8.5
2026-01-01 22:00:00+00:00,982.0,0.0,353.25,0.0,0.0,248.0,0.0,1161.0,1161.0,-982.0,248.0,-353.25,73.75
2026-01-01 23:00:00+00:00,1000.25,0.0,216.0,0.0,0.0,279.0,0.0,1076.0,1076.0,-1000.25,279.0,-216.0,138.75
2026-01-02 00:00:00+00:00,987.5,0.0,88.75,0.0,0.0,257.0,0.0,1084.0,1084.0,-987.5,257.0,-88.75,264.75
2026-01-02 01:00:00+00:00,925.75,0.0,35.5,0.25,0.0,246.0,0.0,1035.0,1035.0,-925.75,246.0,-35.25,320.0
2026-01-02 02:00:00+00:00,898.75,0.0,0.0,101.25,0.0,220.0,0.0,975.0,975.0,-898.75,220.0,101.25,397.5
2026-01-02 03:00:00+00:00,830.25,0.0,0.0,154.5,0.0,182.0,0.0,904.0,904.0,-830.25,182.0,154.5,410.25
2026-01-02 04:00:00+00:00,802.0,0.0,19.25,63.0,0.0,164.0,0.0,842.0,842.0,-802.0,164.0,43.75,247.75
2026-01-02 05:00:00+00:00,902.25,0.0,62.0,0.0,0.0,172.0,0.0,887.0,887.0,-902.25,172.0,-62.0,94.75
2026-01-02 06:00:00+00:00,720.75,0.0,211.5,0.0,0.0,101.0,0.0,699.0,699.0,-720.75,101.0,-211.5,-132.25
2026-01-02 07:00:00+00:00,304.0,0.0,15.25,20.75,156.0,0.0,0.0,144.0,144.0,-304.0,-156.0,5.5,-310.5
2026-01-02 08:00:00+00:00,184.25,0.0,0.0,83.5,247.0,0.0,102.0,0.0,-102.0,-184.25,-247.0,83.5,-449.75
