,NO_2_NO_5,NO_5_NO_2,NO_1_NO_5,NO_5_NO_1,NO_5_NO_3,NO_3_NO_5,NO_5_NO_1_net_export,NO_5_NO_2_net_export,NO_5_NO_3_net_export,Net Export
2026-01-01 00:00:00+00:00,87.50864925,0.0,0.0,339.2387915,0.0,461.64797775,339.2387915,-87.50864925,-461.64797775,-209.91783550000002
2026-01-01 01:00:00+00:00,117.54629225000001,0.0,0.0,214.78943175,0.0,360.15174824999997,214.78943175,-117.54629225000001,-360.15174824999997,-262.90860875
2026-01-01 02:00:00+00:00,142.38577,0.0,0.0,146.03868925,0.0,215.364663,146.03868925,-142.38577,-215.364663,-211.71174375
2026-01-01 03:00:00+00:00,104.141261,0.0,0.0,225.34079,0.0,99.28559874999999,225.34079,-104.141261,-99.28559874999999,21.913930250000007
2026-01-01 04:00:00+00:00,100.59412499999999,0.0,0.0,333.16971325,9.42680575,9.8546315,333.16971325,-100.59412499999999,-0.4278257500000002,232.14776249999997
2026-01-01 05:00:00+00:00,155.52558775,0.0,0.0,341.68688725,77.746609,0.0,341.68688725,-155.52558775,77.746609,263.90790849999996
2026-01-01 06:00:00+00:00,127.91469375,0.0,0.0,422.246505,87.53541575,0.0,422.246505,-127.91469375,87.53541575,381.86722699999996
2026-01-01 07:00:00+00:00,83.5085955,0.0,0.0,533.23382875,102.67635200000001,0.0,533.23382875,-83.5085955,102.67635200000001,552.40158525
2026-01-01 08:00:00+00:00,73.60047225,0.0,0.0,569.6720417500001,86.49929375,0.0,569.6720417500001,-73.60047225,86.49929375,582.5708632500001
2026-01-01 09:00:00+00:00,13.666561999999999,5.1429575,0.0,797.17035575,13.754122,0.0,797.17035575,-8.5236045,13.754122,802.40087325
2026-01-01 10:00:00+00:00,0.0,47.0222835,0.0,960.4457485,0.0,70.826286,960.4457485,47.0222835,-70.826286,936.641746
2026-01-01 11:00:00+00:00,153.08216825,0.0,0.0,543.95257925,0.0,172.24289775,543.95257925,-153.08216825,-172.24289775,218.62751325
2026-01-01 12:00:00+00:00,106.65136275,0.0,0.0,687.85574775,0.0,217.93338849999998,687.85574775,-106.65136275,-217.93338849999998,363.2709965
2026-01-01 13:00:00+00:00,21.057872,5.48892425,0.0,873.777598,0.0,322.07507,873.777598,-15.56894775,-322.07507,536.13358025
2026-01-01 14:00:00+00:00,27.371661,0.0,0.0,828.8846975,0.0,404.13139625,828.8846975,-27.371661,-404.13139625,397.38164025
2026-01-01 15:00:00+00:00,44.506337,0.0,0.0,836.2033395,0.0,426.579846,836.2033395,-44.506337,-426.579846,365.11715649999996
2026-01-01 16:00:00+00:00,0.0,46.224914,0.0,980.4604515,0.0,398.15556625,980.4604515,46.224914,-398.15556625,628.52979925
2026-01-01 17:00:00+00:00,0.5717765,13.411308499999999,0.0,952.48867075,0.0,428.8717345,952.48867075,12.839531999999998,-428.8717345,536.45646825
2026-01-01 18:00:00+00:00,20.076477750000002,4.81907325,0.0,835.86919375,0.0,450.5291945,835.86919375,-15.257404500000003,-450.5291945,370.08259475
2026-01-01 19:00:00+00:00,79.476499,0.0,0.0,643.35488175,0.0,418.90649025,643.35488175,-79.476499,-418.90649025,144.97189250000002
2026-01-01 20:00:00+00:00,86.57207100000001,0.0,0.0,576.078893,0.0,481.54805925,576.078893,-86.57207100000001,-481.54805925,7.958762750000005
2026-01-01 21:00:00+00:00,94.40366925000001,0.0,0.0,515.8523917499999,0.0,424.80698425,515.8523917499999,-94.40366925000001,-424.80698425,-3.3582617500001106
2026-01-01 22:00:00+00:00,84.877308,0.0,0.0,614.20050125,0.0,342.45789975,614.20050125,-84.877308,-342.45789975,186.8652935
2026-01-01 23:00:00+00:00,21.63722575,0.28274875,0.0,759.2151605,0.0,205.3364075,759.2151605,-21.354477,-205.3364075,532.5242760000001
2026-01-02 00:00:00+00:00,83.03272825,0.0,0.0,648.73461675,0.0,174.43102075000002,648.73461675,-83.03272825,-174.43102075000002,391.27086775
2026-01-02 01:00:00+00:00,177.43257225000002,0.0,0.0,422.48046575,0.0,185.0930805,422.48046575,-177.43257225000002,-185.0930805,59.95481299999997
2026-01-02 02:00:00+00:00,140.5777785,0.0,0.0,524.4087657499999,0.0,161.48491825000002,524.4087657499999,-140.5777785,-161.48491825000002,222.3460689999999
2026-01-02 03:00:00+00:00,154.73861025,0.0,0.0,507.9756245,0.0,153.35606525,507.9756245,-154.73861025,-153.35606525,199.88094900000002
2026-01-02 04:00:00+00:00,138.47383075,0.0,0.0,508.962903,0.0,178.63304775,508.962903,-138.47383075,-178.63304775,191.8560245
2026-01-02 05:00:00+00:00,113.93225749999999,0.0,0.0,825.565036,0.0,294.86628475,825.565036,-113.93225749999999,-294.86628475,416.76649375
2026-01-02 06:00:00+00:00,135.00095525,0.0,0.0,1234.92807075,0.0,237.67535825000002,1234.92807075,-135.00095525,-237.67535825000002,862.2517572499999
2026-01-02 07:00:00+00:00,155.2887365,0.0,0.0,1222.775536,0.0,254.87061525000001,1222.775536,-155.2887365,-254.87061525000001,812.6161842500002
2026-01-02 08:00:00+00:00,160.67460749999998,0.0,0.0,1179.683724,0.0,190.0778875,1179.683724,-160.67460749999998,-190.0778875,828.931229
2026-01-02 09:00:00+00:00,168.486143,0.0,0.0,1210.2175,0.0,206.54658225,1210.2175,-168.486143,-206.54658225,835.1847747499999
