,LV_EE,EE_LV,EE_FI,FI_EE,EE_FI_net_export,EE_LV_net_export,Net Export
2026-01-01 00:00:00+00:00,155.25,0.0,0.0,662.0675,-662.0675,-155.25,-817.3175
2026-01-01 01:00:00+00:00,268.25,0.0,0.0,579.89,-579.89,-268.25,-848.14
2026-01-01 02:00:00+00:00,329.25,0.0,0.0,468.09749999999997,-468.09749999999997,-329.25,-797.3475
2026-01-01 03:00:00+00:00,518.0,0.0,0.0,254.88,-254.88,-518.0,-772.88
2026-01-01 04:00:00+00:00,516.75,0.0,0.0,188.0725,-188.0725,-516.75,-704.8225
2026-01-01 05:00:00+00:00,431.0,0.0,0.0,190.075,-190.075,-431.0,-621.075
2026-01-01 06:00:00+00:00,378.5,0.0,0.0,222.7875,-222.7875,-378.5,-601.2875
2026-01-01 07:00:00+00:00,277.75,0.0,0.0,348.6825,-348.6825,-277.75,-626.4325
2026-01-01 08:00:00+00:00,402.5,0.0,0.0,332.615,-332.615,-402.5,-735.115
2026-01-01 09:00:00+00:00,455.0,0.0,0.0,265.85249999999996,-265.85249999999996,-455.0,-720.8525
2026-01-01 10:00:00+00:00,478.0,0.0,0.0,280.5575,-280.5575,-478.0,-758.5575
2026-01-01 11:00:00+00:00,439.0,0.0,0.0,335.2625,-335.2625,-439.0,-774.2625
2026-01-01 12:00:00+00:00,338.25,0.0,0.0,428.2675,-428.2675,-338.25,-766.5174999999999
2026-01-01 13:00:00+00:00,412.5,0.0,0.0,382.7,-382.7,-412.5,-795.2
2026-01-01 14:00:00+00:00,398.0,0.0,0.0,381.08,-381.08,-398.0,-779.0799999999999
2026-01-01 15:00:00+00:00,375.0,0.0,0.0,367.9175,-367.9175,-375.0,-742.9175
2026-01-01 16:00:00+00:00,382.25,0.0,0.0,360.995,-360.995,-382.25,-743.245
2026-01-01 17:00:00+00:00,340.25,0.0,0.0,387.015,-387.015,-340.25,-727.265
2026-01-01 18:00:00+00:00,162.5,0.0,0.0,506.245,-506.245,-162.5,-668.745
2026-01-01 19:00:00+00:00,243.75,0.0,0.0,432.225,-432.225,-243.75,-675.975
2026-01-01 20:00:00+00:00,204.75,0.0,0.0,351.51,-351.51,-204.75,-556.26
2026-01-01 21:00:00+00:00,149.5,0.0,0.0,312.475,-312.475,-149.5,-461.975
2026-01-01 22:00:00+00:00,219.0,0.0,0.0,290.7325,-290.7325,-219.0,-509.7325
2026-01-01 23:00:00+00:00,96.5,0.0,0.0,446.725,-446.725,-96.5,-543.225
2026-01-02 00:00:00+00:00,325.5,0.0,0.0,227.51500000000001,-227.51500000000001,-325.5,-553.015
2026-01-02 01:00:00+00:00,280.75,0.0,0.0,314.74,-314.74,-280.75,-595.49
2026-01-02 02:00:00+00:00,305.25,0.0,0.0,323.9225,-323.9225,-305.25,-629.1725
2026-01-02 03:00:00+00:00,438.25,0.0,0.0,267.0825,-267.0825,-438.25,-705.3325
2026-01-02 04:00:00+00:00,172.75,15.0,0.0,446.6575,-446.6575,-157.75,-604.4075
2026-01-02 05:00:00+00:00,0.0,267.75,0.0,929.1225,-929.1225,267.75,-661.3725
2026-01-02 06:00:00+00:00,0.0,245.25,0.0,1015.025,-1015.025,245.25,-769.775
2026-01-02 07:00:00+00:00,0.0,193.0,0.0,983.695,-983.695,193.0,-790.695
2026-01-02 08:00:00+00:00,0.0,187.25,0.0,1018.9250000000001,-1018.9250000000001,187.25,-831.6750000000001
2026-01-02 09:00:00+00:00,0.0,123.0,0.0,965.665,-965.665,123.0,-842.665
2026-01-02 10:00:00+00:00,215.25,8.75,0.0,646.5875,-646.5875,-206.5,-853.0875
2026-01-02 11:00:00+00:00,452.25,0.0,0.0,397.4425,-397.4425,-452.25,-849.6925
2026-01-02 12:00:00+00:00,504.75,0.0,0.0,354.24,-354.24,-504.75,-858.99
2026-01-02 13:00:00+00:00,534.0,0.0,0.0,359.75,-359.75,-534.0,-893.75
2026-01-02 14:00:00+00:00,439.25,0.0,0.0,547.0275,-547.0275,-439.25,-986.2775
2026-01-02 15:00:00+00:00,534.5,0.0,0.0,431.4675,-431.4675,-534.5,-965.9675
2026-01-02 16:00:00+00:00,757.5,0.0,0.0,197.0275,-197.0275,-757.5,-954.5275
2026-01-02 17:00:00+00:00,716.0,0.0,0.0,222.2275,-222.2275,-716.0,-938.2275
2026-01-02 18:00:00+00:00,451.5,0.0,0.0,440.9525,-440.9525,-451.5,-892.4525
2026-01-02 19:00:00+00:00,65.0,6.75,0.0,835.9300000000001,-835.9300000000001,-58.25,-894.1800000000001
2026-01-02 20:00:00+00:00,209.75,0.0,0.0,664.03,-664.03,-209.75,-873.78
2026-01-02 21:00:00+00:00,30.75,55.5,0.0,848.8,-848.8,24.75,-824.05
2026-01-02 22:00:00+00:00,137.75,0.0,0.0,696.1225,-696.1225,-137.75,-833.8725
2026-01-02 23:00:00+00:00,22.0,101.0,0.0,864.9275,-864.9275,79.0,-785.9275
2026-01-03 00:00:00+00:00,0.0,206.75,0.0,1004.645,-1004.645,206.75,-797.895
2026-01-03 01:00:00+00:00,65.5,64.5,0.0,855.1125,-855.1125,-1.0,-856.1125
2026-01-03 02:00:00+00:00,165.25,0.0,0.0,704.675,-704.675,-165.25,-869.925
2026-01-03 03:00:00+00:00,123.5,0.0,0.0,693.9425,-693.9425,-123.5,-817.4425
2026-01-03 04:00:00+00:00,0.0,103.25,0.0,915.515,-915.515,103.25,-812.265
2026-01-03 05:00:00+00:00,0.0,94.5,0.0,917.2950000000001,-917.2950000000001,94.5,-822.7950000000001
2026-01-03 06:00:00+00:00,0.0,166.75,0.0,1021.825,-1021.825,166.75,-855.075
2026-01-03 07:00:00+00:00,0.0,76.0,0.0,1020.75,-1020.75,76.0,-944.75
2026-01-03 08:00:00+00:00,0.0,86.5,0.0,1028.075,-1028.075,86.5,-941.575
2026-01-03 09:00:00+00:00,4.75,30.75,0.0,1015.3925,-1015.3925,26.0,-989.3925
2026-01-03 10:00:00+00:00,104.0,0.0,0.0,885.5425,-885.5425,-104.0,-989.5425
2026-01-03 11:00:00+00:00,8.25,5.5,0.0,890.925,-890.925,-2.75,-893.675
2026-01-03 12:00:00+00:00,1.0,17.25,0.0,972.6775,-972.6775,16.25,-956.4275
2026-01-03 13:00:00+00:00,55.0,0.0,0.0,925.8725,-925.8725,-55.0,-980.8725
2026-01-03 14:00:00+00:00,157.0,0.0,0.0,880.0275,-880.0275,-157.0,-1037.0275000000001
2026-01-03 15:00:00+00:00,63.25,0.0,0.0,994.8525,-994.8525,-63.25,-1058.1025
2026-01-03 16:00:00+00:00,51.25,0.0,0.0,1000.9,-1000.9,-51.25,-1052.15
2026-01-03 17:00:00+00:00,15.5,0.0,0.0,1013.75,-1013.75,-15.5,-1029.25
2026-01-03 18:00:00+00:00,0.0,8.0,0.0,1010.7,-1010.7,8.0,-1002.7
2026-01-03 19:00:00+00:00,0.0,48.0,0.0,1024.9,-1024.9,48.0,-976.9000000000001
2026-01-03 20:00:00+00:00,0.0,50.0,0.0,1016.75,-1016.75,50.0,-966.75
2026-01-03 21:00:00+00:00,0.0,131.75,0.0,1021.225,-1021.225,131.75,-889.475
2026-01-03 22:00:00+00:00,0.0,150.25,0.0,1012.925,-1012.925,150.25,-862.675
2026-01-03 23:00:00+00:00,0.0,182.25,0.0,1014.4025,-1014.4025,182.25,-832.1525
2026-01-04 00:00:00+00:00,0.0,202.0,0.0,981.0225,-981.0225,202.0,-779.0225
2026-01-04 01:00:00+00:00,0.0,249.25,0.0,1009.3599999999999,-1009.3599999999999,249.25,-760.1099999999999
2026-01-04 02:00:00+00:00,0.0,203.75,0.0,998.425,-998.425,203.75,-794.675
2026-01-04 03:00:00+00:00,0.0,201.75,0.0,1003.045,-1003.045,201.75,-801.295
2026-01-04 04:00:00+00:00,0.0,193.0,0.0,1005.8175000000001,-1005.8175000000001,193.0,-812.8175000000001
2026-01-04 05:00:00+00:00,0.0,232.75,0.0,1030.875,-1030.875,232.75,-798.125
2026-01-04 06:00:00+00:00,0.0,296.25,0.0,1026.15,-1026.15,296.25,-729.9000000000001
2026-01-04 07:00:00+00:00,0.0,321.75,0.0,1014.91,-1014.91,321.75,-693.16
2026-01-04 08:00:00+00:00,0.0,307.5,0.0,1030.875,-1030.875,307.5,-723.375
2026-01-04 09:00:00+00:00,0.0,300.5,0.0,1030.6,-1030.6,300.5,-730.0999999999999
2026-01-04 10:00:00+00:00,0.0,340.5,0.0,1027.625,-1027.625,340.5,-687.125
2026-01-04 11:00:00+00:00,0.0,274.5,0.0,1031.0,-1031.0,274.5,-756.5
2026-01-04 12:00:00+00:00,0.0,301.25,0.0,1021.675,-1021.675,301.25,-720.425
2026-01-04 13:00:00+00:00,0.0,294.25,0.0,1030.775,-1030.775,294.25,-736.5250000000001
2026-01-04 14:00:00+00:00,0.0,262.5,0.0,1020.125,-1020.125,262.5,-757.625
2026-01-04 15:00:00+00:00,0.0,218.5,0.0,1030.85,-1030.85,218.5,-812.3499999999999
2026-01-04 16:00:00+00:00,0.0,154.0,0.0,1030.575,-1030.575,154.0,-876.575
2026-01-04 17:00:00+00:00,0.0,45.0,0.0,927.1575,-927.1575,45.0,-882.1575
2026-01-04 18:00:00+00:00,152.25,0.0,0.0,575.29,-575.29,-152.25,-727.54
2026-01-04 19:00:00+00:00,280.0,0.0,0.0,443.1175,-443.1175,-280.0,-723.1175000000001
2026-01-04 20:00:00+00:00,362.0,0.0,0.0,348.4375,-348.4375,-362.0,-710.4375
2026-01-04 21:00:00+00:00,530.0,0.0,0.0,172.5725,-172.5725,-530.0,-702.5725
2026-01-04 22:00:00+00:00,479.5,0.0,0.0,183.77,-183.77,-479.5,-663.27
2026-01-04 23:00:00+00:00,346.75,0.0,0.0,140.7225,-140.7225,-346.75,-487.47249999999997
2026-01-05 00:00:00+00:00,358.25,0.0,0.0,139.66750000000002,-139.66750000000002,-358.25,-497.9175
2026-01-05 01:00:00+00:00,50.0,0.0,0.0,430.5225,-430.5225,-50.0,-480.5225
2026-01-05 02:00:00+00:00,43.75,11.25,0.0,433.1675,-433.1675,-32.5,-465.6675
2026-01-05 03:00:00+00:00,213.75,0.0,0.0,208.565,-208.565,-213.75,-422.315
