,PL_SE_4,SE_4_PL,LT_SE_4,SE_4_LT,SE_3_SE_4,SE_4_SE_3,SE_4_DE_LU,DE_LU_SE_4,SE_4_DK_2,DK_2_SE_4,SE_4_DE_LU_net_export,SE_4_DK_2_net_export,SE_4_LT_net_export,SE_4_PL_net_export,SE_4_SE_3_net_export,Net Export
2026-01-01 00:00:00+00:00,0.0,596.35,0.0,732.549164,3737.9782715,0.0,161.09668375,0.0,1097.155,0.0,161.09668375,1097.155,732.549164,596.35,-3737.9782715,-1150.82742375
2026-01-01 01:00:00+00:00,0.0,596.85,0.0,732.4445955,3124.4294435,0.0,154.12928325000001,0.0,806.485,0.0,154.12928325000001,806.485,732.4445955,596.85,-3124.4294435,-834.5205647500002
2026-01-01 02:00:00+00:00,0.0,579.3000000000001,0.0,730.6417692499999,2228.08996575,0.0,0.0,50.962404250000006,362.40250000000003,0.0,-50.962404250000006,362.40250000000003,730.6417692499999,579.3000000000001,-2228.08996575,-606.7081007500001
2026-01-01 03:00:00+00:00,0.0,423.34999999999997,0.0,655.59143075,1592.3952637500001,0.0,0.0,112.84267025,111.7825,18.226778,-112.84267025,93.555722,655.59143075,423.34999999999997,-1592.3952637500001,-532.7407812500003
2026-01-01 04:00:00+00:00,0.0,97.425,0.0,630.69589225,1767.71746825,0.0,0.0,203.5026095,554.7175,0.0,-203.5026095,554.7175,630.69589225,97.425,-1767.71746825,-688.3816855
2026-01-01 05:00:00+00:00,0.0,0.0,0.0,655.6890105,1566.4112245000001,0.0,0.0,203.45441424999999,469.8475,0.0,-203.45441424999999,469.8475,655.6890105,0.0,-1566.4112245000001,-644.32912825
2026-01-01 06:00:00+00:00,32.5,0.0,0.0,718.3213805,1340.7672425,0.0,0.0,203.46266925,214.58499999999998,0.0,-203.46266925,214.58499999999998,718.3213805,-32.5,-1340.7672425,-643.8235312500001
2026-01-01 07:00:00+00:00,573.6,0.0,0.0,731.63768025,1005.06443775,0.0,0.0,203.43652350000002,419.175,0.0,-203.43652350000002,419.175,731.63768025,-573.6,-1005.06443775,-631.288281
2026-01-01 08:00:00+00:00,616.7,0.0,0.0,732.246811,885.14236425,0.0,0.0,203.42827599999998,424.9375,0.0,-203.42827599999998,424.9375,732.246811,-616.7,-885.14236425,-548.0863292500001
2026-01-01 09:00:00+00:00,616.6,0.0,0.0,701.312851,638.8463595000001,0.0,0.0,203.41863225,162.305,0.0,-203.41863225,162.305,701.312851,-616.6,-638.8463595000001,-595.2471407500001
2026-01-01 10:00:00+00:00,616.975,0.0,0.0,705.59249875,422.72792825,0.0,0.0,203.43513475,0.5175,231.6204415,-203.43513475,-231.1029415,705.59249875,-616.975,-422.72792825,-768.64850575
2026-01-01 11:00:00+00:00,593.6,0.0,0.0,727.51367175,704.6237945,0.0,0.0,203.41588575,0.0,93.40394025,-203.41588575,-93.40394025,727.51367175,-593.6,-704.6237945,-867.5299487500001
2026-01-01 12:00:00+00:00,327.425,0.0,0.0,725.72357175,968.45741275,0.0,0.0,203.417244,0.0,189.101471,-203.417244,-189.101471,725.72357175,-327.425,-968.45741275,-962.6775560000001
2026-01-01 13:00:00+00:00,0.0,0.0,0.0,588.66789225,1151.131058,0.0,0.0,203.3910905,0.0,316.93291875,-203.3910905,-316.93291875,588.66789225,0.0,-1151.131058,-1082.787175
2026-01-01 14:00:00+00:00,0.0,64.05,0.0,702.79794325,1686.374237,0.0,0.0,203.39384475,0.0,108.51527225000001,-203.39384475,-108.51527225000001,702.79794325,64.05,-1686.374237,-1231.43541075
2026-01-01 15:00:00+00:00,0.0,92.95,0.0,729.958389,1981.627808,0.0,0.0,203.39521775,44.8375,52.36518625,-203.39521775,-7.527686250000002,729.958389,92.95,-1981.627808,-1369.642323
2026-01-01 16:00:00+00:00,0.0,40.2,0.0,693.9502104999999,2119.08520525,0.0,0.0,156.25661474999998,117.48500000000001,0.0,-156.25661474999998,117.48500000000001,693.9502104999999,40.2,-2119.08520525,-1423.7066095
2026-01-01 17:00:00+00:00,0.0,97.975,0.0,730.29266375,2580.89904775,0.0,0.0,70.27417125,449.85,0.0,-70.27417125,449.85,730.29266375,97.975,-2580.89904775,-1373.0555552500002
