,AT_HU,HU_AT,HU_HR,HR_HU,HU_RO,RO_HU,HU_RS,RS_HU,HU_SI,SI_HU,HU_SK,SK_HU,HU_AT_net_export,HU_HR_net_export,HU_RO_net_export,HU_RS_net_export,HU_SI_net_export,HU_SK_net_export,Net Export
2026-01-01 00:00:00+00:00,1624.62825,0.0,1201.5,0.0,726.812,0.0,534.249,0.0,93.56825,0.0,0.0,2553.18225,-1624.62825,1201.5,726.812,534.249,93.56825,-2553.18225,-1621.6812499999996
2026-01-01 01:00:00+00:00,1475.15525,0.0,1206.5,0.0,715.48725,0.0,520.5865,0.0,150.22975,0.0,0.0,2612.07175,-1475.15525,1206.5,715.48725,520.5865,150.22975,-2612.07175,-1494.4235
2026-01-01 02:00:00+00:00,1326.51075,0.0,1188.5,0.0,685.24425,0.0,488.8285,0.0,185.0685,0.0,0.0,2722.5045,-1326.51075,1188.5,685.24425,488.8285,185.0685,-2722.5045,-1501.3739999999998
2026-01-01 03:00:00+00:00,1264.5675,0.0,1127.75,0.0,680.52175,0.0,457.65375,0.0,161.36675,0.0,0.0,2753.93025,-1264.5675,1127.75,680.52175,457.65375,161.36675,-2753.93025,-1591.2055
2026-01-01 04:00:00+00:00,1164.543,0.0,1079.5,0.0,671.5295,0.0,417.93325,0.0,176.035,0.0,0.0,2726.33425,-1164.543,1079.5,671.5295,417.93325,176.035,-2726.33425,-1545.8794999999998
2026-01-01 05:00:00+00:00,947.7,0.0,1113.5,0.0,616.27325,0.0,437.80075,0.0,206.7305,0.0,0.0,2903.75875,-947.7,1113.5,616.27325,437.80075,206.7305,-2903.75875,-1477.15425
2026-01-01 06:00:00+00:00,501.56575,0.0,976.25,0.0,454.58299999999997,0.0,313.56575,0.0,294.099,0.0,0.0,2928.5035,-501.56575,976.25,454.58299999999997,313.56575,294.099,-2928.5035,-1391.5714999999998
2026-01-01 07:00:00+00:00,92.385,58.0105,487.25,0.0,152.96,2.11225,44.15625,69.36025,331.91150000000005,0.0,0.0,2223.359,-34.374500000000005,487.25,150.84775000000002,-25.203999999999994,331.91150000000005,-2223.359,-1312.92825
2026-01-01 08:00:00+00:00,0.0,299.9405,323.0,0.0,1.79775,139.445,0.00075,112.6275,365.789,0.0,0.0,1849.00375,299.9405,323.0,-137.64724999999999,-112.62675,365.789,-1849.00375,-1110.5482500000003
2026-01-01 09:00:00+00:00,0.0,225.87175,483.75,0.0,0.0,168.695,13.19175,6.39575,365.376,0.0,0.0,1810.5015,225.87175,483.75,-168.695,6.796000000000001,365.376,-1810.5015,-897.40275
2026-01-01 10:00:00+00:00,1.29125,35.6295,643.0,0.0,23.69725,4.117999999999999,105.504,0.0,347.0535,0.0,0.0,1824.8185,34.33825,643.0,19.579250000000002,105.504,347.0535,-1824.8185,-675.3435000000002
2026-01-01 11:00:00+00:00,0.0,188.298,735.0,0.0,47.08825,0.665,141.0555,0.0,422.16025,0.0,0.0,1696.81725,188.298,735.0,46.42325,141.0555,422.16025,-1696.81725,-163.88025000000016
2026-01-01 12:00:00+00:00,6.301,81.074,774.0,0.0,209.38825,0.0,194.268,0.0,355.43275,0.0,0.0,1759.9625,74.773,774.0,209.38825,194.268,355.43275,-1759.9625,-152.1005
2026-01-01 13:00:00+00:00,374.78675,3.53575,951.0,0.0,376.36,0.0,312.26925,0.0,280.42674999999997,0.0,0.0,2424.92425,-371.251,951.0,376.36,312.26925,280.42674999999997,-2424.92425,-876.1192500000002
2026-01-01 14:00:00+00:00,768.9215,0.0,914.75,0.0,608.11375,0.0,355.44725,0.0,86.1155,0.0,0.0,2969.193,-768.9215,914.75,608.11375,355.44725,86.1155,-2969.193,-1773.688
2026-01-01 15:00:00+00:00,729.65225,0.0,771.5,0.0,578.8835,0.0,254.47,0.0,50.71975,0.0,0.0,2923.03075,-729.65225,771.5,578.8835,254.47,50.71975,-2923.03075,-1997.1097499999998
2026-01-01 16:00:00+00:00,648.9525,0.0,643.25,0.0,571.744,0.0,205.40375,0.0,7.070250000000001,4.84525,0.0,2870.10425,-648.9525,643.25,571.744,205.40375,2.2250000000000005,-2870.10425,-2096.4339999999997
2026-01-01 17:00:00+00:00,543.6055,0.0,610.5,0.0,584.2135,0.0,192.61025,0.0,4.2372499999999995,3.66675,0.0,2878.79875,-543.6055,610.5,584.2135,192.61025,0.5704999999999996,-2878.79875,-2034.51
