,BG_GR,GR_BG,MK_GR,GR_MK,GR_IT_SUD,IT_SUD_GR,GR_BG_net_export,GR_MK_net_export,GR_IT_SUD_net_export,Net Export
2026-01-01 00:00:00+00:00,0.0,265.0,0.0,501.0,508.0,0.0,265.0,501.0,508.0,1274.0
2026-01-01 01:00:00+00:00,0.0,208.0,0.0,382.0,508.0,0.0,208.0,382.0,508.0,1098.0
2026-01-01 02:00:00+00:00,0.0,109.0,0.0,264.0,508.0,0.0,109.0,264.0,508.0,881.0
2026-01-01 03:00:00+00:00,0.0,37.0,0.0,127.0,508.0,0.0,37.0,127.0,508.0,672.0
2026-01-01 04:00:00+00:00,0.0,43.0,0.0,111.0,508.0,0.0,43.0,111.0,508.0,662.0
2026-01-01 05:00:00+00:00,84.0,1.0,38.0,7.0,508.0,0.0,-83.0,-31.0,508.0,394.0
2026-01-01 06:00:00+00:00,86.0,0.0,0.0,77.0,508.0,0.0,-86.0,77.0,508.0,499.0
2026-01-01 07:00:00+00:00,35.0,43.0,0.0,526.0,508.0,0.0,8.0,526.0,508.0,1042.0
2026-01-01 08:00:00+00:00,0.0,106.0,0.0,830.0,508.0,0.0,106.0,830.0,508.0,1444.0
2026-01-01 09:00:00+00:00,10.0,15.0,0.0,692.0,506.5,0.0,5.0,692.0,506.5,1203.5
2026-01-01 10:00:00+00:00,0.0,94.0,0.0,665.0,471.0,0.0,94.0,665.0,471.0,1230.0
2026-01-01 11:00:00+00:00,0.0,72.0,0.0,656.0,508.0,0.0,72.0,656.0,508.0,1236.0
2026-01-01 12:00:00+00:00,32.0,3.0,0.0,530.0,508.0,0.0,-29.0,530.0,508.0,1009.0
2026-01-01 13:00:00+00:00,80.0,3.0,3.0,305.0,508.0,0.0,-77.0,302.0,508.0,733.0
2026-01-01 14:00:00+00:00,331.0,0.0,178.0,0.0,466.25,0.0,-331.0,-178.0,466.25,-42.75
2026-01-01 15:00:00+00:00,377.0,0.0,212.0,0.0,0.0,49.0,-377.0,-212.0,-49.0,-638.0
2026-01-01 16:00:00+00:00,384.0,0.0,205.0,0.0,0.0,97.75,-384.0,-205.0,-97.75,-686.75
2026-01-01 17:00:00+00:00,345.0,0.0,223.0,0.0,47.0,0.0,-345.0,-223.0,47.0,-521.0
2026-01-01 18:00:00+00:00,300.0,0.0,214.0,0.0,0.0,173.5,-300.0,-214.0,-173.5,-687.5
2026-01-01 19:00:00+00:00,290.0,0.0,205.0,0.0,0.0,236.0,-290.0,-205.0,-236.0,-731.0
2026-01-01 20:00:00+00:00,349.0,0.0,164.0,0.0,3.0,0.0,-349.0,-164.0,3.0,-510.0
2026-01-01 21:00:00+00:00,317.0,0.0,17.0,21.0,276.25,0.0,-317.0,4.0,276.25,-36.75
2026-01-01 22:00:00+00:00,382.0,0.0,71.0,2.0,471.75,0.0,-382.0,-69.0,471.75,20.75
2026-01-01 23:00:00+00:00,402.0,0.0,149.0,0.0,503.0,0.0,-402.0,-149.0,503.0,-48.0
2026-01-02 00:00:00+00:00,415.0,0.0,232.0,0.0,508.0,0.0,-415.0,-232.0,508.0,-139.0
2026-01-02 01:00:00+00:00,338.0,0.0,217.0,0.0,508.0,0.0,-338.0,-217.0,508.0,-47.0
2026-01-02 02:00:00+00:00,287.0,0.0,227.0,0.0,508.0,0.0,-287.0,-227.0,508.0,-6.0
2026-01-02 03:00:00+00:00,262.0,0.0,225.0,0.0,508.0,0.0,-262.0,-225.0,508.0,21.0
2026-01-02 04:00:00+00:00,332.0,0.0,291.0,0.0,508.0,0.0,-332.0,-291.0,508.0,-115.0
2026-01-02 05:00:00+00:00,330.0,0.0,326.0,0.0,508.0,0.0,-330.0,-326.0,508.0,-148.0
2026-01-02 06:00:00+00:00,139.0,0.0,88.0,38.0,468.5,0.0,-139.0,-50.0,468.5,279.5
2026-01-02 07:00:00+00:00,146.0,0.0,0.0,323.0,502.0,0.0,-146.0,323.0,502.0,679.0
2026-01-02 08:00:00+00:00,114.0,0.0,0.0,551.0,507.5,0.0,-114.0,551.0,507.5,944.5
2026-01-02 09:00:00+00:00,25.0,4.0,0.0,748.0,489.5,0.0,-21.0,748.0,489.5,1216.5
2026-01-02 10:00:00+00:00,0.0,176.0,0.0,881.0,13.75,5.75,176.0,881.0,8.0,1065.0
2026-01-02 11:00:00+00:00,0.0,189.0,0.0,822.0,0.0,252.25,189.0,822.0,-252.25,758.75
2026-01-02 12:00:00+00:00,0.0,238.0,0.0,790.0,0.0,460.0,238.0,790.0,-460.0,568.0
2026-01-02 13:00:00+00:00,0.0,302.0,0.0,655.0,0.0,261.25,302.0,655.0,-261.25,695.75
