,FR_CH,CH_FR,CH_AT,AT_CH,CH_DE_LU,DE_LU_CH,CH_IT_NORD,IT_NORD_CH,CH_AT_net_export,CH_DE_LU_net_export,CH_FR_net_export,CH_IT_NORD_net_export,Net Export
2026-01-01 00:00:00+00:00,669.4,0.0,0.0,681.41687,0.0,3749.56842,1351.5,0.0,-681.41687,-3749.56842,-669.4,1351.5,-3748.88529
2026-01-01 01:00:00+00:00,677.39,0.0,0.0,610.04309,0.0,3842.96405,1333.5,0.0,-610.04309,-3842.96405,-677.39,1333.5,-3796.89714
2026-01-01 02:00:00+00:00,610.8025,0.0,0.0,658.560852,0.0,4004.688415,1684.25,0.0,-658.560852,-4004.688415,-610.8025,1684.25,-3589.801767
2026-01-01 03:00:00+00:00,714.1175,0.0,0.0,597.098754,0.0,4039.7085564999998,1638.5,0.0,-597.098754,-4039.7085564999998,-714.1175,1638.5,-3712.4248104999997
2026-01-01 04:00:00+00:00,393.725,0.0,0.0,658.358947,0.0,3996.403564,1750.5,0.0,-658.358947,-3996.403564,-393.725,1750.5,-3297.9875110000003
2026-01-01 05:00:00+00:00,24.3525,114.26,0.0,811.272338,0.0,4343.71313425,1905.75,0.0,-811.272338,-4343.71313425,89.9075,1905.75,-3159.327972249999
2026-01-01 06:00:00+00:00,0.0,360.9425,0.0,899.030395,0.0,4176.539062,2139.75,0.0,-899.030395,-4176.539062,360.9425,2139.75,-2574.8769569999995
2026-01-01 07:00:00+00:00,0.0,376.0625,0.0,836.017883,0.0,3801.85839775,1589.25,0.0,-836.017883,-3801.85839775,376.0625,1589.25,-2672.5637807500007
2026-01-01 08:00:00+00:00,73.53,68.775,0.0,787.732971,0.0,3882.0852045,1863.75,0.0,-787.732971,-3882.0852045,-4.7549999999999955,1863.75,-2810.8231755000006
2026-01-01 09:00:00+00:00,612.4225,0.0,0.0,793.885009,0.0,3627.420654,1531.25,0.0,-793.885009,-3627.420654,-612.4225,1531.25,-3502.4781629999998
2026-01-01 10:00:00+00:00,621.2975,0.0,0.0,777.646484,0.0,3387.7481685000002,1500.25,0.0,-777.646484,-3387.7481685000002,-621.2975,1500.25,-3286.4421525
