,IT_SICI_IT_CALA,IT_CALA_IT_SICI,IT_SICI_IT_CALA_net_export,Net Export
2026-01-01 00:00:00+00:00,0.0,1326.98,-1326.98,-1326.98
2026-01-01 01:00:00+00:00,0.0,1253.365,-1253.365,-1253.365
2026-01-01 02:00:00+00:00,0.0,1136.8725,-1136.8725,-1136.8725
2026-01-01 03:00:00+00:00,0.0,1046.4125000000001,-1046.4125000000001,-1046.4125000000001
2026-01-01 04:00:00+00:00,0.0,986.4575,-986.4575,-986.4575
2026-01-01 05:00:00+00:00,0.0,990.6075,-990.6075,-990.6075
2026-01-01 06:00:00+00:00,0.0,874.535,-874.535,-874.535
2026-01-01 07:00:00+00:00,0.0,688.1899999999999,-688.1899999999999,-688.1899999999999
2026-01-01 08:00:00+00:00,0.0,555.125,-555.125,-555.125
2026-01-01 09:00:00+00:00,0.0,484.59749999999997,-484.59749999999997,-484.59749999999997
2026-01-01 10:00:00+00:00,0.0,436.725,-436.725,-436.725
2026-01-01 11:00:00+00:00,0.0,420.42,-420.42,-420.42
2026-01-01 12:00:00+00:00,0.0,400.2825,-400.2825,-400.2825
2026-01-01 13:00:00+00:00,0.0,205.875,-205.875,-205.875
2026-01-01 14:00:00+00:00,0.0,319.15,-319.15,-319.15
2026-01-01 15:00:00+00:00,0.0,312.835,-312.835,-312.835
2026-01-01 16:00:00+00:00,0.0,264.64,-264.64,-264.64
2026-01-01 17:00:00+00:00,0.0,267.6725,-267.6725,-267.6725
2026-01-01 18:00:00+00:00,0.0,266.70000000000005,-266.70000000000005,-266.70000000000005
2026-01-01 19:00:00+00:00,0.0,349.755,-349.755,-349.755
2026-01-01 20:00:00+00:00,0.0,327.175,-327.175,-327.175
2026-01-01 21:00:00+00:00,0.0,553.12,-553.12,-553.12
2026-01-01 22:00:00+00:00,0.0,811.3075,-811.3075,-811.3075
2026-01-01 23:00:00+00:00,0.0,629.875,-629.875,-629.875
2026-01-02 00:00:00+00:00,0.0,476.2175,-476.2175,-476.2175
2026-01-02 01:00:00+00:00,0.0,401.845,-401.845,-401.845
2026-01-02 02:00:00+00:00,0.0,352.63,-352.63,-352.63
2026-01-02 03:00:00+00:00,0.0,253.255,-253.255,-253.255
2026-01-02 04:00:00+00:00,0.0,248.9375,-248.9375,-248.9375
2026-01-02 05:00:00+00:00,0.0,196.23250000000002,-196.23250000000002,-196.23250000000002
2026-01-02 06:00:00+00:00,54.4925,24.52,29.9725,29.9725
2026-01-02 07:00:00+00:00,260.8675,0.0,260.8675,260.8675
2026-01-02 08:00:00+00:00,588.13,0.0,588.13,588.13
2026-01-02 09:00:00+00:00,851.25,0.0,851.25,851.25
2026-01-02 10:00:00+00:00,985.9925,0.0,985.9925,985.9925
2026-01-02 11:00:00+00:00,1032.2175,0.0,1032.2175,1032.2175
2026-01-02 12:00:00+00:00,781.9175,0.0,781.9175,781.9175
