,DK_1_SE_3,SE_3_DK_1,SE_3_FI,FI_SE_3,SE_3_NO_1,NO_1_SE_3,SE_3_SE_2,SE_2_SE_3,SE_3_SE_4,SE_4_SE_3,SE_3_DK_1_net_export,SE_3_FI_net_export,SE_3_NO_1_net_export,SE_3_SE_2_net_export,SE_3_SE_4_net_export,Net Export
2026-01-01 00:00:00+00:00,0.0,472.5325,1193.375,0.0,1179.6106272499999,0.0,0.0,6464.784668,3737.9782715,0.0,472.5325,1193.375,1179.6106272499999,-6464.784668,3737.9782715,118.71173074999979
2026-01-01 01:00:00+00:00,0.0,325.3425,1193.3500000000001,0.0,1327.59316175,0.0,0.0,5691.477173,3124.4294435,0.0,325.3425,1193.3500000000001,1327.59316175,-5691.477173,3124.4294435,279.2379322500001
2026-01-01 02:00:00+00:00,0.0,385.14,1183.375,0.0,1548.2595205,0.0,0.0,4903.151123,2228.08996575,0.0,385.14,1183.375,1548.2595205,-4903.151123,2228.08996575,441.7133632500004
2026-01-01 03:00:00+00:00,0.0,682.2175,1183.175,0.0,1600.3306445,0.0,0.0,4530.6132815,1592.3952637500001,0.0,682.2175,1183.175,1600.3306445,-4530.6132815,1592.3952637500001,527.5051267499998
2026-01-01 04:00:00+00:00,0.0,699.86,1072.175,0.0,1487.803666,0.0,0.0,4649.681274250001,1767.71746825,0.0,699.86,1072.175,1487.803666,-4649.681274250001,1767.71746825,377.874859999999
2026-01-01 05:00:00+00:00,0.0,702.3725,989.24,0.0,1366.8503325000001,0.0,0.0,4311.87683125,1566.4112245000001,0.0,702.3725,989.24,1366.8503325000001,-4311.87683125,1566.4112245000001,312.9972257500008
2026-01-01 06:00:00+00:00,0.0,648.86,1128.3,0.0,1396.89051325,0.0,0.0,4250.1513672500005,1340.7672425,0.0,648.86,1128.3,1396.89051325,-4250.1513672500005,1340.7672425,264.66638849999936
2026-01-01 07:00:00+00:00,0.0,652.72,1188.1499999999999,0.0,1477.72881525,0.0,0.0,4348.32678225,1005.06443775,0.0,652.72,1188.1499999999999,1477.72881525,-4348.32678225,1005.06443775,-24.663529250000238
2026-01-01 08:00:00+00:00,0.0,682.5475,1151.95,0.0,1495.5847135,0.0,0.0,4566.26147475,885.14236425,0.0,682.5475,1151.95,1495.5847135,-4566.26147475,885.14236425,-351.0368970000003
2026-01-01 09:00:00+00:00,0.0,701.8575,1178.2,0.0,1535.4389225,0.0,0.0,4968.829956,638.8463595000001,0.0,701.8575,1178.2,1535.4389225,-4968.829956,638.8463595000001,-914.4871739999996
2026-01-01 10:00:00+00:00,0.0,664.455,1178.175,0.0,1598.26712675,0.0,0.0,5202.30529775,422.72792825,0.0,664.455,1178.175,1598.26712675,-5202.30529775,422.72792825,-1338.6802427500002
2026-01-01 11:00:00+00:00,0.0,653.815,1192.0500000000002,0.0,1499.63085325,0.0,0.0,5621.683837750001,704.6237945,0.0,653.815,1192.0500000000002,1499.63085325,-5621.683837750001,704.6237945,-1571.5641900000003
2026-01-01 12:00:00+00:00,0.0,683.3425,1193.2,0.0,1535.61057425,0.0,0.0,6049.67309575,968.45741275,0.0,683.3425,1193.2,1535.61057425,-6049.67309575,968.45741275,-1669.0626087500004
2026-01-01 13:00:00+00:00,0.0,565.955,1193.075,0.0,1652.9762154999999,0.0,0.0,6423.15185525,1151.131058,0.0,565.955,1193.075,1652.9762154999999,-6423.15185525,1151.131058,-1860.0145817500002
2026-01-01 14:00:00+00:00,0.0,77.2475,1193.75,0.0,1575.53566825,0.0,0.0,6801.04882825,1686.374237,0.0,77.2475,1193.75,1575.53566825,-6801.04882825,1686.374237,-2268.141423
2026-01-01 15:00:00+00:00,102.70333875,17.125,1193.675,0.0,1567.8963804999999,0.0,0.0,7012.635498,1981.627808,0.0,-85.57833875,1193.675,1567.8963804999999,-7012.635498,1981.627808,-2355.0146482499995
2026-01-01 16:00:00+00:00,0.0,36.155,1193.625,0.0,1376.85335975,0.0,0.0,7151.16796875,2119.08520525,0.0,36.155,1193.625,1376.85335975,-7151.16796875,2119.08520525,-2425.4494037500003
2026-01-01 17:00:00+00:00,0.0,61.6575,1193.675,0.0,1088.977344,0.0,0.0,7291.824707,2580.89904775,0.0,61.6575,1193.675,1088.977344,-7291.824707,2580.89904775,-2366.61581525
2026-01-01 18:00:00+00:00,0.0,202.125,1193.6750000000002,0.0,1134.87326825,0.0,0.0,7290.78393575,2536.79669175,0.0,202.125,1193.6750000000002,1134.87326825,-7290.78393575,2536.79669175,-2223.3139757499994
2026-01-01 19:00:00+00:00,0.0,458.595,1177.375,0.0,983.6228505,0.0,0.0,7074.22705075,2547.96667475,0.0,458.595,1177.375,983.6228505,-7074.22705075,2547.96667475,-1906.6675254999996
2026-01-01 20:00:00+00:00,0.0,684.08,1170.05,0.0,1043.3112005,0.0,0.0,6769.409912,2318.45880125,0.0,684.08,1170.05,1043.3112005,-6769.409912,2318.45880125,-1553.5099102499998
2026-01-01 21:00:00+00:00,0.0,643.1875,1175.3,0.0,1127.49272475,0.0,0.0,6268.9418945,1938.8342897500002,0.0,643.1875,1175.3,1127.49272475,-6268.9418945,1938.8342897500002,-1384.1273799999994
2026-01-01 22:00:00+00:00,0.0,642.0,1173.7,0.0,1240.86005,0.0,0.0,5798.053467,1586.74365225,0.0,642.0,1173.7,1240.86005,-5798.053467,1586.74365225,-1154.7497647499997
2026-01-01 23:00:00+00:00,0.0,582.44,1137.875,0.0,1349.5193495,0.0,0.0,4987.385254,1172.8108825,0.0,582.44,1137.875,1349.5193495,-4987.385254,1172.8108825,-744.740022
2026-01-02 00:00:00+00:00,0.0,632.905,690.3225,0.0,1384.28608975,0.0,0.0,4761.8394775,1643.8636475,0.0,632.905,690.3225,1384.28608975,-4761.8394775,1643.8636475,-410.4622402499997
2026-01-02 01:00:00+00:00,0.0,695.1575,615.71,0.0,1304.2329144999999,0.0,0.0,4412.5562745,1597.1274415,0.0,695.1575,615.71,1304.2329144999999,-4412.5562745,1597.1274415,-200.3284185
2026-01-02 02:00:00+00:00,0.0,711.0,341.4125,0.0,1130.499714,0.0,0.0,4244.78869625,1931.083771,0.0,711.0,341.4125,1130.499714,-4244.78869625,1931.083771,-130.79271124999968
2026-01-02 03:00:00+00:00,0.0,586.08,413.915,0.0,1174.560956,0.0,0.0,4538.14367675,2270.63525375,0.0,586.08,413.915,1174.560956,-4538.14367675,2270.63525375,-92.95246699999961
2026-01-02 04:00:00+00:00,0.0,553.0175,977.3025,0.0,1372.42012275,0.0,0.0,4839.6588135,2109.4078675,0.0,553.0175,977.3025,1372.42012275,-4839.6588135,2109.4078675,172.4891767500003
2026-01-02 05:00:00+00:00,0.0,610.2025,1172.575,0.0,1145.71153175,0.0,0.0,5809.9316405,2657.486023,0.0,610.2025,1172.575,1145.71153175,-5809.9316405,2657.486023,-223.9565857499997
2026-01-02 06:00:00+00:00,0.0,674.78,906.605,0.0,466.04640800000004,0.0,0.0,6626.5635985,4063.7908325,0.0,674.78,906.605,466.04640800000004,-6626.5635985,4063.7908325,-515.3413580000006
2026-01-02 07:00:00+00:00,0.0,679.3125,584.3199999999999,0.0,392.64899425,0.0,0.0,6672.62597675,4486.45397975,0.0,679.3125,584.3199999999999,392.64899425,-6672.62597675,4486.45397975,-529.8905027499995
2026-01-02 08:00:00+00:00,0.0,709.545,627.0175,0.0,495.753849,0.0,0.0,6814.88488775,4411.3065185,0.0,709.545,627.0175,495.753849,-6814.88488775,4411.3065185,-571.2620202500011
2026-01-02 09:00:00+00:00,0.0,622.02,572.0775,0.0,588.63898675,0.0,0.0,6971.18872075,4358.1779785,0.0,622.02,572.0775,588.63898675,-6971.18872075,4358.1779785,-830.2742555000004
2026-01-02 10:00:00+00:00,0.0,475.4675,552.6125,0.0,745.799983,0.0,0.0,7218.73937975,4454.9868165,0.0,475.4675,552.6125,745.799983,-7218.73937975,4454.9868165,-989.8725802500003
2026-01-02 11:00:00+00:00,0.0,172.9675,498.47,0.0,927.755207,0.0,0.0,7174.158203,4531.2574465,0.0,172.9675,498.47,927.755207,-7174.158203,4531.2574465,-1043.7080495
2026-01-02 12:00:00+00:00,0.0,397.735,559.065,0.0,1074.3955772499999,0.0,0.0,7548.546753,4375.755371,0.0,397.735,559.065,1074.3955772499999,-7548.546753,4375.755371,-1141.5958047499998
2026-01-02 13:00:00+00:00,0.0,179.53,293.60749999999996,0.0,1026.1344179999999,0.0,0.0,7304.8271485000005,4562.1917725,0.0,179.53,293.60749999999996,1026.1344179999999,-7304.8271485000005,4562.1917725,-1243.3634579999998
2026-01-02 14:00:00+00:00,0.5,3.0,188.6325,0.0,1153.49772725,0.0,0.0,7621.284546,4696.20446775,0.0,2.5,188.6325,1153.49772725,-7621.284546,4696.20446775,-1580.4498510000003
2026-01-02 15:00:00+00:00,0.515625,3.0,113.44,0.0,1334.982014,0.0,0.0,7755.3762209999995,4550.4768065,0.0,2.484375,113.44,1334.982014,-7755.3762209999995,4550.4768065,-1753.9930255
2026-01-02 16:00:00+00:00,0.0,20.42,251.83749999999998,0.0,1337.3328705,0.0,0.0,7764.6218260000005,4286.5512695,0.0,20.42,251.83749999999998,1337.3328705,-7764.6218260000005,4286.5512695,-1868.4801860000007
