,FR_ES,ES_FR,ES_PT,PT_ES,ES_FR_net_export,ES_PT_net_export,Net Export
2026-01-03 00:00:00+00:00,340.61,99.47999999999999,0.0,1082.0,-241.13000000000002,-1082.0,-1323.13
2026-01-03 01:00:00+00:00,0.0,758.8,0.0,1157.74,758.8,-1157.74,-398.94000000000005
2026-01-03 02:00:00+00:00,0.0,881.75,0.0,1205.37,881.75,-1205.37,-323.6199999999999
2026-01-03 03:00:00+00:00,0.0,662.0799999999999,0.0,1390.78,662.0799999999999,-1390.78,-728.7
2026-01-03 04:00:00+00:00,0.0,896.5699999999999,0.0,1590.21,896.5699999999999,-1590.21,-693.6400000000001
2026-01-03 05:00:00+00:00,0.0,519.13,0.0,1588.72,519.13,-1588.72,-1069.5900000000001
2026-01-03 06:00:00+00:00,0.0,106.82,0.0,1699.43,106.82,-1699.43,-1592.6100000000001
2026-01-03 07:00:00+00:00,832.8700000000001,54.09,0.0,2034.02,-778.7800000000001,-2034.02,-2812.8
2026-01-03 08:00:00+00:00,631.3100000000001,0.0,0.0,2548.5,-631.3100000000001,-2548.5,-3179.81
2026-01-03 09:00:00+00:00,815.27,61.62,0.0,2299.21,-753.65,-2299.21,-3052.86
2026-01-03 10:00:00+00:00,2218.6000000000004,0.0,0.0,1418.7,-2218.6000000000004,-1418.7,-3637.3
2026-01-03 11:00:00+00:00,2054.08,0.0,0.0,789.21,-2054.08,-789.21,-2843.29
2026-01-03 12:00:00+00:00,3079.6800000000003,0.0,0.0,330.63,-3079.6800000000003,-330.63,-3410.3100000000004
2026-01-03 13:00:00+00:00,3150.1800000000003,0.0,0.0,506.79,-3150.1800000000003,-506.79,-3656.9700000000003
2026-01-03 14:00:00+00:00,1679.85,0.0,0.0,794.3,-1679.85,-794.3,-2474.1499999999996
2026-01-03 15:00:00+00:00,329.90999999999997,497.94000000000005,0.0,1679.47,168.0300000000001,-1679.47,-1511.44
2026-01-03 16:00:00+00:00,0.0,1988.56,0.0,2326.97,1988.56,-2326.97,-338.40999999999985
2026-01-03 17:00:00+00:00,0.0,2120.02,0.0,2020.57,2120.02,-2020.57,99.45000000000005
2026-01-03 18:00:00+00:00,0.0,1998.8600000000001,0.0,1392.02,1998.8600000000001,-1392.02,606.8400000000001
2026-01-03 19:00:00+00:00,0.0,1919.1100000000001,0.0,593.13,1919.1100000000001,-593.13,1325.98
2026-01-03 20:00:00+00:00,4.91,538.4,0.0,240.02,533.49,-240.02,293.47
2026-01-03 21:00:00+00:00,0.0,1009.63,88.13,138.04000000000002,1009.63,-49.910000000000025,959.72
2026-01-03 22:00:00+00:00,0.0,1763.43,335.24,0.0,1763.43,335.24,2098.67
2026-01-03 23:00:00+00:00,0.0,1926.92,157.03,210.48000000000002,1926.92,-53.45000000000002,1873.47
2026-01-04 00:00:00+00:00,0.0,2034.04,632.26,0.0,2034.04,632.26,2666.3
2026-01-04 01:00:00+00:00,0.0,2340.32,1909.95,0.0,2340.32,1909.95,4250.27
2026-01-04 02:00:00+00:00,0.0,2522.7799999999997,1922.78,0.0,2522.7799999999997,1922.78,4445.5599999999995
2026-01-04 03:00:00+00:00,0.0,2947.39,1743.03,0.0,2947.39,1743.03,4690.42
2026-01-04 04:00:00+00:00,0.0,3099.25,1905.53,0.0,3099.25,1905.53,5004.78
2026-01-04 05:00:00+00:00,0.0,2915.29,1762.72,0.0,2915.29,1762.72,4678.01
