,SE_3_FI,FI_SE_3,EE_FI,FI_EE,FI_NO_4,NO_4_FI,FI_SE_1,SE_1_FI,FI_EE_net_export,FI_NO_4_net_export,FI_SE_1_net_export,FI_SE_3_net_export,Net Export
2026-01-01 00:00:00+00:00,1193.375,0.0,0.0,662.0675,23.70072225,0.0,0.0,1778.375,662.0675,23.70072225,-1778.375,-1193.375,-2285.98177775
2026-01-01 01:00:00+00:00,1193.3500000000001,0.0,0.0,579.89,22.045104000000002,0.0,0.0,1785.525,579.89,22.045104000000002,-1785.525,-1193.3500000000001,-2376.939896
2026-01-01 02:00:00+00:00,1183.375,0.0,0.0,468.09749999999997,25.758841,0.0,0.0,1858.675,468.09749999999997,25.758841,-1858.675,-1183.375,-2548.193659
2026-01-01 03:00:00+00:00,1183.175,0.0,0.0,254.88,25.28701625,0.0,0.0,1810.425,254.88,25.28701625,-1810.425,-1183.175,-2713.43298375
2026-01-01 04:00:00+00:00,1072.175,0.0,0.0,188.0725,31.508955750000002,0.0,0.0,1791.825,188.0725,31.508955750000002,-1791.825,-1072.175,-2644.41854425
2026-01-01 05:00:00+00:00,989.24,0.0,0.0,190.075,32.970211750000004,0.0,0.0,1790.45,190.075,32.970211750000004,-1790.45,-989.24,-2556.64478825
2026-01-01 06:00:00+00:00,1128.3,0.0,0.0,222.7875,37.47104675,0.0,0.0,1933.175,222.7875,37.47104675,-1933.175,-1128.3,-2801.21645325
2026-01-01 07:00:00+00:00,1188.1499999999999,0.0,0.0,348.6825,36.841852,0.0,0.0,1854.275,348.6825,36.841852,-1854.275,-1188.1499999999999,-2656.900648
2026-01-01 08:00:00+00:00,1151.95,0.0,0.0,332.615,40.86838,0.0,0.0,1942.825,332.615,40.86838,-1942.825,-1151.95,-2721.29162
2026-01-01 09:00:00+00:00,1178.2,0.0,0.0,265.85249999999996,37.488324500000004,0.0,0.0,1732.6750000000002,265.85249999999996,37.488324500000004,-1732.6750000000002,-1178.2,-2607.5341755
2026-01-01 10:00:00+00:00,1178.175,0.0,0.0,280.5575,12.875821,0.0,0.0,2049.55,280.5575,12.875821,-2049.55,-1178.175,-2934.291679
