,Biomass,Fossil Gas,Fossil Oil,Hydro Run-of-river and poundage,Other,Solar,Waste,Wind Offshore,Wind Onshore,Fossil Hard coal,Hydro Water Reservoir,Geothermal,Other renewable,Fossil Brown coal/Lignite,Fossil Coal-derived gas,Generation,Storage Discharge,Storage Charge,Demand,Total Generation,Total Load,Net Export
2026-01-01 00:00:00+00:00,4122.665165,5592.97174725,395.385,792.6983925000001,219.09746,0.031,654.0074997500001,3721.71975,34260.501952499995,4449.57967475,102.381475,22.91866,74.451,3081.938225,576.6825,58067.02950175,0.0,125.37935000000002,45340.13734,58067.02950175,45465.516690000004,12601.512811749999
2026-01-01 01:00:00+00:00,4116.513515,4855.6674175,395.35333249999996,791.375535,219.11471,0.03,622.3955000000001,4567.12925,35320.904102500004,4517.20427925,60.14405,22.91866,74.451,2815.7542574999998,575.8541675,58954.80977675001,0.0,679.155225,44709.618245000005,58954.80977675001,45388.77347000001,13566.03630675
2026-01-01 02:00:00+00:00,4115.40934,4499.541749999999,395.32,797.75962,219.18796,0.0195,622.38274975,5065.06875,36730.2802325,4429.10574425,18.008,22.91866,74.451,2344.6465375,606.0108325,59940.1106765,0.0,743.7552250000001,43276.72158,59940.1106765,44020.476805,15919.633871500002
2026-01-01 03:00:00+00:00,4126.712715,4453.836992250001,395.32,798.6841425,219.15146,0.02225,622.231,5004.1810000000005,37503.026600000005,4401.857806,13.7425,22.91866,74.451,2329.3797325,615.487955,60581.003813250005,0.0,1633.3877750000001,43296.144945,60581.003813250005,44929.53272,15651.471093250002
2026-01-01 04:00:00+00:00,4147.15124,4484.23683475,395.32,786.1654100000001,218.94746,0.0325,625.1239997499999,4126.835,38262.9010675,4316.273161,13.781500000000001,22.91866,74.451,2331.3170250000003,580.1850025,60385.6398605,0.0,1828.057,42934.9344625,60385.6398605,44762.9914625,15622.648397999998
2026-01-01 05:00:00+00:00,4202.529815,4545.2228350000005,468.95731775,767.99652,218.82196,0.03375,618.0815,2843.8895,40813.17746,4322.66403175,15.42175,22.91866,74.451,2514.60746,605.799165,62034.5727245,0.0,2907.422625,42432.9686625,62034.5727245,45340.3912875,16694.181437
2026-01-01 06:00:00+00:00,4300.68089,4600.50024975,395.32,780.2681600000001,202.46521,0.032,616.745,2165.8602499999997,41995.95667,4280.23441925,88.096025,22.91866,74.451,2433.849,620.6524999999999,62578.030034,0.0,2914.6522999999997,43534.59465,62578.030034,46449.24695,16128.783084000002
2026-01-01 07:00:00+00:00,4370.7365150000005,4448.19525,395.355,780.86148,193.83496,564.07525,623.4219997499999,3099.7205,42283.1162725,4260.61124375,58.207425,22.91866,74.451,2378.15059,619.7550075,64173.411153500005,0.0,2512.5779,45314.3966575,64173.411153500005,47826.9745575,16346.436596000007
2026-01-01 08:00:00+00:00,4401.775965,4406.644667500001,395.32,817.334865,193.77746000000002,3358.494,629.7435,4132.642,42182.289075,4433.9854425,16.51125,22.91866,74.451,2567.4133874999998,580.68417,68213.98544250001,0.0,3344.42385,48297.19845,68213.98544250001,51641.6223,16572.363142500006
2026-01-01 09:00:00+00:00,4397.5887649999995,4493.7815825,395.4516675,822.3986475,193.74596,6315.49625,630.6052500000001,4708.914000000001,41861.722515,4390.2878,40.804725,22.91866,74.451,2628.6306025,568.9908375,71545.78826249999,0.0,4668.223675,50580.095405,71545.78826249999,55248.31908,16297.46918249999
2026-01-01 10:00:00+00:00,4388.138165,4328.26866725,395.32,821.2639849999999,193.54946,8512.719000000001,632.6792499999999,5015.03025,42235.281285000005,4099.4001645,52.6198,22.91866,74.451,2627.238295,567.3408325,73966.21881425001,0.0,5116.9686,52468.33406,73966.21881425001,57585.30266,16380.916154250008
2026-01-01 11:00:00+00:00,4321.834465,4338.63025,395.3866675,823.0451975,193.63221,9129.14325,630.924,5079.1235,42219.389755,4005.4924284999997,125.888325,22.91866,74.451,2615.7276,567.7783325,74543.36564100001,0.0,5441.296425,53651.4435325,74543.36564100001,59092.7399575,15450.62568350001
2026-01-01 12:00:00+00:00,4279.99279,4234.8609175,395.35166749999996,824.161305,193.48171,7805.49275,636.216,5277.382,43239.3540275,3897.713124,108.15385,22.91866,74.451,2600.0190275,558.1233374999999,74147.67216650001,0.0,4857.438749999999,52970.944695,74147.67216650001,57828.383445,16319.288721500008
2026-01-01 13:00:00+00:00,4292.297315,4284.781335,395.4183325,794.7134149999999,193.59971000000002,4937.0377499999995,642.43775,5143.2195,44881.3213025,4000.4508914999997,133.22105,22.91866,75.3315,2590.5245675,574.83167,72962.10474899999,0.0,2974.8449,52653.4103475,72962.10474899999,55628.2552475,17333.849501499993
2026-01-01 14:00:00+00:00,4333.93299,4372.36,395.32,770.2362049999999,203.77221,1818.1865,637.2887499999999,4908.45025,45189.9894525,4301.6417665,141.76765,22.91866,75.625,2615.1109525,550.6783375,70337.27872399999,207.89550000000003,0.0,52752.2016825,70545.17422399999,52752.2016825,17792.972541499985
2026-01-01 15:00:00+00:00,4451.140115,4534.98891725,395.32,765.41552,202.42196,111.42375000000001,632.683,4585.01225,45609.468655000004,4666.7094075,109.3325,22.91866,75.625,2693.1845925,498.27833499999997,69353.92266225,2349.074025,0.0,54828.2527625,71702.99668725,54828.2527625,16874.743924749993
2026-01-01 16:00:00+00:00,4530.061765,4852.1752525,395.32,752.5046175,194.78846,0.04625,632.38475,4565.5247500000005,44976.869815,4823.293121000001,223.717925,22.91866,75.625,2643.0371825,522.0850025,69210.35255099999,3703.2458,0.0,56840.2221325,72913.598351,56840.2221325,16073.376218499994
2026-01-01 17:00:00+00:00,4528.888940000001,4902.606915,395.35333249999996,752.849985,194.87971,0.0385,633.88874975,4898.00525,43478.3205725,4637.23929075,158.722625,22.91866,75.625,2641.79101,505.920005,67827.04854550002,3729.1257,0.0,56942.668215,71556.17424550002,56942.668215,14613.506030500022
2026-01-01 18:00:00+00:00,4466.963540000001,5038.8994999999995,395.32,760.286645,194.86621,0.04925,634.9527499999999,4291.75425,43921.34183,4663.818505249999,69.002075,22.91866,75.625,2636.1643249999997,523.770835,67695.73337525,2915.67215,0.0,55846.2458925,70611.40552525,55846.2458925,14765.159632749994
2026-01-01 19:00:00+00:00,4385.564265,4559.9914175,395.35333249999996,768.34586,195.08246,0.035,639.11575,5264.44075,44464.95483,4439.903722,32.22655,22.91866,75.625,2444.21639,543.985,68231.75898700001,0.0,104.95027499999998,53469.0521525,68231.75898700001,53574.0024275,14657.756559500005
2026-01-01 20:00:00+00:00,4318.105265,4494.5284175,395.5033325,768.125855,195.27546,0.040249999999999994,642.468,5258.57075,43083.8546075,4135.41183875,53.22295,22.91866,75.625,2453.3792375000003,578.2775,66475.30712375,0.0,471.547275,51168.6716325,66475.30712375,51640.2189075,14835.088216249998
2026-01-01 21:00:00+00:00,4258.72304,4583.65525,395.47,776.946375,195.60271,0.02375,640.3072500000001,4638.489,41392.3361875,4239.37690175,17.299675,22.91866,75.625,2473.6306575,587.386665,64297.79112175,0.0,80.43937499999998,50371.051545,64297.79112175,50451.490920000004,13846.300201749997
