,Biomass,Fossil Gas,Hydro Run-of-river and poundage,Solar,Waste,Wind Onshore,Hydro Water Reservoir,Generation,Storage Discharge,Storage Charge,Demand,Total Generation,Total Load,Net Export
2026-01-01 00:00:00+00:00,0.0,0.439999,1266.1012234999998,0.0,18.207329,248.7108565,734.1489877500001,2267.60839575,0.0,0.0,4763.3275,2267.60839575,4763.3275,-2495.7191042500003
2026-01-01 01:00:00+00:00,0.0,0.439999,1262.8746740000001,0.0,17.84523,221.0132435,669.2166997500001,2171.38984625,0.0,0.0,4710.575,2171.38984625,4710.575,-2539.1851537499997
2026-01-01 02:00:00+00:00,0.0,0.439999,1263.76594675,0.0,18.87654725,130.8441705,578.6271937500001,1992.55385725,0.0,0.0,4649.9625,1992.55385725,4649.9625,-2657.4086427499997
2026-01-01 03:00:00+00:00,0.0,0.439999,1264.08032575,0.0,17.5627505,71.8556085,564.21057025,1918.149254,0.0,0.0,4605.3375,1918.149254,4605.3375,-2687.1882459999997
2026-01-01 04:00:00+00:00,0.0,0.439999,1258.64784225,0.0,17.38477225,31.481107,552.2224515,1860.176172,0.0,0.0,4620.335,1860.176172,4620.335,-2760.158828
2026-01-01 05:00:00+00:00,0.0,0.439999,1266.172293,0.0,19.19994775,18.0033645,561.29262375,1865.108228,0.0,0.0,4777.7225,1865.108228,4777.7225,-2912.614272
2026-01-01 06:00:00+00:00,0.0,0.439999,1278.91918975,0.0,21.048185,8.951601,479.15368424999997,1788.512659,0.0,0.0,4896.8275,1788.512659,4896.8275,-3108.3148410000003
2026-01-01 07:00:00+00:00,0.0,0.439999,1283.0631735,0.0,21.061311,0.74963875,470.796918,1776.1110402499999,0.0,0.0,4989.17,1776.1110402499999,4989.17,-3213.05895975
2026-01-01 08:00:00+00:00,0.0,0.439999,1279.75464775,0.0,21.868508249999998,0.2631185,497.67800975,1800.00428325,0.0,0.0,5091.6775,1800.00428325,5091.6775,-3291.6732167499995
2026-01-01 09:00:00+00:00,0.0,0.439999,1278.25828675,0.5409995,20.99335825,8.05072375,413.38196675,1721.665334,0.0,0.0,5190.4175,1721.665334,5190.4175,-3468.7521659999993
2026-01-01 10:00:00+00:00,0.0,0.439999,1283.9703077499998,0.64137025,20.79545975,12.5523955,479.0014275,1797.4009597499999,0.0,0.0,5295.4974999999995,1797.4009597499999,5295.4974999999995,-3498.0965402499996
2026-01-01 11:00:00+00:00,0.0,0.439999,1278.51985375,0.70958575,20.216224,18.7538015,526.35734925,1844.99681325,0.0,0.0,5387.825,1844.99681325,5387.825,-3542.82818675
2026-01-01 12:00:00+00:00,0.0,0.439999,1275.238475,0.461991,19.371904,38.3225505,522.7962305,1856.6311500000002,0.0,0.0,5480.335,1856.6311500000002,5480.335,-3623.70385
2026-01-01 13:00:00+00:00,0.0,0.439999,1275.2860375,0.259909,18.36934475,58.84042075,625.681324,1978.877035,0.0,0.0,5560.75,1978.877035,5560.75,-3581.872965
2026-01-01 14:00:00+00:00,0.0,0.439999,1267.41010275,0.00043525,17.3333685,52.60556525,756.87077775,2094.6602485,0.0,0.0,5658.89,2094.6602485,5658.89,-3564.2297515000005
2026-01-01 15:00:00+00:00,0.0,0.439999,1270.0164685,0.0,16.734132250000002,63.01534325,769.72119425,2119.9271372499998,0.0,0.0,5763.4675,2119.9271372499998,5763.4675,-3643.54036275
2026-01-01 16:00:00+00:00,0.0,0.439999,1271.9979435,0.0,15.211348749999999,75.9676305,793.81940175,2157.4363235,0.0,0.0,5754.96,2157.4363235,5754.96,-3597.5236765
2026-01-01 17:00:00+00:00,0.0,0.439999,1265.3433525,0.0,17.201386749999998,85.53861275,814.6212644999999,2183.1446155,0.0,0.0,5670.585,2183.1446155,5670.585,-3487.4403845
2026-01-01 18:00:00+00:00,0.0,0.439999,1256.526147,0.0,16.3623725,118.06174975,745.57340275,2136.963671,0.0,0.0,5589.33,2136.963671,5589.33,-3452.366329
2026-01-01 19:00:00+00:00,0.0,0.439999,1253.9377005000001,0.0,17.655604,162.4121485,766.39425875,2200.83971075,0.0,0.0,5476.0425,2200.83971075,5476.0425,-3275.2027892499996
2026-01-01 20:00:00+00:00,0.0,0.439999,1249.5934997499999,0.0,17.81805225,181.063086,727.68681925,2176.60145625,0.0,0.0,5407.705,2176.60145625,5407.705,-3231.10354375
2026-01-01 21:00:00+00:00,0.0,0.439999,1248.7039845,0.0,17.94878025,181.368978,724.2520965,2172.7138382499998,0.0,0.0,5303.0575,2172.7138382499998,5303.0575,-3130.34366175
2026-01-01 22:00:00+00:00,0.0,0.439999,1245.3052565,0.0,17.22433425,190.5426915,665.83135975,2119.3436410000004,0.0,0.0,5237.46,2119.3436410000004,5237.46,-3118.1163589999996
2026-01-01 23:00:00+00:00,0.0,0.439999,1251.69514025,0.0,17.26822975,193.30720875,528.61021425,1991.320792,0.0,0.0,5135.952499999999,1991.320792,5135.952499999999,-3144.6317079999994
2026-01-02 00:00:00+00:00,0.0,0.439999,1259.483191,0.0,16.74014125,199.31485575,531.85863475,2007.8368217500001,0.0,0.0,5047.415,2007.8368217500001,5047.415,-3039.57817825
2026-01-02 01:00:00+00:00,0.0,0.439999,1265.2336345,0.0,16.73358725,221.61081675,467.7914055,1971.809443,0.0,0.0,5034.7675,1971.809443,5034.7675,-3062.958057
2026-01-02 02:00:00+00:00,0.0,0.439999,1271.664404,0.0,17.941317,231.11818475,547.1686677499999,2068.3325725,0.0,0.0,5044.0025000000005,2068.3325725,5044.0025000000005,-2975.6699275000005
2026-01-02 03:00:00+00:00,0.0,0.439999,1274.6093087499999,0.0,16.53065175,230.29709175,504.482474,2026.35952525,0.0,0.0,5093.1525,2026.35952525,5093.1525,-3066.79297475
2026-01-02 04:00:00+00:00,0.0,0.439999,1273.83479825,0.0,17.473286,223.818408,496.008608,2011.5750992499998,0.0,0.0,5247.57,2011.5750992499998,5247.57,-3235.99490075
2026-01-02 05:00:00+00:00,0.0,0.439999,1276.7291195,0.0,19.416402,221.838044,526.17267925,2044.5962437500002,0.0,0.0,5579.985,2044.5962437500002,5579.985,-3535.3887562499995
2026-01-02 06:00:00+00:00,0.0,0.439999,1272.531063,0.0,19.118737499999998,227.33660650000002,603.74063675,2123.16704275,0.0,0.0,5892.1075,2123.16704275,5892.1075,-3768.9404572500002
2026-01-02 07:00:00+00:00,0.0,0.439999,1269.249344,0.0,17.71052725,219.49897725,664.45240625,2171.35125375,0.0,0.0,6090.8325,2171.35125375,6090.8325,-3919.4812462500004
2026-01-02 08:00:00+00:00,0.0,0.439999,1266.27079775,0.0,15.39631025,214.016739,747.7721887499999,2243.8960347499997,0.0,0.0,6236.07,2243.8960347499997,6236.07,-3992.17396525
2026-01-02 09:00:00+00:00,0.0,0.439999,1266.7672969999999,0.3704555,15.48593475,223.42939575,841.75015075,2348.2432327499996,0.0,0.0,6409.745,2348.2432327499996,6409.745,-4061.5017672500003
2026-01-02 10:00:00+00:00,0.0,0.439999,1260.3887622500001,0.47644525,14.177535500000001,217.939377,802.5700185000001,2295.9921375000004,0.0,0.0,6534.27,2295.9921375000004,6534.27,-4238.2778625
2026-01-02 11:00:00+00:00,0.0,0.439999,1270.822032,0.5499015,15.2162465,218.12270625,867.452359,2372.60324425,0.0,0.0,6630.405,2372.60324425,6630.405,-4257.80175575
2026-01-02 12:00:00+00:00,0.0,0.439999,1286.7514085,0.45193500000000003,12.7528545,225.8656565,761.8665834999999,2288.1284370000003,0.0,0.0,6653.6025,2288.1284370000003,6653.6025,-4365.474063
