,Fossil Gas,Hydro Run-of-river and poundage,Wind Onshore,Hydro Water Reservoir,Other renewable,Generation,Storage Discharge,Storage Charge,Demand,Total Generation,Total Load,Net Export
2026-01-01 00:00:00+00:00,137.957508,222.68158525,561.687216,1946.5642425,50.60634,2919.49689175,0.0,0.0,2848.26,2919.49689175,2848.26,71.23689174999981
2026-01-01 01:00:00+00:00,137.99520074999998,215.82330275,553.55712525,1774.83890075,50.598852,2732.8133815,0.0,0.0,2829.245,2732.8133815,2829.245,-96.43161849999979
2026-01-01 02:00:00+00:00,138.0,210.63773750000001,531.7823530000001,1686.07098875,50.8480245,2617.33910375,0.0,0.0,2814.9075000000003,2617.33910375,2814.9075000000003,-197.5683962500002
2026-01-01 03:00:00+00:00,138.0,206.34644875,560.175023,1660.67120375,49.06195425,2614.25462975,0.0,0.0,2816.3275000000003,2614.25462975,2816.3275000000003,-202.0728702500005
2026-01-01 04:00:00+00:00,137.99151675000002,199.5754815,581.413914,1716.30087825,43.851594,2679.1333845000004,0.0,0.0,2815.2225,2679.1333845000004,2815.2225,-136.08911549999948
2026-01-01 05:00:00+00:00,137.93852425,196.283521,599.48068275,1733.022853,48.3172475,2715.0428285,0.0,0.0,2859.9325,2715.0428285,2859.9325,-144.88967150000008
2026-01-01 06:00:00+00:00,137.958822,199.11359375,638.6081877500001,1731.851648,48.3848,2755.9170515,0.0,0.0,2903.8275,2755.9170515,2903.8275,-147.9104484999998
2026-01-01 07:00:00+00:00,138.0,198.38582775,639.407402,1895.6154375,45.306107499999996,2916.7147747500003,0.0,0.0,2941.5575,2916.7147747500003,2941.5575,-24.842725249999603
2026-01-01 08:00:00+00:00,138.0,204.84617874999998,609.8056815,2108.6248072500002,49.09751675,3110.3741842500003,0.0,0.0,2983.3775,3110.3741842500003,2983.3775,126.99668425000027
2026-01-01 09:00:00+00:00,137.9851665,201.58062475,597.4723205,2444.018577,47.8165835,3428.87327225,0.0,0.0,3017.4025,3428.87327225,3017.4025,411.47077224999975
2026-01-01 10:00:00+00:00,138.666025,201.23067575,603.68446225,2706.16290475,45.9340035,3695.67807125,0.0,0.0,3031.3625,3695.67807125,3031.3625,664.3155712499997
2026-01-01 11:00:00+00:00,137.99908175000002,202.12519625,575.998182,2729.10279575,45.047976000000006,3690.27323175,0.0,0.0,3058.4575,3690.27323175,3058.4575,631.8157317499999
2026-01-01 12:00:00+00:00,138.0,197.5104285,569.195983,2734.8416475,47.497436,3687.045495,0.0,0.0,3087.6724999999997,3687.045495,3087.6724999999997,599.3729950000002
2026-01-01 13:00:00+00:00,138.0,204.05130075,562.178806,2568.74250025,47.59312075,3520.5657277499995,0.0,0.0,3116.445,3520.5657277499995,3116.445,404.12072774999933
2026-01-01 14:00:00+00:00,138.0,209.2583605,572.68310825,2527.2483795,45.87168125,3493.0615295000002,0.0,0.0,3133.7875000000004,3493.0615295000002,3133.7875000000004,359.27402949999987
2026-01-01 15:00:00+00:00,138.0,209.395879,565.83970875,2345.9527580000004,48.07644425,3307.26479,0.0,0.0,3094.91,3307.26479,3094.91,212.35479000000032
2026-01-01 16:00:00+00:00,138.0,210.0920945,567.2907415,2052.07633175,45.86954,3013.3287077500004,0.0,0.0,3056.8275,3013.3287077500004,3056.8275,-43.4987922499995
2026-01-01 17:00:00+00:00,138.0,211.694461,503.39513975,2537.5697575,48.03873925,3438.6980975,0.0,0.0,3057.0275,3438.6980975,3057.0275,381.6705975
2026-01-01 18:00:00+00:00,138.0,212.09905225,482.23802475,2672.68885375,47.91621725,3552.942148,0.0,0.0,3043.85,3552.942148,3043.85,509.0921480000002
2026-01-01 19:00:00+00:00,138.0,213.628603,470.2201645,2701.29010675,46.189040500000004,3569.32791475,0.0,0.0,3035.6925,3569.32791475,3035.6925,533.6354147500001
2026-01-01 20:00:00+00:00,138.0,211.36662225,463.32742425000004,2704.3126174999998,45.23149775,3562.2381617499996,0.0,0.0,3015.5924999999997,3562.2381617499996,3015.5924999999997,546.6456617499998
2026-01-01 21:00:00+00:00,138.0,210.98041175,455.96429975,2482.6082097500002,47.26812525,3334.8210465000006,0.0,0.0,2983.37,3334.8210465000006,2983.37,351.45104650000076
2026-01-01 22:00:00+00:00,138.0,209.0024085,465.07416075000003,2214.6757345,50.92015,3077.67245375,0.0,0.0,2953.085,3077.67245375,2953.085,124.5874537499999
2026-01-01 23:00:00+00:00,138.0,192.98152325,431.74543225,1966.86225575,55.09340975,2784.682621,0.0,0.0,2924.1,2784.682621,2924.1,-139.41737899999998
2026-01-02 00:00:00+00:00,138.0,189.84251849999998,436.04405375,1898.21154,52.792634,2714.8907462499997,0.0,0.0,2892.175,2714.8907462499997,2892.175,-177.28425375000052
2026-01-02 01:00:00+00:00,138.0,189.1408605,489.92525675,1780.94941675,50.81148475,2648.82701875,0.0,0.0,2860.2,2648.82701875,2860.2,-211.3729812499996
2026-01-02 02:00:00+00:00,138.0,187.6414065,465.91992825,1737.89186975,50.2854005,2579.738605,0.0,0.0,2856.8375,2579.738605,2856.8375,-277.0988950000001
2026-01-02 03:00:00+00:00,138.0,187.06172375,455.13980375,1739.3452785,48.81593,2568.362736,0.0,0.0,2883.8025000000002,2568.362736,2883.8025000000002,-315.4397640000002
2026-01-02 04:00:00+00:00,138.0,189.7985815,449.893427,1947.25836725,50.65438225,2775.6047579999995,0.0,0.0,2918.9025,2775.6047579999995,2918.9025,-143.29774200000065
2026-01-02 05:00:00+00:00,138.0,190.47034575,429.27971049999996,2035.84274225,50.45606775,2844.0488662499997,0.0,0.0,2988.585,2844.0488662499997,2988.585,-144.53613375000032
2026-01-02 06:00:00+00:00,138.0,210.95909949999998,395.71063325,2097.82065,49.097264249999995,2891.5876470000003,0.0,0.0,3078.395,2891.5876470000003,3078.395,-186.8073529999997
2026-01-02 07:00:00+00:00,138.0,213.0776405,350.63962649999996,2479.52022575,48.9486435,3230.18613625,0.0,0.0,3142.035,3230.18613625,3142.035,88.15113625000004
