,Fossil Gas,Hydro Run-of-river and poundage,Waste,Wind Offshore,Wind Onshore,Hydro Water Reservoir,Generation,Storage Discharge,Storage Charge,Demand,Total Generation,Total Load,Net Export
2026-01-01 00:00:00+00:00,0.0,645.16538525,14.6988285,2.9006665,898.6431602499999,2519.85561775,4081.26365825,0.0,363.7056575,5279.74,4081.26365825,5643.4456574999995,-1562.1819992499995
2026-01-01 01:00:00+00:00,0.0,623.5488365,14.74132425,2.8001102500000004,890.25058825,2440.82176575,3972.162625,0.0,401.0769715,5348.725,3972.162625,5749.8019715,-1777.6393465
2026-01-01 02:00:00+00:00,0.0,623.1757305,14.716189,2.8998887499999997,742.96407475,2144.544661,3528.3005439999997,0.0,401.333475,5321.4,3528.3005439999997,5722.733475,-2194.4329310000003
2026-01-01 03:00:00+00:00,0.0,615.6572592499999,14.71250575,2.9998055,626.453122,1764.87838825,3024.70108075,0.0,401.065873,5327.297500000001,3024.70108075,5728.363373,-2703.66229225
2026-01-01 04:00:00+00:00,0.0,627.1291225,14.714672,3.099888,299.89512025,1964.9553615,2909.79416425,0.0,398.4488455,5425.2825,2909.79416425,5823.7313455,-2913.9371812500003
2026-01-01 05:00:00+00:00,0.0,619.05862125,14.690769249999999,3.099999,274.18026025,2269.63702075,3180.6666705,0.0,399.468977,5497.045,3180.6666705,5896.5139770000005,-2715.8473065000007
2026-01-01 06:00:00+00:00,0.0,628.57372975,14.732458000000001,3.1998887500000004,399.3769805,2158.35685125,3204.23990825,0.0,399.7798375,5553.9875,3204.23990825,5953.7673375,-2749.5274292500003
2026-01-01 07:00:00+00:00,0.0,623.993678,14.705171,3.1001935,521.8704299999999,2021.52557525,3185.19504775,0.0,399.6292575,5594.6075,3185.19504775,5994.2367575,-2809.04170975
2026-01-01 08:00:00+00:00,0.0,624.5822475,14.704488,3.00019425,572.56942725,2128.41737125,3343.27372825,0.0,398.9004785,5608.305,3343.27372825,6007.2054785,-2663.93175025
2026-01-01 09:00:00+00:00,0.0,615.9505515000001,14.763682,2.6004435,712.108755,1879.8962455,3225.3196775,0.0,399.86446725,5704.6975,3225.3196775,6104.561967250001,-2879.2422897500005
2026-01-01 10:00:00+00:00,0.0,610.9173382500001,14.690413249999999,3.29922125,737.152313,1834.98523625,3201.044522,0.0,398.82329825,5727.3949999999995,3201.044522,6126.21829825,-2925.1737762499997
2026-01-01 11:00:00+00:00,0.0,606.954594,14.680515,3.299999,856.367827,2524.1056335000003,4005.4085685000005,0.0,399.05200625,5761.93,4005.4085685000005,6160.98200625,-2155.57343775
2026-01-01 12:00:00+00:00,0.0,615.33617425,14.701114,3.3998887499999997,936.22518775,2478.1324022500003,4047.7947670000003,0.0,399.91538175,5760.545,4047.7947670000003,6160.46038175,-2112.66561475
2026-01-01 13:00:00+00:00,0.0,618.9303622499999,14.830599249999999,3.3001102500000004,931.434246,2646.31985875,4214.8151765,0.0,396.67903850000005,5787.89,4214.8151765,6184.569038500001,-1969.7538620000005
2026-01-01 14:00:00+00:00,0.0,615.2425945,14.68809525,3.1003879999999997,813.2656254999999,3395.53115975,4841.8278629999995,0.0,190.085813,5468.975,4841.8278629999995,5659.060813,-817.2329500000005
2026-01-01 15:00:00+00:00,0.0,609.1873047500001,14.6872195,2.8003325,684.3358155,4291.303681,5602.31435325,12.392421500000001,0.0,5212.8375,5614.70677475,5212.8375,401.86927474999993
2026-01-01 16:00:00+00:00,0.0,623.474964,14.702605250000001,3.2994435,743.0399757499999,4545.536028500001,5930.053017,66.11174,0.0,5205.1325,5996.1647570000005,5205.1325,791.0322570000008
2026-01-01 17:00:00+00:00,0.0,629.49727975,14.76041275,3.299999,784.429385,4679.4461615,6111.433238,73.1215255,0.0,5141.965,6184.554763499999,5141.965,1042.5897634999992
2026-01-01 18:00:00+00:00,0.0,634.1458595,14.619577,3.299999,753.496428,4714.6113614999995,6120.173225,66.800274,0.0,5132.355,6186.973499,5132.355,1054.6184990000002
2026-01-01 19:00:00+00:00,0.0,634.580205,14.62782125,3.1009435,710.66636875,4752.4252785,6115.400616999999,51.36841175,0.0,5076.125,6166.769028749999,5076.125,1090.644028749999
2026-01-01 20:00:00+00:00,0.0,633.46243625,14.426165999999998,3.1999720000000003,661.44298275,4328.91521675,5641.44677375,0.0,8.539597,5007.3625,5641.44677375,5015.902097,625.5446767499998
2026-01-01 21:00:00+00:00,0.0,626.005416,14.449863,3.2,556.97826775,4264.8778625,5465.511409250001,0.0,92.11126675,5136.5675,5465.511409250001,5228.67876675,236.83264250000047
2026-01-01 22:00:00+00:00,0.0,624.71737775,14.27491325,3.2,551.845332,3857.1497615,5051.1873845,0.0,314.638678,5496.0875,5051.1873845,5810.726178,-759.5387934999999
2026-01-01 23:00:00+00:00,0.0,617.4884485,14.302787,3.2,646.9615635,2921.9251065,4203.8779054999995,0.0,310.2962185,5393.325,4203.8779054999995,5703.6212184999995,-1499.743313
2026-01-02 00:00:00+00:00,0.0,618.486114,14.51304825,3.2,709.53425975,2321.1503985,3666.8838205,0.0,309.23979375,5355.5275,3666.8838205,5664.76729375,-1997.88347325
2026-01-02 01:00:00+00:00,0.0,613.4399485,14.5205165,3.299888,807.53293475,1638.0126575,3076.80594525,0.0,310.064405,5326.65,3076.80594525,5636.714405,-2559.9084597499996
2026-01-02 02:00:00+00:00,0.0,609.0886547499999,14.565076,3.299999,908.73745375,1448.22800525,2983.91918875,0.0,309.75272825,5338.3775,2983.91918875,5648.13022825,-2664.2110395
