,Biomass,Fossil Gas,Fossil Oil,Hydro Run-of-river and poundage,Other,Solar,Wind Onshore,Fossil Hard coal,Hydro Water Reservoir,Other renewable,Fossil Brown coal/Lignite,Fossil Coal-derived gas,Generation,Storage Discharge,Storage Charge,Demand,Total Generation,Total Load,Net Export
2026-01-01 00:00:00+00:00,377.2245,3003.20975,229.27675,104.10249999999999,699.33125,0.0,1781.87925,5418.054,73.677,72.34400000000001,2882.6102499999997,151.24175,14792.950999999997,0.0,399.07124999999996,14991.09475,14792.950999999997,15390.166000000001,-597.2150000000038
2026-01-01 01:00:00+00:00,375.8415,2888.76525,227.892,101.09575,696.4065,0.0,2195.8685,5308.34725,71.439,72.03575000000001,2954.47325,152.005,15044.16975,0.0,534.0315,14432.594,15044.16975,14966.625499999998,77.54425000000083
2026-01-01 02:00:00+00:00,370.96625,2855.29875,227.085,100.61875,687.01025,0.0,1776.8632499999999,5331.464,29.0305,71.0085,2956.86675,152.30375,14558.515749999999,0.0,498.962,14049.157,14558.515749999999,14548.118999999999,10.396749999999884
2026-01-01 03:00:00+00:00,370.875,2790.6365,226.5735,100.79775000000001,686.9065,0.0,2835.1577500000003,5325.371,29.194,71.09,2718.4700000000003,153.1105,15308.1825,0.0,531.7095,13916.07425,15308.1825,14447.78375,860.3987500000003
2026-01-01 04:00:00+00:00,369.62625,2471.47575,225.17374999999998,101.19625,670.264,0.0,3880.33325,5224.2425,29.175,69.45575,2515.386,153.36,15709.6885,0.0,530.2135,13827.35,15709.6885,14357.5635,1352.125
2026-01-01 05:00:00+00:00,367.95525,2561.547,226.05325,101.05625,667.5097499999999,0.0,4723.455,5231.328750000001,28.952,69.19175,2402.91575,153.687,16533.65175,0.0,201.80275,14056.70325,16533.65175,14258.506000000001,2275.1457499999997
2026-01-01 06:00:00+00:00,353.02475,2504.60575,226.15275,122.15350000000001,665.3315,20.128500000000003,5169.7515,5054.78825,36.224,69.34225,2372.623,159.0395,16753.16525,0.0,9.10275,14155.01675,16753.16525,14164.1195,2589.0457499999975
2026-01-01 07:00:00+00:00,349.76324999999997,2542.612,223.752,111.35300000000001,662.5045,220.59675000000001,5529.82475,5030.07625,33.284,69.11675,2343.963,157.14025,17273.9865,0.0,9.198,14400.87825,17273.9865,14410.07625,2863.910249999999
2026-01-01 08:00:00+00:00,350.8005,3017.3505,223.6875,103.9685,663.057,584.66675,5993.94975,5249.73075,30.675,69.1995,2089.47575,153.949,18530.5105,0.0,8.94975,15274.54775,18530.5105,15283.4975,3247.013000000001
2026-01-01 09:00:00+00:00,351.382,2968.13575,222.38400000000001,98.97325000000001,664.514,849.9775,7158.25875,5233.749,28.991,69.346,1795.69475,151.17125,19592.577250000002,0.0,8.11,15984.865,19592.577250000002,15992.975,3599.6022500000017
2026-01-01 10:00:00+00:00,354.39324999999997,3037.9494999999997,222.72975,98.4625,664.472,1098.74575,7630.628500000001,5535.10675,28.823,69.372,1726.5925,152.90875,20620.18425,0.0,7.38525,16623.9945,20620.18425,16631.37975,3988.8044999999984
2026-01-01 11:00:00+00:00,356.171,3003.4195,221.69925,98.6985,665.3145,876.96,7779.430249999999,5631.77075,28.881,69.4565,1758.89475,151.854,20642.55,0.0,7.54725,16738.137000000002,20642.55,16745.684250000002,3896.865749999997
2026-01-01 12:00:00+00:00,360.47525,2961.051,222.118,98.63175,668.85025,654.5174999999999,7878.76275,5159.98775,28.987,69.724,1739.32025,152.8455,19995.270999999997,0.0,7.26125,16961.41775,19995.270999999997,16968.679,3026.591999999997
2026-01-01 13:00:00+00:00,351.981,2900.7105,223.29149999999998,103.10775000000001,671.2605,401.8555,7945.837,5197.92275,30.403,69.97775,1785.211,151.28975,19832.847999999998,0.0,7.585500000000001,17071.72425,19832.847999999998,17079.30975,2753.538249999998
2026-01-01 14:00:00+00:00,357.36925,2758.1205,224.289,119.08025,672.3705,156.1715,8102.2432499999995,5202.21925,43.5885,70.064,1787.0245,153.464,19646.0045,28.409749999999995,0.0,17072.51425,19674.414249999998,17072.51425,2601.899999999998
2026-01-01 15:00:00+00:00,358.10725,2636.09925,225.30075,133.6445,670.0342499999999,0.0,8216.529,5178.53175,71.5395,69.8345,1777.74175,157.2725,19494.635,185.101,0.0,17515.9995,19679.735999999997,17515.9995,2163.7364999999954
2026-01-01 16:00:00+00:00,359.8375,2720.339,225.73000000000002,139.0765,672.1975,0.0,8214.295750000001,5190.6525,73.77000000000001,70.1015,1776.4075,157.45499999999998,19599.862750000008,323.193,0.0,17471.611,19923.055750000007,17471.611,2451.444750000006
2026-01-01 17:00:00+00:00,356.38824999999997,2975.374,225.66725,139.1765,675.2735,0.0,8219.182,5270.711499999999,88.564,70.3755,1789.4365,155.351,19965.499999999996,324.6385,0.0,17489.458,20290.138499999997,17489.458,2800.6804999999986
2026-01-01 18:00:00+00:00,356.17225,2684.23325,225.3275,130.77724999999998,676.50775,0.0,8192.312750000001,5119.42925,100.42824999999999,70.452,1772.46,156.88175,19484.982000000004,325.7365,0.0,17369.04675,19810.718500000003,17369.04675,2441.6717500000013
2026-01-01 19:00:00+00:00,356.78475000000003,2544.04625,226.0965,108.6065,677.33775,0.0,8186.1587500000005,5093.4035,62.7415,70.58924999999999,1782.647,158.85075,19267.262500000004,321.388,0.0,16936.2185,19588.650500000003,16936.2185,2652.4320000000043
2026-01-01 20:00:00+00:00,358.51574999999997,2701.59725,223.53975,99.69175,670.8475,0.0,7655.992249999999,5231.9445,29.301,69.6185,1803.87575,156.79825,19001.722249999995,0.0,6.5215,16239.016749999999,19001.722249999995,16245.53825,2756.1839999999956
2026-01-01 21:00:00+00:00,356.6595,2680.831,222.8105,98.70875,664.8620000000001,0.0,7604.537,5126.5715,28.941,68.97425,1812.45725,155.54975,18820.902499999997,0.0,9.750499999999999,15462.8375,18820.902499999997,15472.588,3348.3144999999968
2026-01-01 22:00:00+00:00,353.904,2412.101,221.954,99.0095,666.94925,0.0,7183.31275,5018.64125,29.142,69.1425,1943.5895,156.793,18154.538750000003,0.0,62.17625,14480.84,18154.538750000003,14543.01625,3611.5225000000028
2026-01-01 23:00:00+00:00,353.97425,2813.4465,218.3065,98.83275,667.53,0.0,5723.382250000001,5184.07125,29.002,69.04875,1859.4969999999998,158.277,17175.36825,0.0,357.43175,13983.85925,17175.36825,14341.291,2834.0772500000003
2026-01-02 00:00:00+00:00,352.21875,2970.951,216.864,98.96025,664.57375,0.0,5622.0135,5223.06575,29.231,68.75325,1811.1354999999999,158.8265,17216.593249999998,0.0,562.613,13521.819,17216.593249999998,14084.431999999999,3132.161249999999
2026-01-02 01:00:00+00:00,352.58875,2932.49575,216.16,99.01325,659.11475,0.0,5431.1044999999995,5051.45925,29.189,68.276,1813.007,157.0515,16809.45975,0.0,568.7004999999999,13282.6345,16809.45975,13851.335,2958.1247500000027
2026-01-02 02:00:00+00:00,346.62375,3050.513,215.99200000000002,99.00525,662.44975,0.0,5341.18325,5047.9794999999995,29.139,68.56524999999999,1816.433,158.42875,16836.312499999996,0.0,567.2747499999999,13247.992,16836.312499999996,13815.26675,3021.0457499999957
