,Hydro Run-of-river and poundage,Nuclear,Solar,Wind Onshore,Hydro Water Reservoir,Generation,Storage Discharge,Storage Charge,Demand,Total Generation,Total Load,Net Export
2026-01-01 00:00:00+00:00,681.400024,1964.92,0.0,2.7,349.08,2998.100024,216.85,0.0,9014.424804,3214.9500239999998,9014.424804,-5799.4747800000005
2026-01-01 01:00:00+00:00,681.5,1964.92,0.0,2.68,358.0,3007.1,214.95,0.0,7862.649414,3222.0499999999997,7862.649414,-4640.599414
2026-01-01 02:00:00+00:00,682.200012,1964.85,0.0,4.449999,348.9,3000.4000109999997,219.45,0.0,7952.032226,3219.8500109999995,7952.032226,-4732.182215000001
2026-01-01 03:00:00+00:00,683.599975,1964.25,0.0,6.53,315.35,2969.729975,220.8,0.0,8343.797851,3190.5299750000004,8343.797851,-5153.267875999999
2026-01-01 04:00:00+00:00,685.599975,1962.85,0.0,8.229999,379.62,3036.299974,216.68,0.0,8301.338867,3252.979974,8301.338867,-5048.3588930000005
2026-01-01 05:00:00+00:00,688.5,1962.58,0.0,7.429999,265.35,2923.859999,199.8,0.0,8304.816406,3123.659999,8304.816406,-5181.156407
2026-01-01 06:00:00+00:00,692.099975,1962.9,0.0,6.3,297.68,2958.979975,213.5,0.0,8652.700195,3172.479975,8652.700195,-5480.220219999999
2026-01-01 07:00:00+00:00,696.700012,1963.65,56.13124,6.5,350.58,3073.561252,215.75,0.0,8104.954589,3289.311252,8104.954589,-4815.6433369999995
2026-01-01 08:00:00+00:00,702.200012,1964.05,392.265716,8.6,375.28,3442.3957279999995,201.3,0.0,8400.686523,3643.6957279999997,8400.686523,-4756.990795000001
2026-01-01 09:00:00+00:00,708.599975,1963.78,768.020874,10.0,265.58,3715.9808489999996,66.78,0.0,8395.696289,3782.760849,8395.696289,-4612.935439999999
2026-01-01 10:00:00+00:00,716.200012,1964.62,1027.05017,10.88,145.6,3864.350182,32.18,0.0,7482.493164,3896.530182,7482.493164,-3585.9629820000005
2026-01-01 11:00:00+00:00,724.799987,1963.48,1112.503906,14.449999,134.25,3949.4838919999997,30.22,0.0,7828.388671,3979.7038919999995,7828.388671,-3848.684779
2026-01-01 12:00:00+00:00,734.599975,1958.45,1015.086975,18.45,175.32,3901.90695,28.78,0.0,8266.338867,3930.6869500000003,8266.338867,-4335.651917
2026-01-01 13:00:00+00:00,745.400024,1961.85,745.447143,20.75,166.8,3640.247167,30.58,0.0,8045.893066,3670.827167,8045.893066,-4375.065898999999
2026-01-01 14:00:00+00:00,757.200012,1961.42,387.545745,23.93,277.92,3408.015757,33.18,0.0,8045.449707,3441.195757,8045.449707,-4604.25395
2026-01-01 15:00:00+00:00,769.799987,1960.15,61.0984,29.25,367.05,3187.348387,46.52,0.0,8092.728515,3233.868387,8092.728515,-4858.860128
2026-01-01 16:00:00+00:00,783.200012,1959.3,0.0,32.599998,518.3,3293.4000100000003,240.52,0.0,8412.382812,3533.9200100000003,8412.382812,-4878.462802
2026-01-01 17:00:00+00:00,797.099975,1959.45,0.0,34.080001,487.32,3277.949976,286.32,0.0,8455.132812,3564.269976,8455.132812,-4890.862836
2026-01-01 18:00:00+00:00,811.599975,1960.22,0.0,34.279998,486.92,3293.019973,179.35,0.0,9021.063476,3472.369973,9021.063476,-5548.6935029999995
2026-01-01 19:00:00+00:00,826.5,1960.05,0.0,35.130001,423.6,3245.280001,185.28,0.0,8364.977539,3430.5600010000003,8364.977539,-4934.417538
2026-01-01 20:00:00+00:00,841.599975,1960.02,0.0,35.5,288.2,3125.319975,107.05,0.0,8239.276367,3232.369975,8239.276367,-5006.906392000001
2026-01-01 21:00:00+00:00,857.0,1960.25,0.0,35.25,291.3,3143.8,76.32,0.0,8017.606445,3220.1200000000003,8017.606445,-4797.4864450000005
2026-01-01 22:00:00+00:00,872.400024,1961.18,0.0,34.95,346.82,3215.350024,81.35,0.0,8776.549804,3296.7000239999998,8776.549804,-5479.8497800000005
2026-01-01 23:00:00+00:00,677.900024,1960.6,0.0,34.45,293.5,2966.4500239999998,21.08,0.0,8851.041015,2987.5300239999997,8851.041015,-5863.510991000001
2026-01-02 00:00:00+00:00,674.299987,1961.68,0.0,27.18,263.65,2926.809987,19.15,0.0,8820.33496,2945.959987,8820.33496,-5874.374973
2026-01-02 01:00:00+00:00,671.200012,1961.75,0.0,25.229999,225.22,2883.400011,24.12,0.0,7945.146972,2907.520011,7945.146972,-5037.626961
2026-01-02 02:00:00+00:00,668.599975,1961.38,0.0,24.979999,125.62,2780.579974,26.18,0.0,8821.784179,2806.759974,8821.784179,-6015.024205
2026-01-02 03:00:00+00:00,666.599975,1961.12,0.0,25.93,142.35,2795.9999749999997,17.4,0.0,8898.774414,2813.399975,8898.774414,-6085.374438999999
