,Solar,Wind Onshore,Biomass,Hydro Water Reservoir,Hydro Run-of-river and poundage,Geothermal,Other renewable,Storage,Nuclear,Fossil Brown coal/Lignite,Fossil Hard coal,Fossil Gas,Fossil Oil,Waste,Other
2026-01-01 00:00:00+00:00,0.5219976119888067,138.7333781020621,61.55762274909735,154.4746226887864,53.015858814400985,0.09239901876542671,14.564695979806313,0.5960112503196113,604.632534030901,152.59713799202302,78.714410528992,478.63391461440267,3.8965316234334018,4.814157522607729,9.154727472413224
2026-01-01 01:00:00+00:00,0.6758993911550208,114.64491070944489,56.92600217731425,144.59767248699785,41.59396477694999,0.08091568086663536,14.510565101257384,0.1982514977359393,522.3312103283979,129.90647247931804,78.65754317211525,399.1425037180144,4.292364990689014,4.603724501762789,7.837998987980644
2026-01-01 02:00:00+00:00,0.3556789380883891,96.31843499002373,55.737922896641294,127.71612711768074,23.362034091446727,0.08043278241554286,14.962087223572912,0.0036061961005728017,444.7275728745245,101.99205692200104,80.32201437337038,302.7266579662047,4.914484356894554,3.9537534447783793,7.8271358262565505
2026-01-01 03:00:00+00:00,0.7840223786717497,63.370254671805036,49.61413202354111,90.42093497521353,16.836298453785467,0.08965647613080756,10.876765444280267,0.009213485191962783,423.5205089974247,89.12185952837028,55.21034798764795,250.64414517464414,3.278688524590164,3.661301245315982,8.561870633386715
2026-01-01 04:00:00+00:00,1.0012378219375428,50.35220856607492,40.267729366753635,120.23194922543077,17.12686441667279,0.06274937219760975,10.100558455226965,0.00874166922535084,331.18215467700315,87.54824583843323,53.47888215490138,223.22443115442803,3.346897400622692,3.0361474913022857,6.031202389789704
2026-01-01 05:00:00+00:00,0.010946340546358603,40.73272608331139,48.802259841834335,135.8302430945986,20.576763454237046,0.07776281989267388,12.490853897511474,0.0003945480631276901,272.47513724037674,17.936772049265635,61.85901669644615,252.1984258673273,3.9386476868327405,3.435213519676548,7.63483686007989
2026-01-01 06:00:00+00:00,19.953305008496393,53.19629525724808,42.92319675250995,139.91790240391032,30.79310162679773,0.06157928669810373,11.801763774841676,0.0,286.5247363237737,52.99901747920889,61.348335428363725,231.03872447680328,3.401351630922006,2.943770988733412,6.096919561692808
2026-01-01 07:00:00+00:00,80.53088009859897,46.68380208823822,36.65738667102549,135.5932996900968,26.473982704453594,0.05323977844802979,10.392493104512983,0.0,246.84264329256348,45.16871196483572,55.449593482227996,198.03904245803884,2.7363184079601983,2.6396648735359753,5.738941385463754
2026-01-01 08:00:00+00:00,164.98642865201575,56.491463239848606,34.32612600668147,113.6816893011761,32.831658134507634,0.048651269078794565,9.478326506653888,1.5124861923716513,255.90350083388853,59.81450443549432,51.7019163405985,216.05034106704807,2.6452599388379205,2.4379807438650087,6.089667337933684
2026-01-01 09:00:00+00:00,255.3324353301787,73.88861303715333,36.26514351087023,109.46206271203405,40.85112991606546,0.05655405407627045,9.097098206818686,0.5979893475050033,308.22275849437375,76.69581970503884,48.72685662551537,238.16843887262223,2.5706444530543715,2.5097766776719492,7.554679057021793
