,Solar,Wind Onshore,Wind Offshore,Biomass,Hydro Water Reservoir,Hydro Run-of-river and poundage,Geothermal,Storage,Nuclear,Fossil Brown coal/Lignite,Fossil Hard coal,Fossil Gas,Fossil Oil,Waste,Fossil Coal-derived gas,Other
2026-01-01 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-01 01:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-01 02:00:00+00:00,0.23057570196970095,15.167810259114347,0.0,0.5609167753900077,0.44567408537995445,3.4735783661700177,0.0,0.0,90.68126449010408,51.876317728389985,2.5553250951200424,15.828664264272023,0.0,0.1798732340898315,0.0,0.0
2026-01-01 03:00:00+00:00,1.806336584385187,37.653582848667384,0.0,1.4673505710838672,1.1178999633505526,8.754858908974827,0.0,0.0,228.66751672500013,128.1044243751395,6.459557874004672,39.72537892781309,0.0,0.44309322158087394,0.0,0.0
2026-01-01 04:00:00+00:00,2.174829489939347,36.838907690217894,0.0,1.5629765910606959,6.7689900809131665,10.440411952153793,0.0,0.0,243.83015704831288,130.12239683380088,6.863684939551938,42.443824757176095,0.0,0.47882061687331473,0.0,0.0
2026-01-01 05:00:00+00:00,7.396851537099349,54.958527603173636,0.0,2.594316645737483,27.688492978076198,23.803545186084456,0.0,0.0,400.0960812409464,208.8102836256193,11.26268719776026,69.77924012151661,0.0,0.7849738639863241,0.0,0.0
2026-01-01 06:00:00+00:00,67.93902885398931,43.05924886427143,0.0,1.8541654180782057,34.782604735194006,23.49666285452959,0.0,0.0,283.307298515603,148.11537592192386,7.934453925929529,49.360648551255814,0.0,0.550512359225169,0.0,0.0
2026-01-01 07:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-01 08:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-01 09:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-01 10:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-01 11:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-01 12:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-01 13:00:00+00:00,107.5609692308549,14.04821079379009,0.0,1.3497600227111057,1.2122490094375735,8.54748469958383,0.0,0.0,193.8978962479166,103.13738414768747,5.455817975827776,33.34454478784467,0.0,0.37068308434597325,0.0,0.0
2026-01-01 14:00:00+00:00,85.7022471733575,32.92578912052418,0.0,3.8473709484614016,108.26530425516133,37.014250653455484,0.0,0.0,557.750860603024,311.9361005536171,15.651360452508177,96.33812991475229,0.0,1.0685863251387324,0.0,0.0
2026-01-01 15:00:00+00:00,97.20711995443867,64.93485215755496,0.0435583849891104,4.279902987050656,206.61101857959244,46.13853871081343,0.0,0.0,522.4189548614559,309.02942218746045,14.771533784796375,112.35513789087855,0.0,0.9935465287800948,0.0,1.2414139721896464
2026-01-01 16:00:00+00:00,121.67322387470215,98.32202603038445,0.12988997555012224,4.6218218034506515,275.213760940452,46.5135007587201,0.0,0.0,508.861497477889,282.71622777126686,14.373795354798878,124.97501322116517,0.0,0.9411132072683569,0.0,2.2081295843520783
2026-01-01 17:00:00+00:00,96.47904041440708,47.54352754745246,0.0,3.387718307535843,278.38904552838324,45.96471997165391,0.0,0.0,512.7145297143297,277.8084154164492,14.546442906678191,88.96273789994648,0.0,1.0038222931638527,0.0,0.0
2026-01-01 18:00:00+00:00,42.52125867181292,179.64922240942724,0.452007444828503,5.385277522175377,243.29559736176608,39.62307190204303,0.0,0.0,495.8675904073799,261.82158234965317,13.975984560962816,147.29084503608956,0.05317734645041213,0.982438696531019,0.0,3.8819462908800855
2026-01-01 19:00:00+00:00,10.96893203281983,232.6628990191513,0.6303684879288437,6.246807721474829,193.63136243254914,35.27612517930142,0.0,0.0,577.4809644321057,307.58051358321427,16.315802150996195,174.74360720838644,0.06149936467598475,1.1577892895564026,0.0,4.443329097839898
2026-01-01 20:00:00+00:00,8.953963669814039,118.79534258967169,0.05268476723034427,4.165171369837915,135.30544810215721,27.65824501970505,0.0,0.0,601.0097088867818,358.7454386765351,16.94525165404458,111.0484385298999,0.0015495519773630667,1.1850897970452905,0.0,0.45866738529946777
2026-01-01 21:00:00+00:00,39.19570529843783,108.02617081775496,0.0,3.672881400240752,65.86766386106143,21.210837952818082,0.0,0.0,555.6306615569118,324.77092982006747,15.697595117841809,95.30241744584715,0.0,1.0751367290187923,0.0,0.0
2026-01-01 22:00:00+00:00,1.1623294375837212,127.68053991904138,0.0,4.4032015768178345,3.21508828175313,29.554712367366708,0.0,0.0,637.9367676002248,408.4870239157709,18.019547952078735,110.77835780329018,0.0,1.1874311460724742,0.0,0.0
2026-01-01 23:00:00+00:00,11.6289653853445,106.95727695009275,0.0,4.1956759449623044,2.9781550271505606,24.741412865747936,0.0,0.0,609.5267151075122,342.9258704447456,17.155459885370846,105.60791007498855,0.0,1.132558314084893,0.0,0.0
2026-01-02 00:00:00+00:00,0.2528458137370856,120.79389843188625,0.0,4.672161625949198,3.3203618875895615,27.354756858928713,0.0,0.0,679.4855242364624,358.4052965284531,19.139263110653197,117.44918041003885,0.0,1.2767110963016541,0.0,0.0
2026-01-02 01:00:00+00:00,0.1823095537369747,109.44834249191013,0.0,4.205698258721135,3.061516189966297,26.285206020927358,0.0,0.0,626.4443176770775,331.3355441823742,17.67418303724751,108.28036724962966,0.0,1.1575153384092978,0.0,0.0
2026-01-02 02:00:00+00:00,0.30551624178621256,109.63268197640262,0.0,3.6447197081852036,2.6974294337085176,22.91923676645224,0.0,0.0,549.379178698796,300.41277767906774,15.449772368830464,95.00689196397823,0.0,1.1017951627928517,0.0,0.0
2026-01-02 03:00:00+00:00,0.04108125677296747,107.32752041090146,0.0,3.259902835143778,2.3960123022440403,20.35818620180312,0.0,0.0,490.38337297661275,277.00278168974575,13.831508122730098,84.13124680216146,0.0,0.968387401884484,0.0,0.0
2026-01-02 04:00:00+00:00,4.149266660990673,122.8568137532455,0.0,3.3841162959636595,14.128181902486476,22.118680563173438,0.0,0.0,506.32081291641964,300.4818432186883,14.266075307224213,87.40836572729563,0.0,0.9358436545123809,0.0,0.0
2026-01-02 05:00:00+00:00,24.19571527716474,137.9541151003604,0.0,3.3650730278055017,35.58484684686576,31.065327992930246,0.0,0.0,520.5260372754228,311.0156769121962,14.616910419102364,89.89784215432299,0.0,0.9034549938290312,0.0,0.0
2026-01-02 06:00:00+00:00,60.94810976404238,66.35438107954268,0.0,1.5877410992653451,21.899884251589615,16.12819043866404,0.0,0.0,247.77881080180268,146.2384638647444,6.9587189015986795,43.10049315050189,0.0,0.4302066482482906,0.0,0.0
2026-01-02 07:00:00+00:00,50.997028288704165,17.807418903335556,0.0,0.4241455700614171,25.936933932080947,4.708900645153481,0.0,0.0,64.99360782192971,38.69753437279721,1.8293688964057564,11.263645978766386,0.0,0.11641559076536474,0.0,0.0
2026-01-02 08:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-02 09:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-02 10:00:00+00:00,0.26227293199219337,0.6482510133613572,0.0050042536155732375,0.008056848321072911,0.008106890857228644,0.002652254416253816,0.0,0.0,0.0,0.0,0.0,0.05099334434269129,0.0,0.0,0.0,0.014662463093629586
2026-01-02 11:00:00+00:00,62.13482947517229,165.56763562466867,1.094981445485068,1.7176179537020675,0.0,0.5152853861106202,0.0,0.0,0.0,0.0,0.0,8.888672910408198,0.0,0.0,0.0,3.0809772044530837
2026-01-02 12:00:00+00:00,102.64786867884564,328.9573294501809,2.0545847674521225,3.397184714500044,0.0,1.1188332892066013,0.0,0.0,0.0,0.0,0.0,16.90455387873974,0.0,0.0,0.0,5.919645221074927
2026-01-02 13:00:00+00:00,44.81981938474912,200.84145458057662,0.9836287245858888,2.1743371806635436,0.038827449654706137,0.7247790602211812,0.0,0.0,0.0,0.0,0.0,14.702660935915391,0.0,0.0,0.0,3.7144926836335537
2026-01-02 14:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-02 15:00:00+00:00,14.490933174789896,105.06170474399616,0.27964964328600694,1.661097780742617,24.25250924524267,8.366288158942213,0.0,0.0,61.92749268592293,41.035318679487666,1.7245296260691654,25.206234418285664,0.0,0.15239328775013175,0.0,2.191848555484919
2026-01-02 16:00:00+00:00,37.60934477115142,49.41495582803044,0.0,1.050388290609343,72.28437577449264,19.824362608564197,0.0,14.831035463812219,157.3142698478409,113.08787419745497,4.371392416510915,26.95653051877142,0.0,0.33047028276147233,0.0,0.0
2026-01-02 17:00:00+00:00,21.370863349562168,31.89486431077721,0.0,0.6523514315754225,45.31058889064059,12.271674382182931,0.0,9.434354753172645,99.44814752362056,71.58656212136,2.7679351403592753,17.062853842760546,0.0,0.17480425398861513,0.0,0.0
2026-01-02 18:00:00+00:00,21.095942950999923,51.6228132102172,0.0,1.0587761902402653,71.10121968947814,18.208148988942707,0.0,16.711180746203045,163.6854311020397,105.0104211528394,4.561963139535818,27.96651991022538,0.0,0.327582919278439,0.0,0.0
2026-01-02 19:00:00+00:00,8.522820714951735,40.03464426026236,0.0,0.6867082587386685,36.16815218104863,9.227875311672173,0.0,0.0,130.45748415759684,79.99524029652072,3.6578351975263965,22.044413966051092,0.0,0.25482565563139775,0.0,0.0
2026-01-02 20:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-02 21:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-02 22:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-02 23:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-03 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-03 01:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-03 02:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-03 03:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-03 04:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-03 05:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-03 06:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-03 07:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-03 08:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-03 09:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-03 10:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-03 11:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-03 12:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-03 13:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-03 14:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-03 15:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-03 16:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-03 17:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-03 18:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-03 19:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-03 20:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-03 21:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-03 22:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-03 23:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-04 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-04 01:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-04 02:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-04 03:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-04 04:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-04 05:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-04 06:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-04 07:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-04 08:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-04 09:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-04 10:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-04 11:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-04 12:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-04 13:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-04 14:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-04 15:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-04 16:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-04 17:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-04 18:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-04 19:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-04 20:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-04 21:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-04 22:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-04 23:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-05 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-05 01:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-05 02:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-05 03:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
