,Solar,Wind Onshore,Wind Offshore,Biomass,Hydro Water Reservoir,Hydro Run-of-river and poundage,Other renewable,Storage,Nuclear,Fossil Hard coal,Fossil Gas,Fossil Oil,Waste,Other
2026-01-01 00:00:00+00:00,2.284739929193839,954.7690778938584,741.8594599774315,85.6431978933644,414.6595698270948,106.59463351148564,0.2333538935473209,0.0,103.80718905853301,21.962757686057063,104.69287262048279,0.626316842686727,52.03382651122469,347.43300435503994
2026-01-01 01:00:00+00:00,2.2824482087076117,986.2791158560836,706.7871936902459,71.51234460411783,427.0034248710235,109.59929146957195,0.22519205179771534,0.0,124.4766135002017,20.726119681240938,86.58619912906481,0.47334623618834076,49.138622230247506,311.81008847150844
2026-01-01 02:00:00+00:00,2.4718898813899224,900.4525441746146,702.6501221966184,52.66875633289753,242.45634820640151,70.80905245617447,0.20749448478042615,0.0,74.29630394402747,22.18229221112636,81.00884882392704,0.1651084815335654,44.08692233118778,314.4443164753211
2026-01-01 03:00:00+00:00,2.626728582478367,762.1815010804876,607.379444503505,45.53036751400793,11.961514871464212,4.493133698014176,0.25896508080455,0.0,49.916791844010035,23.868875225180183,52.72313346282698,0.18139970917351256,36.52163908455283,227.85650534349475
2026-01-01 04:00:00+00:00,2.7574093870355334,748.2714133135115,602.6456578367297,44.4513588458903,0.0,0.4783127102533553,0.2585129813067925,0.0,69.01256853632498,24.965468368098545,52.47820569128148,0.1864391997170831,36.15125933075506,225.34339379909574
2026-01-01 05:00:00+00:00,3.0107547728792077,720.9258117237412,595.2875985600001,46.816033587856936,0.0,0.2828589703424061,0.27247882464176737,0.0,28.089336638611947,26.777661863937798,48.93389695810409,0.19926162355547367,32.968909802243225,245.4353966740859
2026-01-01 06:00:00+00:00,3.0556618783432237,679.7574433857794,642.3785617876305,49.761461636074614,0.0,0.29203351547940076,0.28399589578730716,0.0,29.54316953627176,27.713779678502828,49.66573913786676,0.20637553073813367,34.68864627060283,260.6531317469233
2026-01-01 07:00:00+00:00,3.1771061622849865,894.0362262423808,829.9539341179059,55.88856774008208,0.0,0.42746055861753196,0.2605492351904312,0.0,196.41710695106667,28.022816609727517,82.17789220909918,0.20746083579038757,55.220093503774855,348.21078583407945
2026-01-01 08:00:00+00:00,16.14179386108144,919.6885745387966,787.5511328390514,51.26798671050545,0.0,0.3373089392639343,0.24346251051176096,45.83094004929762,214.80189479750092,26.778027126915376,78.50668605353187,0.197527739346296,54.2321453042695,322.4225195299275
2026-01-01 09:00:00+00:00,57.468919022496536,883.2612296160406,725.2761021436843,46.97423356925002,0.0,0.3188235015416588,0.22133852298191817,0.0,186.7260091241747,25.59609519423643,68.99541492361499,0.1885462598085598,49.02477311645705,291.94851500571315
2026-01-01 10:00:00+00:00,110.7860793777833,836.9978673957612,635.1532605120144,37.70064504897229,0.0,0.3045052138224118,0.17659311766084235,0.0,176.62442888819848,24.48752011793092,56.17474551742313,0.17865466571641503,41.98747800154218,232.42822214317437
2026-01-01 11:00:00+00:00,146.5016041244048,855.9334192838098,548.524174570801,28.406489366401704,0.0,0.31861193332454807,0.1741390015367736,0.0,219.51434408248818,24.096295056127637,45.43204207728055,0.1765313452712639,38.74242087209885,127.17992828645487
2026-01-01 12:00:00+00:00,102.27297905582137,943.5618442152767,672.1921531727494,37.81044369453486,56.20160300151651,14.281333322677304,0.16796141489388045,0.0,244.4649690743077,24.34939578408075,66.51360209308496,0.17787714962325774,50.00416393564922,252.80167408578433
2026-01-01 13:00:00+00:00,59.421294487499324,1025.6865658851311,873.056420804068,53.82888863719539,33.904516897741125,8.724523785317412,0.17494568597537596,0.0,268.6778455226133,24.600447236500816,99.30754488739905,0.17669887896333866,63.68106640436715,444.75924088722877
2026-01-01 14:00:00+00:00,16.795155864040897,986.0404798772399,685.9638340626595,44.90965393051657,363.97012074244617,67.2743492617587,0.2552694111782905,0.0,248.57334939615336,24.71938882764267,69.32989645264868,0.1868077768118264,52.94498255361451,245.03671184328886
2026-01-01 15:00:00+00:00,3.6348549373668604,1126.5917908796469,904.1784787643787,67.76456700012442,752.0682720411553,108.09706464416863,0.2893484253984109,2.1718218324131375,276.9672980341775,23.26749010909097,138.60462921395248,0.21363285312336017,69.53199240492694,490.6187588600765
2026-01-01 16:00:00+00:00,2.521332795616183,1102.34660755303,777.8407290507371,80.90643573232981,1098.449087411642,151.86563290113207,0.28777671840778835,87.20872064951263,247.1659117921104,23.351837901063774,130.66097150550664,0.5959601755134188,61.95895036470363,381.84004544869447
2026-01-01 17:00:00+00:00,2.3897017804317007,1159.7218447517257,883.073246008269,91.84110596863681,1096.3630766164047,148.64335084618827,0.27102148262580955,89.04523231596849,261.2438118922058,22.26994531345823,168.59618562954384,0.6544770398591647,68.92619151789295,503.96080883678997
2026-01-01 18:00:00+00:00,2.3643882286368108,1161.8816035244972,883.6951875614174,109.06016348758871,1104.1702156826225,149.66037547217545,0.2662616789377232,87.01779682797259,262.2898601819918,22.504633187998525,170.63716935830416,0.9739924457082709,69.12236309889283,504.35598926325594
