,Solar,Wind Onshore,Wind Offshore,Biomass,Hydro Water Reservoir,Hydro Run-of-river and poundage,Geothermal,Other renewable,Storage,Nuclear,Fossil Brown coal/Lignite,Fossil Hard coal,Fossil Gas,Fossil Oil,Waste,Fossil Coal-derived gas,Other
2026-01-01 00:00:00+00:00,1.6000356395504496,1327.7829235124864,305.9282365663632,137.46238715625782,359.20840562492396,109.86702617938596,0.5305958969981658,1.8869823152632617,0.0,0.0,71.35075859525863,118.38731418142129,132.98666140977346,9.5920834234413,27.268279336354976,13.350927513678583,5.072382648842462
2026-01-01 01:00:00+00:00,1.5996160336342873,2739.586856387247,505.5829572878434,294.66396531477346,217.05426688560925,104.80838784482717,1.4532627109211427,4.87854142169254,0.0,0.0,178.54580789375115,300.9423308218286,311.3866495067259,25.400532962018463,49.01317861151638,36.514673569758784,13.893972747852624
2026-01-01 02:00:00+00:00,1.7321276314834648,3827.6291260839885,690.7303884594103,400.7949958219992,1.6666307130988633,73.99671023549764,2.121109654546335,7.035646140508198,0.0,0.0,216.99577580844104,425.4389586642728,420.2258425338892,36.702229285709805,65.98375461394559,56.085976561256714,20.285727791952755
2026-01-01 03:00:00+00:00,1.840546217507691,3517.1607070231285,639.5027673038691,359.4369355466758,1.1341174293561793,66.0892473499171,1.8913917965063338,6.325439772171474,0.0,0.0,192.23504851499254,379.97717094994204,370.74932472171884,32.75126956706616,61.55134613902747,50.79393249585532,18.08575517226513
2026-01-01 04:00:00+00:00,1.978292727874599,3525.5986339302153,568.8081559062141,356.73948327124987,1.1212855120674277,64.15239440129332,1.864699881290082,6.242677076835296,0.0,0.0,189.67978842423807,369.06652313371234,368.1211769738167,32.2974668407763,60.9606901115412,47.2048062708743,17.813925538001133
2026-01-01 05:00:00+00:00,2.0550594059858907,1666.499242687458,317.9958488967112,150.0730344009474,12.466544512896416,27.293002885307136,0.7111446686901569,2.4960370373096517,0.0,0.0,78.02592686603393,152.3966282602598,144.38379279923564,14.687249948511875,29.229262342043953,18.79738372516974,6.78984156343917
2026-01-01 06:00:00+00:00,2.1802123251843573,3077.5523093306483,400.7295121676189,295.84925174433005,106.00382129180467,79.23179480403283,1.4624565063693515,4.953213989080374,0.0,0.0,155.305690017241,292.8801381150847,297.2661246631309,25.372770050425018,50.86396012962762,39.60429129885447,12.91945356656703
2026-01-01 07:00:00+00:00,19.445066506385725,1688.251563814852,361.6009900207277,152.8408530179352,80.47527685341477,48.33875382395665,0.6997016032792117,2.4553569711297807,0.0,0.0,72.60440971079476,149.69148730710256,139.41568273365493,12.215322990768648,30.32681350472589,18.9209828318091,5.9177383094632
2026-01-01 08:00:00+00:00,112.64134916884808,1719.9666261217822,384.26796799991405,157.3184146357329,0.5216739434063158,26.020904823664416,0.7241164502862347,2.522311983336368,0.0,0.0,81.11758141941357,158.7931432015457,142.54029426658897,12.628107769200794,30.0683461274627,18.346751508064106,6.1224105807531
2026-01-01 09:00:00+00:00,387.0055738241676,2807.756855397623,515.2582328264248,271.39757562363155,2.362521635818912,47.80353265874068,1.32695000674499,4.464600048719826,0.0,0.0,152.19307741890069,272.00096606602153,263.25250643408265,23.027154253249744,46.21433799075816,32.943566319255254,11.217549495861213
