,Solar,Wind Onshore,Biomass,Hydro Water Reservoir,Hydro Run-of-river and poundage,Geothermal,Other renewable,Storage,Nuclear,Fossil Brown coal/Lignite,Fossil Hard coal,Fossil Gas,Fossil Oil,Waste,Other
2026-01-01 00:00:00+00:00,0.011961519380723741,70.11912666575314,95.4505864431293,5.356625300630513,6.528690806600864,0.2738247017914149,7.723997606704747,0.0,1041.8991871954754,55.978417624709444,17.89086651133568,622.0047829070859,0.0,8.506877078184521,27.13005563921854
2026-01-01 01:00:00+00:00,0.0067954539367418125,71.75696389982791,104.56382705937399,5.893525956996378,7.196362473443091,0.30126254168816613,8.510821773133948,0.0,1146.0673312566214,61.24493905623971,19.414232219685385,617.2544041259689,0.0,9.857359954578639,29.18217422850575
2026-01-01 02:00:00+00:00,0.009934189122998328,65.11480917768269,98.36866554347478,5.567916192652959,6.936536011006238,0.2844610937562049,8.078168282872966,0.0,1082.0329328365845,58.86218332007019,18.848181360364833,452.2104105682422,0.0,8.979108074157406,27.681693350012246
2026-01-01 03:00:00+00:00,0.030458721599551274,53.49772823901553,111.22300312051937,6.277347514577652,9.40578025923655,0.3207223203852652,9.084492721036133,0.0,1163.8447123263313,76.92504320168555,21.20066926892393,482.15121439474524,0.0,9.736001179473075,30.627826732470457
2026-01-01 04:00:00+00:00,0.01671748236882433,58.27488860123805,118.23827308383134,6.656521106631184,20.990154195927772,0.34044401555619624,9.908426932178,0.0,1189.6628739302305,136.20960083248406,22.747229230766404,552.9378569336749,0.0,11.244984919176398,32.722028735936064
2026-01-01 05:00:00+00:00,0.007214853967192872,52.63077586110035,109.2622925076547,6.1640370406425635,27.175491508092776,0.3147593382455777,9.432255786777844,0.0,1100.8869768378918,159.6350276007314,19.511031140229864,510.52279462832917,0.0,10.203934287846991,30.903408608489684
2026-01-01 06:00:00+00:00,5.402816204174669,33.47324927065698,70.9993336577016,3.9886323223440305,29.733083471796967,0.20391587730800254,6.481147279439071,0.0,712.9913405324378,170.25756683763257,12.76163042652721,320.25815018046984,0.0,6.359573976044022,20.189559963467325
2026-01-01 07:00:00+00:00,194.80133215290658,25.32352494990211,1.4398360781436865,71.28457672117383,18.58022245635193,0.0,0.0,0.0,224.98394895128757,130.49467455500672,6.333263995689702,39.269417487481306,0.0,0.4392026520565221,0.0
2026-01-01 08:00:00+00:00,559.7572228903392,27.59997938540005,2.887138454316818,137.51264653136204,22.468322395927625,0.0,0.0,0.0,432.5360954500926,230.20197457050747,12.153191780085917,74.86362803406465,0.0,0.8448005079032299,0.0
2026-01-01 09:00:00+00:00,558.2452523894941,28.070305343939992,2.729437215176504,91.75967301425207,16.703728980694656,0.0,0.0,0.0,401.8423309633857,223.3585364518934,11.319584999909083,69.24029764193817,0.0,0.9558529993166225,0.0
