,Solar,Wind Onshore,Wind Offshore,Biomass,Hydro Water Reservoir,Hydro Run-of-river and poundage,Geothermal,Other renewable,Storage,Nuclear,Fossil Brown coal/Lignite,Fossil Hard coal,Fossil Gas,Fossil Oil,Waste,Fossil Coal-derived gas,Other
2026-01-01 00:00:00+00:00,0.001558741264649541,1722.685746482836,187.13542418665077,207.29575203286157,5.147942897360818,39.85844176810027,1.1523955184668662,3.743543415949128,0.0,0.0,154.96594472284715,223.7336596573777,281.2256727244393,19.880739191079314,32.88478958872902,28.996735785524486,11.016653286512977
2026-01-01 01:00:00+00:00,0.0005043481628148022,593.8011031017895,76.78077488584151,69.20520094975177,1.0111180373913866,13.304293239127706,0.3852994688392364,1.2516408356574942,0.0,0.0,47.33734955693607,75.94145597663,81.63156470852732,6.646524230302819,10.463467565640007,9.681033047595745,3.683670047806605
2026-01-01 02:00:00+00:00,0.00144510055991538,2721.9973605043365,375.3607018787125,304.9836072571787,1.334531840151598,59.120147361019534,1.6984496614620626,5.51739393775692,0.0,0.0,173.75641149461057,328.2309328687231,333.4507847326989,29.29626427414092,46.123367186943526,44.91008171079669,16.2435201909082
2026-01-01 03:00:00+00:00,0.001157886166202119,1951.6510422853974,260.4167169919769,214.7534186332084,0.7151573320913537,41.56338515801132,1.1926831173883081,3.8744172116815263,0.0,0.0,121.22051991430754,229.0719217598297,231.77690965597887,20.57238468418075,32.38079402616228,32.02988712622617,11.404604217393125
2026-01-01 04:00:00+00:00,0.0025317681132994807,2980.7013183085896,321.482746518408,323.0653929373047,1.0735865308749784,61.24272359436962,1.7853763873093005,5.799774393946449,0.0,0.0,181.61089556576027,336.2400848403125,349.3245486370167,30.795648324601558,48.69750798231638,45.196735050587066,17.056129160489647
2026-01-01 05:00:00+00:00,0.002157762504377415,2843.236968216822,181.8203890279299,286.90396349642197,2.419635102960261,54.105036542791225,1.4652748206985031,8.186213942100416,0.0,0.0,279.7574413418756,535.4125396453458,417.43741717296876,41.17604214217112,39.51623956590664,46.34136539377417,47.04431582572867
2026-01-01 06:00:00+00:00,0.0019423941586841037,2549.14690387996,131.46732181644037,261.050544971886,5.347412636352773,47.36213488097481,1.3911584784020943,4.519162109630943,0.0,0.0,147.73419002247337,259.80944792968273,279.2495253793487,23.995851837843748,37.43630891867586,37.673493455396425,12.28960128877345
2026-01-01 07:00:00+00:00,42.54323502614206,2118.312902506939,115.85295974787081,197.38427713001033,5.413553893984162,40.01790410861199,0.856591616713551,9.506651804726161,0.0,0.0,316.91654420567016,648.592623647049,413.61063898875625,36.544224901852516,23.30057946933405,38.45091581514082,71.69639713719936
2026-01-01 08:00:00+00:00,178.06638519781393,2154.0967515196826,175.18173456120587,208.01065104303729,2.5729682957091113,40.99510335877222,0.9715166744708413,7.381383003915851,0.0,0.0,236.4184942409612,508.51183002886364,371.040466679548,30.416208009531324,26.694680705138445,34.01541759285128,48.70140908849764
2026-01-01 09:00:00+00:00,393.2810888989816,2772.0136247434752,224.55536374977407,247.78841635383435,5.0876251215499995,49.943708879912016,1.092928864905453,11.065401211320975,0.0,0.0,319.95193924861695,776.542963802385,535.9535163539135,42.95780107324544,30.071857607989273,43.5160799449866,81.25268414510985
