,Solar,Wind Onshore,Wind Offshore,Biomass,Hydro Water Reservoir,Hydro Run-of-river and poundage,Geothermal,Storage,Fossil Hard coal,Fossil Gas,Fossil Oil,Fossil Coal-derived gas,Other
2026-01-01 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-01 01:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-01 02:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-01 03:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-01 04:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-01 05:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-01 06:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-01 07:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-01 08:00:00+00:00,24.452649244785423,12.12610884679933,0.0,0.8309558059617996,0.3507552145768401,0.23383680971789342,0.0,0.0,0.0,13.14496923199872,0.016702629265563814,0.0,1.0940222168944298
2026-01-01 09:00:00+00:00,9.369630207317865,3.7560278156885682,0.0,0.2019886917527783,0.0973874049522324,0.06732956391759277,0.0,0.0,0.0,4.660167674010529,0.004809254565542341,0.0,0.3426593877948918
2026-01-01 10:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-01 11:00:00+00:00,80.09416725228391,41.330990864371046,0.0,1.6725228390723823,0.0,0.5115952213633169,0.0,0.0,0.0,41.51791988756149,0.03935347856640899,0.0,2.8334504567814474
2026-01-01 12:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-01 13:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-01 14:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-01 15:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-01 16:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-01 17:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-01 18:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-01 19:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-01 20:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-01 21:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-01 22:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-01 23:00:00+00:00,0.0,67.54319507148232,0.3225639578630549,1.417583709556057,0.0,0.4074492099322799,0.0,0.0,0.0,18.063581640331076,0.0,0.0,2.4956264108352144
2026-01-02 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-02 01:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-02 02:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-02 03:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-02 04:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-02 05:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-02 06:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-02 07:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-02 08:00:00+00:00,32.36668771993143,66.22394658485969,0.0,0.6707570152485789,0.0,0.21293873499954885,0.0,5.185058197239015,0.0,12.755030226472977,0.0,0.0,0.5855815212487594
2026-01-02 09:00:00+00:00,188.9094107299912,315.38188614375946,0.0,2.557767650115935,0.0,0.9134884464699767,0.0,10.23107060046374,0.0,50.69860877908371,0.0,0.0,2.557767650115935
2026-01-02 10:00:00+00:00,222.9599800092265,375.8207750269106,0.0,2.8363832077502686,0.0,1.0129940027679532,0.0,0.0,0.0,53.28348454559434,0.0,0.0,2.8363832077502686
2026-01-02 11:00:00+00:00,241.2240425060881,388.6387351486975,0.0,2.9554276437163307,0.0,1.0191129805918384,0.0,0.0,0.0,53.809165375249066,0.0,0.0,2.853516345657147
2026-01-02 12:00:00+00:00,258.49063282227786,458.46675531914894,0.0,3.8968437108886107,0.0,1.23709324155194,0.0,0.0,0.0,65.19481382978724,0.0,0.0,3.463861076345432
2026-01-02 13:00:00+00:00,255.57834847720008,544.2036429412755,0.0,4.895843849907454,0.0,1.5299512030960793,0.0,0.0,0.0,99.06434040047114,0.0,0.0,3.9778731280498065
2026-01-02 14:00:00+00:00,112.59383981605671,397.9437871239701,0.0,3.9900364054416557,0.0,1.2468863767005174,0.0,0.0,0.0,131.54651274190456,0.0,0.0,3.4289375359264223
2026-01-02 15:00:00+00:00,12.315940427323438,233.6464582675508,0.0,2.4948689611619828,0.0,1.3860383117566573,0.0,0.3168087569729502,0.0,123.87222397642354,0.0,0.0,2.2176612988106514
2026-01-02 16:00:00+00:00,0.0,164.1617870529835,0.0,1.9194863742275352,0.0,1.0968493567014486,0.0,1.1577854320737513,0.0,130.7078816735893,0.0,0.0,1.7062101104244756
2026-01-02 17:00:00+00:00,0.0,14.709310626147257,0.0,0.1729553334693045,0.0,0.0945849479910259,0.0,0.12160921884560473,0.0,11.250203956761167,0.0,0.0,0.15133591678564143
2026-01-02 18:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-02 19:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-02 20:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-02 21:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-02 22:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-02 23:00:00+00:00,0.0,61.045969871097995,0.0,0.7454573691567014,0.0,0.23295542786146917,0.0,0.0,0.0,12.369933219444015,0.0,0.0,0.6056841124398199
2026-01-03 00:00:00+00:00,0.0,163.68012167050313,0.0,2.1335087142387374,0.0,0.6667214731996054,0.0,0.0,0.0,34.66951660637948,0.0,0.0,1.600131535679053
