,Solar,Wind Onshore,Wind Offshore,Biomass,Hydro Water Reservoir,Hydro Run-of-river and poundage,Geothermal,Other renewable,Storage,Fossil Brown coal/Lignite,Fossil Hard coal,Fossil Gas,Fossil Oil,Waste,Fossil Coal-derived gas,Other
2026-01-01 00:00:00+00:00,0.03997167380208685,1068.0473709821022,0.0,0.0,80.41251512542568,0.0,0.0,0.0,0.0,0.0,0.0,0.19985836901043427,0.0,0.0,0.0,126.60028384965956
2026-01-01 01:00:00+00:00,0.019376336377404973,780.7984625473107,0.0,0.0,52.1446200135745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.23754110273751
2026-01-01 02:00:00+00:00,0.00878239954081256,536.2901353325678,14.62943623972222,11.886535309098678,23.895450717272897,2.3041688220747307,0.06619595739344546,0.21503679638772108,0.0,6.7720417467268765,12.792584520100107,13.117431108451907,1.1418026131011525,1.7976278711262537,1.7503408684511403,36.082429697984196
2026-01-01 03:00:00+00:00,0.0024999154007784817,435.8761366556858,44.83491806520606,36.97324826093801,5.042286831172485,7.155803934543307,0.2053395437263991,0.6670431155213323,0.0,20.87005834708799,39.4384084162219,39.904115503278675,3.5418662533464036,5.5748734713295205,5.514459215713067,9.173942470828253
2026-01-01 04:00:00+00:00,0.01544576478359,855.2421754189187,38.86742346023004,39.058766197024624,26.324675240058497,7.404275649560831,0.21585289049865958,0.7011956000270393,0.0,21.956847325061148,40.65159298072559,42.30560482146049,3.7232091523644972,5.887552861560006,5.464307678267274,35.03107495945905
2026-01-01 05:00:00+00:00,0.014253083467761198,910.9142560458921,32.54438722445916,48.09214901693427,23.945620368014055,8.788659381427124,0.2622724074566621,0.8519888600623226,0.0,28.77620909523865,49.46691919306773,52.01379728842982,5.366568757541295,7.073089046629467,6.932534687446197,31.332295543933427
2026-01-01 06:00:00+00:00,0.061782358875097435,730.9157296252249,25.536531560485493,50.70709122578976,13.400314021834511,9.199735991037254,0.27022199812478037,0.8778130127323336,0.0,28.69624750810033,50.46601752511683,54.32381533320408,4.6610124806026265,7.271719473715641,7.317790773594105,17.34417711156227
2026-01-01 07:00:00+00:00,6.747157792233011,979.4787538027169,35.57944138014661,50.168511523380516,25.861698377347746,8.96294206321974,0.26306666035905846,0.8545689813624471,0.0,27.29706420629411,48.904463480044946,51.18887322027326,4.537993037387682,7.155808562481326,7.113717820493356,36.63593909225926
2026-01-01 08:00:00+00:00,35.108144503176106,842.5014304257502,41.94044259386625,44.67176981968018,20.45109217505416,8.294787205254634,0.23259182480803772,0.7555718331169107,0.0,26.055596829623138,44.99865023711464,44.826802280191984,4.011936133400185,6.391001473297327,5.893119001610078,33.09206366405598
2026-01-01 09:00:00+00:00,67.92555465177315,589.3457524679063,50.04873124483875,46.73980841969237,7.528099388057835,8.740870800538378,0.24359116663244132,0.7913030668875008,0.0,27.938422015454318,46.66221005303863,47.799106875051834,4.203061306074146,6.702393095060634,6.047523804175063,12.933571644818796
2026-01-01 10:00:00+00:00,87.64911977866308,434.8651973869326,51.63602687647372,45.1813865381211,0.5417868430673318,8.455942853413479,0.2359763520335223,0.7665664303780311,0.0,27.050713644553,42.20846665312593,44.56495496327667,4.070315257780867,6.514226460984405,5.841485497538321,1.9928344636579165
2026-01-01 11:00:00+00:00,91.3209892578232,422.3305881730146,50.807679305794366,43.232337136604265,1.259290829400706,8.233116688096715,0.22926080206526525,0.7447510445445354,0.0,26.16574474948585,40.0678925741844,43.40034936508602,3.95514678942671,6.311282696380392,5.679621579282073,1.936949008810719
2026-01-01 12:00:00+00:00,77.67225733577504,434.9427645721128,59.31542989722128,42.17242375525794,1.0534574051205456,8.03402747553804,0.2232359929160177,0.7293533633743451,0.0,25.325120631158246,38.5702104350331,41.33612745163568,3.855287708239849,6.524400439527435,5.4363220806283685,1.8845814564611976
2026-01-01 13:00:00+00:00,54.034931648565404,521.4387134536454,91.24971029496405,45.976504209075735,1.3548131518417417,8.111757503799598,0.2330750432502165,0.7862059572650673,0.0,26.34476123869419,43.511057888614616,43.98276415522316,4.041582629183549,8.069434832411602,5.8458442311568035,1.9688437623089383
2026-01-01 14:00:00+00:00,18.75998190952037,517.924237927455,50.44638675363192,44.54181027461049,4.7615709705999585,7.916069535202016,0.23554554438745584,0.7772326913659591,2.136637077525577,26.876690563070042,44.2099386111605,44.94492876480855,4.062884331250127,6.549707773087574,5.659572976291662,6.896804296032763
2026-01-01 15:00:00+00:00,0.9387831459390343,417.8074982840246,38.25319833172298,37.136290229406306,3.4467232561444807,6.38593532497953,0.19121258541399233,0.6309466509792968,19.598550598032485,22.46949817000882,38.93480557693493,37.83887080908607,3.298192794249727,5.2785351402516945,4.157184088909621,5.258775013916455
2026-01-01 16:00:00+00:00,0.05311011858896358,575.961994325063,38.004505465124886,37.70930320885804,17.77098633335491,6.264026024239702,0.19078033455482618,0.6295203472065439,30.826691990838682,22.001265253649,40.1502302176642,40.44242779422083,3.2907369739859957,5.264119899347088,4.345958770844685,21.919342942458783
2026-01-01 17:00:00+00:00,0.066503421510175,361.5761483190804,13.217654852956015,12.221565274208277,20.49009722663072,2.031625273938429,0.06184781806272031,0.2040800483533166,10.063340868384737,7.129082142944227,12.51395727183021,13.296361854660535,1.0668922606710063,1.710598964622855,1.3652651779611265,25.984979224185114
2026-01-01 18:00:00+00:00,0.008785458915957674,214.78797222057298,0.0,0.0,16.233433868459816,0.0,0.0,0.0,0.0,0.0,0.0,0.040862599609105474,0.0,0.0,0.0,23.57894585244213
