,Solar,Wind Onshore,Biomass,Hydro Water Reservoir,Hydro Run-of-river and poundage,Geothermal,Storage,Fossil Brown coal/Lignite,Fossil Hard coal,Fossil Gas,Fossil Oil,Waste,Other
2026-01-01 00:00:00+00:00,0.0,213.38122772594753,26.40850765581195,0.4808462894694662,2.464794047875782,0.0,0.0,31.094726719025484,0.0,685.5270250149645,0.0,1.7102652577097261,5.432607289195601
2026-01-01 01:00:00+00:00,0.0,244.9339646942814,28.78999894946948,0.5242005940940067,9.889694295619288,0.0,0.0,33.9856718504281,0.0,696.9647141796123,0.0,1.9779388591238576,5.933816577371573
2026-01-01 02:00:00+00:00,0.0,282.4778954373362,34.991692909110654,0.5711022272986864,3.2909653599739386,0.0,0.0,36.55054254711593,0.0,750.9463931143432,0.0,2.4178521012053427,7.253556303616027
2026-01-01 03:00:00+00:00,0.0,329.12757680808085,45.47021601571023,0.6237006237006237,4.197250709142484,0.0,0.0,39.5010395010395,0.0,869.9010214917918,0.0,3.2353807549639977,9.443814095570588
2026-01-01 04:00:00+00:00,0.0,312.0172039120357,38.07091412742382,6.224489795918368,3.514238227146815,0.0,0.9183673469387754,40.306122448979586,0.0,749.1559494601164,0.0,2.635678670360111,7.907036011080333
2026-01-01 05:00:00+00:00,0.7331378299120235,292.7225358197348,28.939283101682516,10.892333472978635,2.804194099000244,0.0,6.284038542103058,42.20779220779221,0.0,567.3406059216759,0.0,2.0190197512801755,6.057059253840526
2026-01-01 06:00:00+00:00,75.80412406956411,273.2457935418898,34.922204705311664,9.037290715372906,12.908986175115208,0.0,2.28310502283105,39.85920852359209,0.0,602.6094606637378,0.0,2.2420870725200097,7.337739510065486
2026-01-01 07:00:00+00:00,250.22555285815656,219.70517267754337,43.06052696992294,4.631704766173614,6.694630872483221,0.0,0.0,31.301359629463622,0.0,599.1324815078872,0.0,1.3223962217250806,8.926174496644295
2026-01-01 08:00:00+00:00,297.8131469979296,118.7888198757764,0.0,1.6174948240165632,0.0,0.0,0.0,25.87991718426501,0.0,55.900621118012424,0.0,0.0,0.0
2026-01-01 09:00:00+00:00,335.9014882128276,97.5898854207823,0.0,1.646253127880943,0.0,0.0,0.0,27.064401422362703,0.0,37.79797181614645,0.0,0.0,0.0
2026-01-01 10:00:00+00:00,329.14601882473283,76.97700460646317,2.5278154681139755,1.4647563003709863,0.25121147509207215,0.0,0.0,23.72905206600998,0.0,50.265645426691286,0.0,0.06280286877301804,0.5756929637526652
2026-01-01 11:00:00+00:00,356.2005277044855,72.69129287598945,0.0,1.517150395778364,0.0,0.0,0.0,26.2532981530343,0.0,43.337730870712406,0.0,0.0,0.0
2026-01-01 12:00:00+00:00,365.0890237269133,73.51026729222696,11.931859387590654,0.4421518054532056,1.1863416599516519,0.0,0.0,28.15033161385409,0.0,129.7232134745258,0.0,0.7528706688154714,2.4639403706688157
2026-01-01 13:00:00+00:00,285.43385743625515,71.54638819460591,12.65340909090909,0.5115089514066495,1.1590909090909092,0.0,0.0,33.24808184143223,0.0,207.29993630357282,0.0,0.2897727272727273,2.6079545454545454
2026-01-01 14:00:00+00:00,124.30009580779986,83.94094573636244,37.66970029813275,4.150238638721726,3.6501647575710026,0.0,0.6225357958082589,42.228678148993566,0.0,659.9272453984399,0.0,0.8760395418170406,7.884355876353365
2026-01-01 15:00:00+00:00,4.364979386165826,30.67956939990838,61.23442510306917,0.0,5.986257443884562,0.0,0.0,0.0,0.0,971.7691250572607,0.0,1.4965643609711405,13.469079248740266
2026-01-01 16:00:00+00:00,0.0,52.748886414253896,56.189031180400896,0.0,5.504231625835189,0.0,0.0,0.0,0.0,901.0885857461025,0.0,1.8347438752783964,12.384521158129177
2026-01-01 17:00:00+00:00,0.0,67.20949015633501,52.139506769825914,4.3698314108252,19.938829787234045,0.0,4.235669920141969,2.5874001774622895,0.0,862.2020570779821,0.0,3.7318665377176017,11.835348162475823
2026-01-01 18:00:00+00:00,0.0,92.57757059136921,62.35596696856686,0.0,17.97994139584443,0.0,0.0,0.0,0.0,1007.8968566862013,0.0,1.6577250932338838,14.28193926478423
2026-01-01 19:00:00+00:00,0.0,105.74928902464714,56.63076680008427,0.0,5.663076680008427,0.0,0.0,0.0,0.0,914.8758163050348,0.0,1.3868759216347166,12.944175268590689
2026-01-01 20:00:00+00:00,0.0,103.57595198675496,57.739977530747396,0.0,5.340113528855251,0.0,0.0,0.0,0.0,760.4099160359508,0.0,1.2237760170293284,12.460264900662251
2026-01-01 21:00:00+00:00,0.0,116.22176905170397,52.965011651993784,14.817691878832932,4.898498187467633,0.0,3.1061141051849095,20.317041442111133,0.0,837.4735241228921,0.0,1.0205204557224237,11.429829104091144
2026-01-01 22:00:00+00:00,0.0,119.18048971783425,22.271709138126926,15.408952187182097,2.1749715955202076,0.0,5.042929806714141,36.514547304170904,0.0,521.186468421203,0.0,0.47849375101444575,4.741438078234053
2026-01-01 23:00:00+00:00,0.0,107.47956403269754,0.0,0.7788374205267938,0.0,0.0,0.0,42.83605812897366,0.0,338.905540417802,0.0,0.0,0.0
2026-01-02 00:00:00+00:00,0.0,142.44673721085977,9.088425261431206,0.7178750897343863,0.8341193356571663,0.0,0.0,46.06365159128978,0.0,383.5312706580443,0.0,0.19115234775476728,1.876768505228624
2026-01-02 01:00:00+00:00,0.0,187.06920702566703,20.404678433268856,0.7306380905991232,1.8655705996131529,0.0,0.0,46.39551875304433,0.0,399.6204605987747,0.0,0.4663926499032882,4.197533849129594
2026-01-02 02:00:00+00:00,0.0,247.37034847884792,37.534293314827664,0.7376444553725104,3.444829979181124,0.0,0.0,46.594541431030244,0.0,465.95626739278777,0.0,0.861207494795281,7.750867453157529
2026-01-02 03:00:00+00:00,0.0,352.86839603990984,55.31665080875357,0.7269202810758421,5.067174119885824,0.0,0.0,45.79597770777804,0.0,582.3069457428824,0.0,1.266793529971456,11.401141769743102
2026-01-02 04:00:00+00:00,0.0,362.65409065546777,50.61010215664018,6.4650196259524355,4.6538024971623155,0.0,0.0,43.98522281228354,0.0,532.8850728843515,0.0,0.7756337495270527,10.47105561861521
2026-01-02 05:00:00+00:00,0.9349677955537087,346.27298471700567,43.496456413890854,11.739040099729898,4.233433734939759,0.0,3.0126740078952836,41.45023893621442,0.0,507.7312177603976,0.0,0.6640680368532955,8.96491849751949
2026-01-02 06:00:00+00:00,55.19881194452107,311.90330115951167,43.75567115811018,25.37071330589849,14.19102848371141,0.0,2.4307270233196157,30.460048010973935,0.0,445.22560203522266,0.0,0.5912928534879754,9.122804025243049
2026-01-02 07:00:00+00:00,163.51035284205037,335.7449797641633,54.88434084318537,15.757796257796258,14.17755966986393,0.0,2.2511137511137513,28.53831303831304,0.0,343.6060992651445,0.0,0.7518402855230872,11.277604282846308
2026-01-02 08:00:00+00:00,190.36140960296825,148.48560138262295,4.066689466484268,7.379823967501692,0.3854309165526676,0.0,0.0,26.066350710900473,0.0,145.36584306377682,0.0,0.04719562243502052,0.8416552667578661
2026-01-02 09:00:00+00:00,290.69176785551474,394.2250246583063,104.77989871445267,5.612015018773467,13.90348656018699,0.0,0.0,23.097872340425532,0.0,133.5659574468085,0.0,1.6119984417608102,21.76197896377094
2026-01-02 10:00:00+00:00,152.15421195652175,321.07744565217394,120.09578804347827,0.0,12.083559782608697,0.0,0.0,0.0,0.0,0.0,0.0,3.2058423913043477,26.633152173913047
2026-01-02 11:00:00+00:00,169.98735066760366,400.2002810962755,128.01194659170764,0.0,12.514406184118059,0.0,0.0,0.0,0.0,0.0,0.0,2.0857343640196766,29.20028109627547
2026-01-02 12:00:00+00:00,176.24962178517399,451.5158850226929,138.34039334341907,0.0,56.29803328290469,0.0,0.0,0.0,0.0,79.77912254160363,0.0,1.1316187594553706,31.685325264750375
2026-01-02 13:00:00+00:00,131.93955688002072,390.353718579943,127.25531225706143,0.0,13.011790619331434,0.0,0.0,0.0,0.0,310.7215599896346,0.0,1.8216506867064006,29.14641098730241
2026-01-02 14:00:00+00:00,57.497598925897876,359.64110264654204,103.25,9.902514834699069,10.732848232848234,0.0,1.7921729302062728,11.482057078270698,0.0,770.2635556633861,0.0,3.005197505197505,23.18295218295218
2026-01-02 15:00:00+00:00,3.8196066978193146,256.9188084112149,90.86643302180686,0.0,9.649532710280374,0.0,0.0,0.0,0.0,1164.7790109034268,0.0,1.6082554517133956,21.108352803738317
2026-01-02 16:00:00+00:00,0.0,385.40558742942335,82.69537737018219,36.43310234541578,8.762424092204734,0.0,8.22361407249467,19.23827292110874,0.0,1284.8832130444216,0.0,1.4604040153674556,19.898004709381585
2026-01-02 17:00:00+00:00,0.0,368.05249007236307,65.76897238118934,47.973629782833505,7.114083105250062,0.0,13.490692864529473,23.593588417786968,0.0,1091.7294844061546,0.0,1.161482955959194,16.115576013933815
2026-01-02 18:00:00+00:00,0.0,418.7254092733108,63.54169166166766,35.17893315327481,17.456508698260347,0.0,19.51384199864956,26.468602295746116,0.0,1067.4739811254494,0.0,0.5586082783443311,15.08242351529694
2026-01-02 19:00:00+00:00,0.0,414.2775804593,56.00470311581422,20.816381882289125,25.556731334509113,0.0,23.39300244100895,26.579875237320316,0.0,960.1653763234092,0.0,0.0,13.206349206349206
2026-01-02 20:00:00+00:00,0.0,399.7116967405964,51.533730631704415,14.524527267744588,5.3856972586412395,0.0,11.235955056179774,26.44560153466703,0.0,865.757785550991,0.0,0.0,11.405005959475567
2026-01-02 21:00:00+00:00,0.0,362.8410331064602,33.99972299168975,5.345371523453715,3.3373961218836565,0.0,0.0,26.52386882523869,0.0,551.4434661570358,0.0,0.0,7.509141274238227
2026-01-02 22:00:00+00:00,0.0,441.792183019703,44.8672542249682,4.979931618849412,4.654279483917863,0.0,0.0,28.17006094841683,0.0,477.7330470188822,0.0,0.0,10.053243685262583
2026-01-02 23:00:00+00:00,0.0,324.6225057405365,15.368084807638304,0.44576523031203563,1.5400168491996629,0.0,0.0,27.488855869242197,0.0,241.31973359237205,0.0,0.0,3.465037910699242
