,Solar,Wind Onshore,Biomass,Hydro Water Reservoir,Hydro Run-of-river and poundage,Storage,Nuclear,Fossil Brown coal/Lignite,Fossil Hard coal,Fossil Gas,Fossil Oil
2026-01-01 00:00:00+00:00,0.0,207.0698165089658,8.899606238813602,79.33363441805366,104.5220058808489,2.1765341344924574,237.097118384045,128.46951645338137,0.0,592.1067679813993,0.0
2026-01-01 01:00:00+00:00,0.0,96.71115732299974,12.041540530562736,90.43835879477932,139.64302647539688,1.5537471652339012,317.41759796424236,142.372140718126,0.0,486.54743102865916,0.0
2026-01-01 02:00:00+00:00,0.0,42.673166577967,12.099403938265034,95.75442256519425,149.61628525811602,3.7729324108568383,318.747738158595,140.2490047897818,0.0,459.387046301224,0.0
2026-01-01 03:00:00+00:00,0.0,32.09488818745987,13.629336079606249,111.2329686496897,180.25896105285685,1.6853480098437832,358.68602209501387,155.49167290819602,0.0,516.5958030173335,0.0
2026-01-01 04:00:00+00:00,0.0,45.253185679611654,14.744538834951456,140.70054611650485,194.18871359223303,2.58813713592233,384.0638652912621,167.52305825242718,0.0,537.3129550970874,0.0
2026-01-01 05:00:00+00:00,0.0,86.44174812223478,14.460515485132214,127.49354486058235,227.5121102994135,1.606723942792468,393.6473659841547,163.403824981994,0.0,547.0091663236958,0.0
2026-01-01 06:00:00+00:00,14.876439586179972,154.90092719109896,11.219314854577394,95.5811243412063,147.33873706812415,8.182041772398984,304.03723404255317,123.10253757563925,0.0,410.9616435682217,0.0
2026-01-01 07:00:00+00:00,118.20493052442849,83.04219333632152,0.0,2.5029732556402213,0.0,0.0,0.0,16.91525474376214,0.0,49.5346481398476,0.0
2026-01-01 08:00:00+00:00,399.2334142080745,159.24235248447204,0.0,2.168332686335404,0.0,0.0,0.0,34.693322981366464,0.0,74.93757763975155,0.0
2026-01-01 09:00:00+00:00,519.0853648096931,150.81052943500592,0.0,2.544037271170815,0.0,0.0,0.0,41.8239727380482,0.0,58.41109574608191,0.0
2026-01-01 10:00:00+00:00,614.8379685301267,142.55495714468464,0.0,2.7886337469617497,0.0,0.0,0.0,45.17586670078035,0.0,66.59257387744658,0.0
2026-01-01 11:00:00+00:00,535.7790237467018,109.33860817941952,0.0,2.282021767810026,0.0,0.0,0.0,39.48889841688654,0.0,65.18644788918205,0.0
2026-01-01 12:00:00+00:00,173.77313190862196,35.534281503316144,0.0,0.22490051584377305,0.0,0.0,0.0,14.318666175386884,0.0,30.474019896831248,0.0
2026-01-01 13:00:00+00:00,68.68097584729256,380.9366595247371,9.437497078301519,65.68061550447993,140.85328009349433,10.964953252824307,267.5230385664199,107.30379626022594,0.0,348.9691838722244,0.0
2026-01-01 14:00:00+00:00,19.670948396135785,614.9192361641352,15.53915101612553,111.7381726246252,248.26712952931194,29.641155117464884,440.66517274631127,188.89499761220804,0.0,607.4640365436819,0.0
2026-01-01 15:00:00+00:00,0.0,522.3151988537103,12.872824769530245,99.56881037205716,289.18234488717115,47.5085466632387,348.98868035406036,175.17977080015058,0.0,482.78382330008156,0.0
2026-01-01 16:00:00+00:00,0.0,511.2908204011203,12.350131096200005,81.75249823462829,266.1122997553557,42.88985744821632,329.2249621025056,178.31506563090937,0.0,455.61436508106414,0.0
2026-01-01 17:00:00+00:00,0.0,536.062172799865,12.221197640558499,71.35821511237212,276.4714731974099,38.02150377062644,333.0955312476667,257.1355387495829,0.0,463.2843674819182,0.0
2026-01-01 18:00:00+00:00,0.0,623.8244334076662,14.514923243941885,105.25302264869335,333.0500694060764,8.01096856632858,389.04753284991773,161.8057017357456,0.0,534.5933478916301,0.0
2026-01-01 19:00:00+00:00,0.0,660.7052299898809,14.494644875487658,96.040831104602,363.6765788114022,5.623605388850403,388.4248003791884,320.68835108838346,0.0,542.7209583622049,0.0
2026-01-01 20:00:00+00:00,0.0,759.3989449419294,16.071460291393397,78.92074634712178,299.25238631963236,6.374713299938164,440.5734952506559,184.0586234489188,0.0,611.0746298504105,0.0
2026-01-01 21:00:00+00:00,0.0,705.2486469584992,14.925897290126963,54.106377676710245,247.16961436422207,3.325879287473943,397.96984839871135,165.07717926852376,0.0,552.5015567557324,0.0
2026-01-01 22:00:00+00:00,0.0,814.7601476014761,16.707878418990376,98.42127287252254,225.4194088332636,1.8259976414197132,448.00852132232666,176.5739719252863,0.0,618.2828013847148,0.0
2026-01-01 23:00:00+00:00,0.0,690.181223289911,15.145167525773195,77.72300257731959,205.70973164938883,9.48653350515464,408.25380154639174,210.2012692551316,0.0,572.2742706509293,0.0
2026-01-02 00:00:00+00:00,0.0,760.6845839019254,15.91122194754529,69.83736335895554,223.07721217893692,6.966535014871181,422.12041793812045,293.19893088464687,0.0,605.8287347749985,0.0
2026-01-02 01:00:00+00:00,0.0,819.8394311707187,18.145574418323317,69.39717024880035,170.27702155874937,1.930380257268438,473.6187961208113,237.15390882706689,0.0,670.2127173982614,0.0
2026-01-02 02:00:00+00:00,0.0,750.8712858593286,17.571266540642725,71.2400263006493,172.68241783399347,21.39110709295636,468.50344374126735,306.93720544132196,0.0,668.6032471898403,0.0
2026-01-02 03:00:00+00:00,0.0,701.0316057784827,16.395782416140406,78.66391782170098,166.17638009094117,3.8525608955958335,439.5503198556549,245.7107697790034,0.0,625.4686633624807,0.0
2026-01-02 04:00:00+00:00,0.0,661.5861982728302,14.983371107029814,92.71478254073698,194.12157594466805,1.7384021726388181,406.2066410066039,169.45282130436482,0.0,577.6462076511274,0.0
2026-01-02 05:00:00+00:00,0.0,574.3271995748431,14.627626295076698,131.2354268733435,178.23268213014387,9.007973255160227,405.6067223516183,204.82826185997737,0.0,582.0841076598368,0.0
2026-01-02 06:00:00+00:00,6.493880147630148,446.0845590520591,11.508955905205907,105.18799922299924,162.0255244755245,12.601985236985238,315.5639976689977,135.72852466977469,0.0,459.7795736208236,0.0
2026-01-02 07:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-02 08:00:00+00:00,50.13071090047393,36.09990521327014,0.0,1.9733649289099524,0.0,0.0,0.0,6.970142180094785,0.0,38.52587677725118,0.0
2026-01-02 09:00:00+00:00,200.31901752190237,137.06376720901127,0.0,6.113172715894868,0.0,0.0,0.0,25.160531914893618,0.0,145.49351063829786,0.0
2026-01-02 10:00:00+00:00,450.3200907641359,286.740114068441,0.0,10.263344781062186,0.0,0.0,0.0,48.65585673985036,0.0,237.07059364651047,0.0
2026-01-02 11:00:00+00:00,445.5918048749844,312.3440947355196,0.0,8.596626460610631,0.0,0.0,0.0,49.365476190476194,0.0,220.7769977384094,0.0
2026-01-02 12:00:00+00:00,393.940192333026,335.70675800289814,0.0,6.362798050322751,0.0,0.0,0.0,51.1790277960743,0.0,262.81122381767887,0.0
2026-01-02 13:00:00+00:00,226.46816746739876,311.4576321207961,0.0,9.074063143445436,0.0,0.0,0.0,48.181997254632805,0.0,335.8681400137268,0.0
2026-01-02 14:00:00+00:00,3.6373611586959624,275.0248514002455,7.126167968750001,71.45414619904987,108.86107421875,3.0120605132099465,193.27269921875003,81.65007632033237,0.0,285.1365630022164,0.0
2026-01-02 15:00:00+00:00,0.0,188.60094665290575,4.4962854549983975,41.34152194028256,96.99824459945191,12.370861062671267,119.38245489163312,49.84800793622547,0.0,169.88667746183134,0.0
2026-01-02 16:00:00+00:00,0.0,204.7686058465903,4.537402988737884,45.30084596820565,95.55380380046394,15.466201585267843,119.80207568651478,51.936187973241694,0.0,169.8598764009779,0.0
2026-01-02 17:00:00+00:00,0.0,167.23463933327315,3.5991342565683135,35.45243476256061,76.96758231024965,10.739662647941813,94.44359249722307,38.993828897365795,0.0,132.24412554481754,0.0
2026-01-02 18:00:00+00:00,0.0,229.09508332751025,5.305596219691145,50.725991370274606,115.06687251065611,10.077825623646143,137.69285427293687,59.540579798756184,0.0,195.9701968765285,0.0
2026-01-02 19:00:00+00:00,0.0,317.2094471158225,7.556413600313896,76.68360468466695,158.5247615092307,6.636850040487338,196.06694336475846,82.52083423834858,0.0,282.02614569637154,0.0
2026-01-02 20:00:00+00:00,0.0,290.3267958667431,5.836120942268905,47.49277221525048,105.36564295771967,12.50357008927789,154.73607146934583,74.90163435543619,0.0,287.087392103958,0.0
2026-01-02 21:00:00+00:00,0.0,350.31918110055244,3.1903440625898023,26.79002507163226,58.633837489291686,1.4599879608461808,88.48248024436916,63.58803174848666,0.0,335.53611207223184,0.0
2026-01-02 22:00:00+00:00,0.0,303.2079180271295,1.7207886706830449,19.555869314245083,25.039430600109533,0.19554416712307326,47.98653861200218,44.20440915366896,0.0,236.1645014550386,0.0
2026-01-02 23:00:00+00:00,0.0,476.494910846954,0.0,0.8115156017830609,0.0,0.0,0.0,50.04346210995542,0.0,382.90011144130756,0.0
2026-01-03 00:00:00+00:00,0.0,426.19374999999997,0.0,0.7125,0.0,0.0,0.0,43.58125,0.0,267.1875,0.0
2026-01-03 01:00:00+00:00,0.0,525.7173564414778,1.756673289591614,16.73242590544617,17.546066151332706,0.2583343072928844,50.74719132461421,65.6453992733067,0.0,307.72155305693786,0.0
2026-01-03 02:00:00+00:00,0.0,587.8288625584528,2.221275651929074,20.560678100501576,21.603492340475906,0.2538600745061799,62.34803429871778,74.97098190619106,0.0,330.1878148192256,0.0
