,Solar,Wind Onshore,Wind Offshore,Biomass,Hydro Water Reservoir,Hydro Run-of-river and poundage,Geothermal,Other renewable,Storage,Nuclear,Fossil Brown coal/Lignite,Fossil Hard coal,Fossil Gas,Fossil Oil,Waste,Fossil Coal-derived gas,Other
2026-01-01 00:00:00+00:00,0.018805774548147188,538.52055570412,0.0,70.18642792154984,40.40366305914609,18.179121888274388,0.0,60.02368722702678,0.0,833.7124987685418,395.9673191108775,26.99655089350736,73.69479765030367,0.3518235045269365,6.7318712174919195,0.0,63.16287728008526
2026-01-01 01:00:00+00:00,0.01287179121616805,541.7881161449966,0.0,49.334811418110604,36.45714852105823,12.702213530426857,0.0,42.54341705375356,0.0,591.113724456348,277.10119468118114,18.888840232462105,52.15273575749658,0.24944050293688325,4.795451816528201,0.0,49.21003409348506
2026-01-01 02:00:00+00:00,0.010693176652983017,610.0361801842892,0.0,32.53825745080462,30.248650824591074,11.546192205569662,0.0,27.110421432047936,0.0,376.9909828360751,178.98676766035396,11.561200615618583,34.37712827945765,0.15911501135916578,7.4152010460944435,0.0,46.644209277085714
2026-01-01 03:00:00+00:00,0.00904769751717224,471.66174545989463,0.0,40.23444532934935,20.714269492889983,11.556293525711922,0.0,34.14333897409066,0.014196829493371121,472.71339942961504,224.3859672360302,14.792566611810527,43.05996684410072,0.1996098917913212,6.438120047730278,0.0,31.727032629974758
2026-01-01 04:00:00+00:00,0.0036010085634216216,179.21189917076396,0.0,35.51665859276253,7.429022763347165,10.2389576216602,0.0,30.12405172646791,0.0,416.6258117636644,186.84011051619532,12.973491428864648,39.16589446176669,0.17644184385856404,5.493193440328653,0.0,10.725865661756554
2026-01-01 05:00:00+00:00,0.0003735722248892098,11.9576584884925,0.0,0.0,0.6403388771409187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7766290621416924
2026-01-01 06:00:00+00:00,3.803185744297626,32.3495414376196,0.0,56.12802677704628,4.020082784712923,14.528720239488807,0.0,50.03075630016014,0.0,682.3131639243451,300.29177865390557,20.91438165875342,65.52802568448786,0.2908062769042513,5.557201676921109,0.0,2.2443288413573947
2026-01-01 07:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-01 08:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-01 09:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-01 10:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-01 11:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-01 12:00:00+00:00,2.7468539632482254,0.021412001940687726,0.0,3.2332122930438465,0.5383589059372915,4.322165534598823,0.0,1.7404898720359023,0.0,75.48954227060464,0.5444766207774879,0.0,6.3440702892837635,2.05861104372612,0.0,0.0,3.8358072048032015
2026-01-01 13:00:00+00:00,18.694363451733405,169.9455777146853,19.475081924387265,16.253018533129392,0.5044487918127725,3.0092258095410034,0.08678275953363014,0.28524684470242406,0.0,0.0,9.809162953127004,15.14792608918413,16.224558863803193,1.4972731418214025,2.4326256759154505,2.1766315565537004,0.7330758900699487
2026-01-01 14:00:00+00:00,0.08130960771461351,113.93619017233536,0.0,0.898707096351957,2.9911157493417493,1.1241418988429766,0.0,0.0,0.38069085318101104,0.0,0.0,0.0,1.2871248187643602,0.0,2.6038567059658453,0.0,6.446863097502108
2026-01-01 15:00:00+00:00,0.27361060881166294,331.8189841490996,10.430946513205418,12.010425115080253,5.812774234653966,10.268757233995348,0.05214016966134398,0.17204759486981955,6.463242254031711,0.0,6.127020584199406,10.616808324188241,13.05750204165184,0.899356763027267,7.737240577669962,1.1335879552064558,13.575555880647734
2026-01-01 16:00:00+00:00,0.01316050093022488,141.65277098024535,0.0,7.75447557042914,4.545032151647576,5.547649573725518,0.0,5.917185424653929,9.922966229358542,78.28256618490653,45.9624198303879,2.3831368129812063,10.230963352158877,0.033922077672857265,4.475218513358933,0.0,7.553532797543419
2026-01-01 17:00:00+00:00,0.02290428637903812,205.46856466831707,0.0,1.4743613266351177,6.920238585681276,7.141351711761063,0.0,0.0,0.1653867209336878,0.0,0.0,0.0,2.2954830669197297,0.0,7.029695383522271,0.0,12.432014249850733
2026-01-01 18:00:00+00:00,0.003450013318656067,206.10799614857194,0.0,1.4852460160353886,6.374802225980686,5.94756186901204,0.0,0.0,0.20708489128032495,0.0,0.0,0.0,2.3023378697495063,0.0,6.760703104530596,0.0,12.585817861520871
2026-01-01 19:00:00+00:00,0.002769251926518611,123.76243843312231,0.0,8.971858444720985,5.673260417144865,2.633135942274281,0.0,7.269775007798958,6.773336704273828,96.96326466806737,56.92410219011277,2.96065485770086,11.219786524776774,0.04185010574216815,2.925004396236923,0.0,8.803763056101342
2026-01-01 20:00:00+00:00,0.00021912385516042508,209.83803690559412,0.0,243.06656772896847,12.179563438629897,41.0984051640664,0.0,209.6478645517641,7.32571572340512,2825.6903482389007,1611.5534631847208,88.51656508815468,290.3487329303727,1.213952892194078,22.965108832066882,0.0,8.9804561973071
2026-01-01 21:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-01 22:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-01 23:00:00+00:00,7.0526716200018e-05,149.93293793619785,12.515071133395873,14.695993918098756,0.04752697202962479,2.826099684691997,0.08184191541795974,0.2661374736686047,0.0,0.0,9.53880559854607,15.92438731341634,16.567442508208387,1.4171638353231617,2.2505226905777067,2.155858884243097,0.7801396094683891
2026-01-02 00:00:00+00:00,8.234947165382756e-05,157.75233050293917,13.520879272949195,15.323241627815975,0.014677483217063907,3.0554481845710835,0.08578816100062325,0.27897006470074825,0.0,0.0,10.008134580989914,17.28147154499657,16.921478554757712,1.4855133486368026,2.3111397926077824,2.143447568593929,0.8173969627517779
2026-01-02 01:00:00+00:00,7.411977801649353e-05,171.1957671544363,16.565558180746503,16.567865194374143,0.016679082266503296,3.348521060462216,0.09308087625399941,0.30268486663086186,0.0,0.0,10.909119718712173,19.267108597634127,18.06061164262438,1.6117944779947195,2.4702477163028975,2.203767142607116,0.8871201691760301
2026-01-02 02:00:00+00:00,4.4372165711547e-05,122.78170372171593,12.280907969139909,12.07822653590789,0.013900024630799214,2.4075823581220903,0.06779670529377359,0.22046458441001168,0.0,0.0,7.9005304191426,14.136184757306932,13.50791002101456,1.1739721370966836,1.8280755420212391,1.706412981408011,0.6462878706238588
2026-01-02 03:00:00+00:00,4.519305992030584e-05,122.8473252600148,13.250519378418232,12.588969778747455,0.017578491742459436,2.4677250993206625,0.07022131353716045,0.2283490420163087,0.0,0.0,8.334166227271252,13.924789325425753,14.980867939935893,1.2159568103750844,1.894748143787363,1.7595062658760892,0.6692317304715678
2026-01-02 04:00:00+00:00,5.349300136180056e-05,113.5363905589466,12.361027576424677,11.956647348290689,0.04010869098187968,2.2837727457657375,0.06626961678868347,0.21549872462120395,0.0,0.0,7.856126054481343,14.40010672293886,15.702643081611441,1.1475289736997587,1.8022377690292006,1.6245920800981286,0.6319965633204332
2026-01-02 05:00:00+00:00,4.479707016142038e-05,126.55434213657162,8.299558521790898,9.670658848603539,0.11159179495545168,2.6051928297496243,0.04888994381074947,0.15898266880906373,0.0,0.0,6.057040297332218,12.055112158545207,13.736899452822438,0.8467200890900927,4.93641128408295,1.209156470192587,1.8593987065733808
2026-01-02 06:00:00+00:00,0.18450824601047017,597.4971920104997,30.619771292203126,37.025402164287925,36.17299330428706,9.63537247217864,0.1816836714776848,0.5908076941622632,4.961969701930165,0.0,24.882401550280786,49.599601864231005,57.767704850203835,3.1463104525868877,20.152077835981245,4.387774490685293,48.86942839899377
2026-01-02 07:00:00+00:00,3.108348395483653,661.110975697937,31.728517216502024,38.52793555898937,56.27038929054624,9.556756232109835,0.1854584214132638,0.6030826074075765,8.14003531083128,0.0,29.166928494454016,51.127765377180765,62.6967448862594,3.2116797567275333,19.6567923786024,4.667629689140952,69.19096068641467
2026-01-02 08:00:00+00:00,19.56449115877494,651.4270725179523,35.69208943225117,39.468758650209,56.10844779171848,9.829376427124188,0.19101561364019526,0.6211537521555133,34.430607184075534,0.0,31.125477236852497,49.94206913994286,64.88842394432636,3.308194349091302,18.1813008835793,4.799193699058776,65.42232821924766
2026-01-02 09:00:00+00:00,53.38371990271642,854.5329439314786,59.388274025772326,58.05719407238072,53.90539332907389,13.48529223339969,0.2900224064543281,0.9431087990409632,11.18751212277693,0.0,48.07604061453768,62.855210105621175,96.06748002964171,5.026686727696545,22.14490489079782,7.456966446528301,61.024250362082995
2026-01-02 10:00:00+00:00,66.44520903774058,635.1683608890185,58.153903168660264,49.63133493234085,51.59764591130384,9.168579665349151,0.26092547308710373,0.848489992793456,12.098397349167877,0.0,47.257069851073354,49.63509354331869,83.42963429406336,4.5202895934629606,7.686284110429987,6.678171909280141,52.32061027891005
