,Solar,Wind Onshore,Biomass,Hydro Water Reservoir,Hydro Run-of-river and poundage,Other renewable,Storage,Nuclear,Fossil Gas,Waste,Fossil Coal-derived gas,Fossil Oil shale,Fossil Peat,Other
2026-01-01 00:00:00+00:00,0.013488183524127272,468.6515957360042,0.0,3391.586728540269,0.0,0.0,0.0,766.8753399881166,0.06786507433523156,0.0,0.0,0.0,0.0,84.55498247775097
2026-01-01 01:00:00+00:00,0.01316481647825326,405.2911496561692,0.0,1909.027013748955,0.0,0.0,0.0,764.6305827754633,0.078932518499163,0.0,0.0,0.0,0.0,75.40915648443527
2026-01-01 02:00:00+00:00,0.010118218057093818,507.275231200131,0.0,2580.124567212691,0.0,0.0,0.0,768.9845723391302,0.09069551199635915,0.0,0.0,0.0,0.0,79.48981551799437
2026-01-01 03:00:00+00:00,0.012830431771320046,379.58874376149026,0.0,895.7768172504288,0.0,0.0,0.0,761.310132979654,0.09083491519518616,0.0,0.0,0.0,0.0,62.195640661460146
2026-01-01 04:00:00+00:00,0.0019137434832282086,392.0673267219358,0.0,885.0917223368771,0.0,0.0,0.0,720.9691646392694,0.08625322741310236,0.0,0.0,0.0,0.0,59.35861933102169
2026-01-01 05:00:00+00:00,0.013225434814416242,650.1141115347189,0.0,1795.8041946967746,0.0,0.0,0.0,715.8868966345959,0.0428354164029676,0.0,0.0,0.0,0.0,74.01373628269334
2026-01-01 06:00:00+00:00,0.003627693865422374,694.1798351234322,0.0,1799.6353472656551,0.0,0.0,0.0,757.2810944069206,0.09069234663555935,0.0,0.0,0.0,0.0,73.73440316349068
2026-01-01 07:00:00+00:00,0.042810031952421904,1056.8273062574506,0.0,2974.31533762743,0.0,0.0,0.0,776.3119728640004,0.10527057037480797,0.0,0.0,0.0,0.0,88.22230264879101
2026-01-01 08:00:00+00:00,0.1857226760508276,645.6132302780494,0.0,1406.0198210612043,0.0,0.0,0.0,789.1383350990156,0.10982287020088359,0.0,0.0,0.0,0.0,72.33306801547921
2026-01-01 09:00:00+00:00,0.59913594821499,890.8797012352023,0.0,2306.544066243502,0.0,0.0,0.0,790.9235040066715,0.16013090721206558,0.0,0.0,0.0,0.0,82.74346165919742
