,Solar,Wind Onshore,Biomass,Hydro Water Reservoir,Hydro Run-of-river and poundage,Storage,Nuclear,Fossil Brown coal/Lignite,Fossil Hard coal,Fossil Gas,Fossil Oil,Waste
2026-01-01 00:00:00+00:00,0.06906151118193965,162.4145853822885,0.16647001220020652,0.569029276322353,16.311144754732005,0.0,25.08400783288993,176.8583332387232,0.7058956627052299,284.7773055181558,0.0,0.044166810800867325
2026-01-01 01:00:00+00:00,0.09657788385641314,178.45438379835576,0.1541805906757562,0.6011578194912395,16.850931736420932,0.0,24.954409343322272,177.26054989615267,0.7024218442937366,258.88127534635385,0.0,0.0441117410774406
2026-01-01 02:00:00+00:00,0.06242104638958755,203.3247366558693,0.1518503977575159,0.6494927629405602,17.0987355466774,0.0,24.54907160229337,176.6503962291886,0.6917730920490722,237.77282770290978,0.0,0.04869496392487151
2026-01-01 03:00:00+00:00,0.19487118589800562,207.63141182361218,0.158300700094913,0.6557364081518174,18.330996520663557,0.0,24.66910682414136,168.24500833937068,0.696869959987294,200.369896459442,0.0,0.047801778638183225
2026-01-01 04:00:00+00:00,0.22131072116095324,184.3545696152436,0.15904854984055677,5.581261635143979,21.43071049788498,0.7218367346938775,24.81216488316771,150.7571239280565,0.698448807513722,183.21479982541095,0.0,0.0487248018831679
2026-01-01 05:00:00+00:00,0.7818814336281281,171.99857289063647,0.09320801898768792,8.662988649530135,29.987042073951635,4.423963133640553,14.374561100117624,171.84145670934333,0.40464326662129957,147.4034803609135,0.0,0.028202362629669398
2026-01-01 06:00:00+00:00,48.82346582295888,142.1284466911198,0.0673833586218609,7.065996535157741,21.701958146564866,1.465753424657534,10.295843677126701,129.8722334857784,0.28835083922215127,107.27056151270273,0.0,0.020006506089345934
2026-01-01 07:00:00+00:00,143.17487824925223,101.23119926039467,0.004131820297420724,3.224433030527258,6.097715143313959,0.0,0.6456243602877899,55.26881900658629,0.018174227694066153,60.3337645453738,0.0,0.0012603562724916339
2026-01-01 08:00:00+00:00,185.2397774327122,74.02313932302782,0.0,1.0060817805383024,0.9537926643519163,0.0,0.0,20.906013171387084,0.0,34.871195627982665,0.0,0.0
2026-01-01 09:00:00+00:00,214.305149479784,62.26234689845911,0.0,1.0503094955880417,0.0,0.0,0.0,17.267088107467405,0.0,24.115106018701436,0.0,0.0
2026-01-01 10:00:00+00:00,208.71843418191122,48.392989637968526,0.0,0.9466547268773187,0.0,0.0,0.0,15.335806575412564,0.0,22.606114877830368,0.0,0.0
2026-01-01 11:00:00+00:00,219.4195250659631,44.7778364116095,0.0,0.9345646437994723,0.0,0.0,0.0,16.17203166226913,0.0,26.69604221635884,0.0,0.0
2026-01-01 12:00:00+00:00,257.5935151068533,53.1369868355465,0.0,0.333382461311717,1.3045244188163643,0.0,0.0,33.1261341520603,0.0,45.50545702541176,0.0,0.0
2026-01-01 13:00:00+00:00,238.24733183340447,62.540061737420174,0.005756826881531613,0.4604132989348368,4.324210792195524,0.0,0.8269889481171472,64.09001940606544,0.023269469428278622,117.48036669662939,0.0,0.0015809909232648005
2026-01-01 14:00:00+00:00,90.03421421899388,71.5616873841353,0.06768665403130815,5.581818905809528,17.720583117434952,0.5515667150861174,9.812490150553,109.9444741132414,0.27535380244316665,251.4313253387887,0.0,0.018799599482648633
2026-01-01 15:00:00+00:00,3.5001193764757446,69.7328707304074,0.08015185224450447,30.877531287649262,23.06945466832954,17.28054298642534,11.801410851334632,134.2502666172188,0.3336880055299345,271.05151947170435,0.0,0.022444152680411018
2026-01-01 16:00:00+00:00,2.8202840635909374,56.52139061730227,0.078262284580004,49.17586578984141,25.645148159497573,27.87850291517773,11.794985997821483,129.15246481616742,0.3331726133450901,264.57810852179847,0.0,0.021814220877612128
2026-01-01 17:00:00+00:00,2.470563662938431,52.333259458961805,0.08675017615141535,54.954157172841285,25.294682349908637,46.357054125998225,13.12921315481529,131.9672717535594,0.37249451399892936,240.00884849455153,0.0,0.025705136275047443
2026-01-01 18:00:00+00:00,1.3429940785558019,51.538156897184706,0.10080722972363072,49.78161848806199,24.492283694045703,43.588812204867416,15.661512816559618,142.29183667508835,0.4414183656280773,240.7295301453894,0.0,0.031029404895294578
2026-01-01 19:00:00+00:00,0.30764894270340637,50.883643720401516,0.10491678184077674,37.57086679502021,20.342897404631902,52.53733031674208,16.196782659178222,130.05981813638755,0.45761422042666705,264.5060081575118,0.0,0.0324728651558421
2026-01-01 20:00:00+00:00,0.23678599314146542,58.86281467857347,0.10346787013461035,33.40478548714387,16.328426890323115,21.12878497508624,15.89359595976284,141.7616391685401,0.4481141972310836,319.80024528898383,0.0,0.031339491079375205
