,Solar,Wind Onshore,Wind Offshore,Biomass,Hydro Water Reservoir,Hydro Run-of-river and poundage,Geothermal,Other renewable,Storage,Nuclear,Fossil Brown coal/Lignite,Fossil Hard coal,Fossil Gas,Fossil Oil,Waste,Other
2026-01-01 00:00:00+00:00,0.0,0.5047356841899077,0.0,0.0,65.25671579148629,127.38033604468872,0.0,0.0,40.53775300614129,367.3204594734938,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-01 01:00:00+00:00,0.0,0.4840893220154871,0.0,0.0,64.66566316475537,123.0995794602815,0.0,0.0,38.82649245045856,354.9241756024892,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-01 02:00:00+00:00,0.0,1.069707972182932,0.0,0.0,83.86993154259694,163.9898776291167,0.0,0.0,52.752239830962736,472.3182430251407,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-01 03:00:00+00:00,0.0,1.3513217345654305,0.0,0.0,65.25869969298752,141.46454884623046,0.0,0.0,45.69247151486172,406.4829582113548,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-01 04:00:00+00:00,0.0,1.9164656076361077,0.0,0.0,88.39960660637009,159.65114609171584,0.0,0.0,50.45684305217922,457.0759386420988,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-01 05:00:00+00:00,0.0,2.0438289195347217,0.0,0.0,72.99193496507044,189.3911709947277,0.0,0.0,54.9605751121955,539.8624900084716,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-01 06:00:00+00:00,0.0,2.216184201446378,0.0,0.0,104.71646239469172,243.46365562165602,0.0,0.0,75.10402016012725,690.4996776220786,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-01 07:00:00+00:00,14.995639929182353,1.7364957471042024,0.0,0.0,93.65856600304481,186.1256319762226,0.0,0.0,57.63830114426642,524.5953652001796,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-01 08:00:00+00:00,112.39286649458674,2.4640915900319107,0.0,0.0,107.52608045432272,201.19594698715198,0.0,0.0,57.67693454342136,562.7440799304853,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-01 09:00:00+00:00,205.60907100364395,75.71382104695944,0.0,20.228144395008062,54.0268734560471,265.9353966490379,0.005779469827145159,0.0,12.45473660129869,366.2528098667017,0.0,0.0,59.480376971035604,0.0,8.0270414265905,1.7659491138499102
2026-01-01 10:00:00+00:00,260.4177359250338,2.7587210923341443,0.0,0.0,36.91817932388339,181.59890435977638,0.0,0.0,8.159526171995656,498.1469331269766,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-01 11:00:00+00:00,322.76823608024864,79.77947842624634,0.0,19.32404905005849,32.15945110092811,280.1511445017744,0.005521156871445282,0.0,6.636745023441056,431.2083427738599,0.0,0.0,57.61173829884501,0.0,7.668273432562893,1.6870201551638366
2026-01-01 12:00:00+00:00,295.61286752153865,14.878797041888138,0.0,0.0,33.263275037975376,144.73443472934073,144.60390713476784,0.0,5.066737761957868,344.7863992323276,0.0,0.0,115.28744337485844,0.0,0.0,17.266138165345414
2026-01-01 13:00:00+00:00,185.54319605566178,12.215655390336153,0.0,0.0,34.126593731685425,155.78233194593815,105.51129431162408,0.0,5.927184530940898,380.2566047098234,0.0,0.0,85.57456718878812,0.0,0.0,12.312572135201979
2026-01-01 14:00:00+00:00,89.25095362207841,5.511027659912345,0.0,0.0,64.00437974270118,174.3815382456314,0.0,0.0,7.641282814705039,451.71081791497164,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-01 15:00:00+00:00,19.615954086136405,9.390862232390536,0.0,0.0,117.84328144953662,247.148226475659,0.0,0.0,14.935484138489155,629.3161916177884,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-01 16:00:00+00:00,0.0,10.645514778360814,0.0,0.0,169.25063337808822,255.75361391612256,0.0,0.0,78.5416985145626,639.8085394128657,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-01 17:00:00+00:00,0.0,11.454755524389043,0.0,0.0,163.79493246333143,267.91622870320975,0.0,0.0,96.23607703952446,658.5980062695453,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-01 18:00:00+00:00,0.0,11.826918768255343,0.0,0.0,167.99193764943897,280.00955474510437,0.0,0.0,61.87742137810498,676.2941674590965,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-01 19:00:00+00:00,0.0,12.057966094585732,0.0,0.0,145.39579539626305,283.6865554650883,0.0,0.0,63.595214756892396,672.7644682871704,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-01 20:00:00+00:00,0.0,11.833809339848234,0.0,0.0,96.0705310350496,280.5446097062264,0.0,0.0,35.68476872762685,653.3662811912488,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-01 21:00:00+00:00,0.0,6.704913170937728,0.0,0.0,55.40826118281306,163.0102294324435,0.0,0.0,14.516850303715387,372.8597459100902,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-01 22:00:00+00:00,0.0,3.1168440941534694,0.0,0.0,30.929438304271994,77.8007113746422,0.0,0.0,7.254800201985256,174.8982060249471,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-01 23:00:00+00:00,0.0,10.522279189653428,0.0,0.0,89.64554258819392,207.05524862701768,0.0,0.0,6.438596380780674,598.8383332143544,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-02 00:00:00+00:00,0.0,13.77394149745014,0.0,0.0,28.191065176201928,79.61472743215742,97.40520855166632,0.0,2.411237754151222,209.7547837468303,0.0,0.0,64.27693355690631,0.0,0.0,12.322102284636344
2026-01-02 01:00:00+00:00,0.0,31.510388247639035,34.480582542265445,12.619608657153863,18.627654121144424,169.47004769081528,283.12318992654775,0.0,0.0,2731.9950565934146,0.0,0.0,258.0102016681545,2.991780321918858,16.443211112373323,35.97827911857293
2026-01-02 02:00:00+00:00,0.0,43.602687946241076,32.312297773119354,14.910991056116766,14.893312972688996,165.45688097150725,397.3790424191516,0.0,0.0,2694.488078172427,0.0,0.0,350.2299334789772,3.792556157664199,20.059901538456558,50.37431751364972
2026-01-02 03:00:00+00:00,0.0,58.714107625181796,34.25966590547907,15.320743972262791,11.218709249877085,174.20719109445588,461.8459380843549,0.0,0.0,2763.85264363188,0.0,0.0,396.53342228388857,3.917312106671257,20.683663095606306,57.94660295034282
2026-01-02 04:00:00+00:00,0.0,71.72505593731712,38.38933922227713,14.882390632320648,47.57502880809592,260.7769595745416,485.53911806543385,0.0,2.8870633019673138,2978.8714664417266,0.0,0.0,409.3454697416158,3.80064806196887,20.321613840047007,59.88584637268848
2026-01-02 05:00:00+00:00,0.0,20.416896218019065,33.36332312941932,14.307446678400018,172.719438541399,411.3246191824154,70.49761620977354,0.0,23.273919074053683,3502.237340226242,0.0,0.0,131.68525075816717,3.6722568608321113,19.535862132006084,8.966030989272944
2026-01-02 06:00:00+00:00,0.0,14.156004009989381,30.23313891619814,12.795001563188267,265.7971170520017,464.0669434455649,0.0,0.0,160.44128865398417,3474.4153904602936,0.0,0.0,87.42351393823893,3.2655264365879098,17.406075523952726,0.0
2026-01-02 07:00:00+00:00,25.701237613624084,74.59157051693437,31.498829219751062,12.050508823203778,367.01108312236914,458.483504812217,0.0,0.0,142.87384966941448,3331.3311170485817,0.0,0.0,99.28751690503472,3.0724781937676666,16.098304075101897,0.0
2026-01-02 08:00:00+00:00,162.05509813271317,244.16719047410263,25.328810108628886,10.815565146154599,354.63413443099364,428.54735636629107,0.0003702197940069642,0.0,96.38326431162247,2741.9175423711467,0.0,0.0,92.91857572789054,2.4061743955001993,13.212795600326354,0.1131227148354613
2026-01-02 09:00:00+00:00,345.0958014068726,173.72058920555963,16.589178981044462,13.227853149761318,182.4418791985791,349.72593002442915,147.15929073120932,0.0,30.66980585305613,1801.1231980051846,30.543076209225955,0.0,217.45953609286002,1.4424412821173869,9.53269187939947,18.468727980700574
2026-01-02 10:00:00+00:00,722.7752809753707,257.80132691892135,15.7749874671963,12.965795088319128,165.49227633889626,362.21309939576395,396.2995644727454,0.0,30.008753487762384,1788.7922018246272,0.0,0.0,401.4934951923676,1.674073728044548,11.385735454101559,50.27340965588371
2026-01-02 11:00:00+00:00,661.651180412325,290.6575633547718,23.815782132712236,13.460161195008414,136.09752272668862,291.5616301102053,284.62690427818995,0.0,26.436510944789887,2101.3091479490104,0.0,0.0,292.6737153392055,2.339216993154307,14.511193541637898,36.08447102230116
2026-01-02 12:00:00+00:00,741.702705149946,309.6388824968283,33.52516163568831,10.127846738681148,122.39366327135538,275.9940275979961,433.0728168089297,0.0,16.468640184033404,2270.6002188776356,0.0,0.0,390.88146360155633,2.6659047678050944,14.457624877424053,54.72104399212081
2026-01-02 13:00:00+00:00,451.5529751553735,282.99197209753083,31.791350437284184,10.456761751734522,206.5257686049812,308.32019327098783,203.85734076910558,0.0,16.256878159924284,2561.343622594099,0.0,0.0,265.26350287507563,2.7529431945541805,14.953233927435864,24.683457161914042
2026-01-02 14:00:00+00:00,238.51974723005208,254.80507983869663,39.62044627738291,12.342170908551726,257.1276718191796,379.0614761658319,25.23164228337788,0.0,32.95369139617774,2990.9206200861795,0.0,6.339635548129068,156.5441597497959,3.0222860056536107,16.783291405288345,3.2030812857036985
2026-01-02 15:00:00+00:00,64.3744521226036,218.2601516205234,35.82530507176117,11.023479087272896,398.5750561513971,468.4361186079939,0.0,0.0,225.61436924074272,3202.2613001041364,0.0,14.121545207075748,194.64691481409244,2.9641196374664416,16.1971883349344,0.0
2026-01-02 16:00:00+00:00,11.073588370934104,217.8579154383455,40.57332188033736,10.40869852566279,484.06001552027874,553.8684958055378,0.0,0.0,527.0522685789192,3361.6631208241283,0.0,21.756526152516507,243.43971943246373,2.966741243644873,16.15458822723078,0.0
2026-01-02 17:00:00+00:00,9.031177000615575,217.93320995354728,41.951836004673694,10.826579872368084,468.66826103659525,537.6043571506959,0.0,0.0,556.2741465113052,3239.817435649046,0.0,21.74979675120227,242.40819094121574,2.9438804701968455,15.991128658539216,0.0
2026-01-02 18:00:00+00:00,8.985298646768577,220.27119044947028,43.340429289391736,11.470826149569916,502.23363483784516,564.709630763273,0.00034793604710979255,0.0,581.2619707283316,3294.541769897209,0.0,22.58835087390808,253.53871576456805,2.9661235840755715,16.785397287369353,0.10631379217243661
2026-01-02 19:00:00+00:00,0.0,191.64015153731665,33.399869955484334,11.592011108311924,381.5137834949669,525.3834432155105,0.0006094596260084864,0.0,371.2761415435423,3045.506918933138,0.0,21.881481691456997,242.26866035792673,2.7648081559602704,16.085896772145723,0.1862237746137042
2026-01-02 20:00:00+00:00,0.0,155.62404084666994,22.065101035012088,10.131182980577567,353.12751870084116,510.47953513522634,0.00012591286829513975,0.0,200.04821954460564,3058.547830020337,0.0,22.792656460053728,223.08212559226746,2.8404200812457048,15.847770313870603,0.03847337642351492
2026-01-02 21:00:00+00:00,0.0,121.17770952445429,13.16337374437966,9.243375101621085,227.94818557754837,357.29077787236736,0.0,0.0,118.78749501577514,2596.9311806471596,0.0,20.968404584207622,203.31658865366808,2.7107183144334446,14.812190964384538,0.0
2026-01-02 22:00:00+00:00,0.004386165826843793,205.631099316644,8.561862665962279,25.638533616768342,160.8256157479392,424.4436969169915,376.0461167985806,0.0,39.58414102611604,2015.2341641683788,38.321930829134224,14.016507857128369,599.1949684119056,1.9390770698236781,16.86096465632364,52.34693475247702
2026-01-02 23:00:00+00:00,0.005992672926219765,268.749207593738,13.218776237670202,32.04267395160835,126.47195355751634,376.27587262145653,487.7993813005595,0.0,10.583301377826473,2333.3790440975235,52.02039611487171,17.804587741586428,585.9602217054585,2.5154418087728607,20.998259057183823,68.12489016130063
2026-01-03 00:00:00+00:00,0.004830448819088768,302.2191834603482,16.462281233775194,27.78017737915923,88.48396955499204,265.006814815603,649.6693619180913,0.0,0.0,2176.9852208218176,41.88482171031871,19.303502239126242,661.3139952206327,2.690399643654599,20.348890094790814,89.84655145887054
2026-01-03 01:00:00+00:00,0.0035735412091696585,303.35699512194225,14.239123953161002,20.199750053352776,64.6774216235528,211.58072542561592,743.4033858796967,0.0,0.0,1673.3879921477376,30.939719788990903,14.219753732167517,693.8569837060287,2.0910898570967107,15.259979608985056,102.78350556046301
2026-01-03 02:00:00+00:00,0.004524116459514021,292.3758822698408,10.369159613516226,16.58007226290532,36.5891779728453,198.50816317833886,940.2840632988984,0.0,0.18040975813910193,1090.4914020706497,39.11098679249872,8.54599157726387,938.7125591822676,1.2858286481288264,10.259838996381463,129.45194026186633
2026-01-03 03:00:00+00:00,0.004523896388179497,277.2979939470174,9.145594984191945,16.522206673258438,55.968629277917834,247.89856909938675,862.8079974722797,0.0,1.4606225857191655,1253.1492019685302,39.211625927277154,9.258618818185518,769.3618739693683,1.276797714087766,10.27302946482977,116.61271420156183
2026-01-03 04:00:00+00:00,0.009055648420130154,263.804340436728,10.305639458743183,16.063660777234894,57.33186822983843,226.91542067512873,786.2431787890572,0.0,1.9466783172463196,1215.1203624361358,39.079650757071676,9.579042116399878,737.9121142932802,1.2578237172198092,9.965891787504992,105.96527255999074
2026-01-03 05:00:00+00:00,0.007439761927618317,234.43731111831886,12.315972614400142,15.445006135768118,157.84972047857394,392.7612833162736,451.6078356407645,0.0,13.05214310031518,1754.250010568783,38.654027071133726,8.961171596173582,527.3381128724307,1.2436861958105963,9.654812372642475,60.17146715668406
2026-01-03 06:00:00+00:00,0.13834916115254567,212.14766551247664,19.53632335350819,15.074497656422116,241.58343237444396,463.68788578901103,37.58228987644301,0.0,17.753306020060165,2551.996388602485,38.398963607969335,13.282874373124576,169.62603462035202,1.9059844226158371,12.177829403572593,5.358175226363641
2026-01-03 07:00:00+00:00,41.691153823172336,272.2026843032121,28.831359116926954,19.78422839864671,287.72530113674566,525.0105953675211,0.0017538307173292017,0.0,69.64933458106441,3016.2476001948717,49.454281183932345,18.193259659765914,223.26141279995116,2.4805268490250114,15.930616035263219,0.5358927191839228
