,Solar,Wind Onshore,Biomass,Hydro Water Reservoir,Hydro Run-of-river and poundage,Other renewable,Storage,Nuclear,Fossil Gas,Waste,Other
2026-02-05 20:00:00+00:00,0.0,17.83267517388549,0.0,404.89151555020834,1.5146579546977164,0.17449791621144378,0.0,0.0,1.0095393018977605,0.0,4.002114103099253
2026-02-05 21:00:00+00:00,0.0,21.481576656995696,0.0,486.243252927958,5.604901752939013,0.8700458198891564,0.0,0.0,3.7807706695432186,0.0,4.169452172674889
2026-02-05 22:00:00+00:00,0.0,14.329021603668949,0.0,290.2386341570071,3.3008624840679492,0.5281152250977822,0.0,0.0,2.2435113146037144,0.0,2.6348552155545213
2026-02-05 23:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-02-06 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-02-06 01:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-02-06 02:00:00+00:00,0.0,5.099432759414823,0.0,74.75403057486895,0.0,0.0,0.0,0.0,0.0,0.0,1.0965366657162283
2026-02-06 03:00:00+00:00,0.0,1.394101538871142,0.0,19.423373392519462,0.0,0.0,0.0,0.0,0.0,0.0,0.2825250686093963
2026-02-06 04:00:00+00:00,0.0,2.024281070534455,0.0,37.61673679632662,1.3037703399627087,0.20460782752309853,0.0,0.0,0.9988328574077298,0.0,0.20177110824539274
2026-02-06 05:00:00+00:00,0.0,29.924329796918276,0.0,491.0261756338117,5.676724892527999,1.0238734400245744,0.0,0.0,4.292920763447421,0.0,4.355975473270072
2026-02-06 06:00:00+00:00,3.194897672235553e-05,43.259162975581226,0.0,641.181677178175,11.101598478343977,1.6060390581776183,0.0,0.0,7.343728099697278,0.0,4.93276226104808
2026-02-06 07:00:00+00:00,0.0006905996481018517,51.622941135312324,0.0,723.5068809497006,12.400382258832678,1.6342626982989301,0.0,0.0,8.02310231243153,0.0,5.611740045775846
2026-02-06 08:00:00+00:00,0.009767261196116584,58.18488306060526,0.0,657.2223928218826,0.0,0.0,0.0,0.0,0.0,0.0,6.732956856315867
2026-02-06 09:00:00+00:00,0.04326117017289112,62.90944158423046,0.0,657.0446818336609,4.303993026121026,0.652790935081009,0.0,0.0,2.8597570468755302,0.0,6.086074403858214
2026-02-06 10:00:00+00:00,0.08273810338564877,87.43656399654488,0.0,778.3804022009112,10.259812182548389,1.6568221094025408,0.0,0.0,6.808629409523149,0.0,6.4750319976841775
2026-02-06 11:00:00+00:00,0.0934980818822899,119.64376854392995,0.0,899.4602525460726,8.10791714242522,1.239077904327268,0.0,0.0,5.415282289124965,0.0,8.015203492237726
2026-02-06 12:00:00+00:00,0.05200813383486381,137.67116058582633,0.0,955.7580302663941,10.914540498002482,1.8043328730396644,0.0,0.0,7.19373147067328,0.0,8.281196172229262
2026-02-06 13:00:00+00:00,0.014935074856301304,167.87169482267075,0.0,973.7817370099046,14.150663392728157,2.2379206165012238,0.0,0.0,9.312580767982054,0.0,8.205468315356656
2026-02-06 14:00:00+00:00,0.004695559943878668,209.0249444355938,0.0,992.8401661798521,13.050376463361498,2.1292098336087486,0.0003196368002925696,0.0,8.620699508583982,4.359777710753507e-05,8.62954478447873
2026-02-06 15:00:00+00:00,0.0,257.3958382408864,0.0,1034.2360859810838,11.07724386981486,1.8354686499826096,0.010310798163801512,0.0,7.519703115993833,0.0014020362359686846,9.373947307838682
