,Solar,Wind Onshore,Biomass,Hydro Run-of-river and poundage,Other renewable,Storage,Fossil Gas,Waste,Fossil Coal-derived gas,Fossil Oil shale,Fossil Peat,Other
2026-01-01 00:00:00+00:00,0.0,520.0534736831362,9.555862349575111,37.874912986467834,0.0,0.20187820975960707,13.73961621590615,47.8811816457068,0.0,0.0,0.0,17.493074909448236
2026-01-01 01:00:00+00:00,0.0,605.4567495698653,9.908236350464785,32.7171301636908,0.0,0.0,14.288298512514451,49.74635749639987,0.0,0.0,0.0,15.158227907064784
2026-01-01 02:00:00+00:00,0.0,671.3991096285814,10.036350537763463,32.78500817319299,0.0,0.0,14.103733750885047,42.35777005944077,0.0,0.0,0.0,15.31802785013629
2026-01-01 03:00:00+00:00,0.0,663.449931321068,9.514238957777854,11.681081675221764,0.0,0.15565640907397668,13.22857819686242,28.411179711769908,0.0,0.0,0.0,15.559333728226163
2026-01-01 04:00:00+00:00,0.0,638.9638047498102,10.102940925283344,11.991388960640732,0.0,0.0,14.036390377732815,30.781478660447004,0.0,0.0,0.0,18.17399632608587
2026-01-01 05:00:00+00:00,0.0,649.27667229041,10.149001420891786,12.535821055523943,0.0,0.0,14.45142961306161,28.69052512338746,0.0,0.0,0.0,20.14655049672517
2026-01-01 06:00:00+00:00,1.155439483717337,671.5368428138636,10.795297062230397,13.35350302941102,0.0,0.0,15.428430595002919,33.89480744862646,0.0,0.0,0.0,23.960679567148198
2026-01-01 07:00:00+00:00,11.830302380851284,638.5561257059366,11.90204135929595,14.114033268414406,0.0,0.0,16.154557876595213,33.163271073040995,0.0,0.0,0.0,20.50466833586563
2026-01-01 08:00:00+00:00,26.364375276428582,638.5992037610087,10.924788102399107,12.935230469328102,0.0,0.0,15.36153171987338,31.375391042521407,0.0,0.0,0.0,19.48947962844088
2026-01-01 09:00:00+00:00,35.8174177413488,644.9612472466431,10.94333630206631,13.351287290724576,0.0,2.2681568066219993,15.501788987147357,30.50459999198001,0.0,0.0,0.0,21.802165633467993
2026-01-01 10:00:00+00:00,34.58117452167614,685.9061756061774,11.042454642379127,13.475083190486172,0.0,0.34920556395092756,15.513716094532802,30.71366417149004,0.0,0.0,0.0,21.143526209307325
2026-01-01 11:00:00+00:00,21.621762691185584,700.8849990521455,9.490494435525152,11.809714976827726,0.0,0.0,13.3938684786118,26.52304926207238,0.0,0.0,0.0,19.201111103631767
2026-01-01 12:00:00+00:00,8.497820264923888,606.9052269831498,8.508284336231352,10.277241210377792,0.0,0.0,12.112306073258843,23.773451207722346,0.0,0.0,0.0,15.925669924336052
2026-01-01 13:00:00+00:00,1.6755719836145764,708.9179026182952,9.797820075431966,11.838280264042849,0.0,0.0,13.034336564736972,27.67071893672124,0.0,0.0,0.0,17.06536955715713
2026-01-01 14:00:00+00:00,0.15989451469188903,715.2840977620365,9.810708512086972,12.271660633970676,0.0,4.155800047576272,13.969967283122438,28.424922038747884,0.0,0.0,0.0,22.92294920776739
2026-01-01 15:00:00+00:00,1.3169137772308446e-05,680.6978900413881,8.771375911885023,39.700500678180454,0.0,5.2099986379338485,12.72719425973968,29.32056067939015,0.0,0.0,0.0,24.572466622344965
2026-01-01 16:00:00+00:00,0.0,662.2034919874485,8.356176599181065,34.44624666692179,0.0,34.60470610503128,12.701457064029292,29.703717245438778,0.0,0.0,0.0,17.98420433194933
2026-01-01 17:00:00+00:00,0.0,692.4482113691312,8.422269739980672,40.79487798407894,0.0,0.9447694740430185,12.98229418016916,40.1570426735522,0.0,0.0,0.0,20.85053457904482
2026-01-01 18:00:00+00:00,0.0,705.1053717845275,8.600860371469258,34.44153267119651,0.0,1.1992008163720456,13.239606095285847,39.150324449441854,0.0,0.0,0.0,19.26310381170694
