,Solar,Wind Onshore,Wind Offshore,Biomass,Hydro Water Reservoir,Hydro Run-of-river and poundage,Other renewable,Storage,Nuclear,Fossil Hard coal,Fossil Gas,Fossil Oil,Waste,Fossil Peat,Other
2026-01-01 00:00:00+00:00,0.017411045552088122,1633.03019823291,0.0,0.0,2987.102811418338,706.5260876700032,0.0,0.0,0.0,0.0,0.24553390066976252,0.0,10.160287887353578,0.0,60.24266984517432
2026-01-01 01:00:00+00:00,0.02223375007686316,2192.9247591571348,0.0,0.0,3388.2303358708864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.1976712219026
2026-01-01 02:00:00+00:00,0.00823171258336017,836.1066004367507,0.0,0.0,1489.7140666648256,1148.4420286070006,0.0,0.0,0.0,0.0,0.3998472545051203,0.0,17.153983514618627,0.0,27.300241809716354
2026-01-01 03:00:00+00:00,0.021983945757821404,1772.7412972282916,0.0,0.0,2034.086685979094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.00003284685636
2026-01-01 04:00:00+00:00,0.009028761316047327,1151.7726065053253,0.0,0.0,1412.0303274541711,401.37590797109726,0.0,0.0,0.0,0.0,0.14031327286564124,0.0,5.543908718931812,0.0,40.77790731629284
2026-01-01 05:00:00+00:00,0.009379815590908261,1358.0592588422796,0.0,0.0,1398.6238959647,130.41157281586987,0.0,0.0,0.0,0.0,0.04531844674270559,0.0,1.9775313343237262,0.0,46.54804278049288
2026-01-01 06:00:00+00:00,0.009871728538590656,1793.937313639765,0.0,0.0,1785.22266782388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.755146807816374
2026-01-01 07:00:00+00:00,0.0062341093722225495,1200.5621764149519,0.0,0.0,1488.250441255152,610.1393053587265,0.0,0.0,0.0,0.0,0.20923419030585583,0.0,10.015355384591361,0.0,42.117253286899775
2026-01-01 08:00:00+00:00,0.01538814111775113,2167.835156245426,0.0,0.0,2302.6051893142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.61926629925652
2026-01-01 09:00:00+00:00,0.3206077719368986,1383.330498908435,0.0,0.0,1652.662518062486,684.5616703580957,0.0,0.0,0.0,0.0,0.23563817541266702,0.0,11.242836083296691,0.0,45.92123064033711
2026-01-01 10:00:00+00:00,0.15624886419325296,1834.8846232883936,0.0,0.0,1908.2528921855096,213.215106805654,0.0,0.0,0.0,0.0,0.07306589039724698,0.0,3.4532778093901597,0.0,60.51478515646227
