,Solar,Wind Onshore,Biomass,Hydro Water Reservoir,Hydro Run-of-river and poundage,Geothermal,Other renewable,Storage,Fossil Brown coal/Lignite,Fossil Hard coal,Fossil Gas,Fossil Oil,Other
2026-01-01 00:00:00+00:00,0.0,4.391690841504341,0.0,73.60852689828481,36.137678286430194,0.0,0.0,0.09125881046842862,367.29980315496067,0.0,1.4710420083515356,0.0,0.0
2026-01-01 01:00:00+00:00,0.0,4.025010654608842,0.0,70.39434409746332,30.53791308117267,0.0,0.0,0.09284625720288926,370.4863470421702,0.0,1.4635388673820982,0.0,0.0
2026-01-01 02:00:00+00:00,0.0,4.331379332898985,0.0,72.15579495678938,27.372194417348055,0.0,0.0,0.10017211390480005,346.8393477687552,0.0,1.2011114103035652,0.0,0.0
2026-01-01 03:00:00+00:00,0.0,6.125217614064832,0.0,71.41589053068583,30.630418374135463,0.0,0.0,0.10014657817350851,347.49919798973974,0.0,1.2291289132006522,0.0,0.0
2026-01-01 04:00:00+00:00,0.0,4.667699092182379,0.0,72.64435494066862,36.5720062221345,0.0,0.0,0.09774775588346847,330.8451927557698,0.0,1.1729992333612154,0.0,0.0
2026-01-01 05:00:00+00:00,0.0,4.620378378644177,0.0,72.47560975609755,39.890176999550505,0.0,0.0,0.09469153515064561,321.33468890465684,0.0,1.584454425900257,0.0,0.0
2026-01-01 06:00:00+00:00,0.27909387703136507,4.931074380302186,0.0,44.60004728863345,36.968595462503835,0.0,0.0,0.06202086156252557,264.300633738384,0.0,1.8585343915825951,0.0,0.0
2026-01-01 07:00:00+00:00,3.0391354011071083,4.448395247867543,0.0,41.98634566382567,35.25077279440991,0.0,0.0,0.059537826201564004,260.11420901247755,0.0,2.10160405411065,0.0,0.0
2026-01-01 08:00:00+00:00,8.593575607865057,3.548827367667477,0.0,49.37654727238305,37.092115462239356,0.0,0.0,0.08568260293361941,270.6770100798591,0.0,2.626241607052325,0.0,0.0
2026-01-01 09:00:00+00:00,11.635028898567398,4.202262532511863,0.0,49.83434227225828,44.703811808954924,0.0,0.0,0.10405310397092796,336.49971054443836,0.0,4.020790839298204,0.0,0.0
2026-01-01 10:00:00+00:00,11.561063723030605,5.38356612227957,0.0,57.961866532865024,45.42479368491226,0.0,0.0,0.11480180632212743,408.8203305845866,0.0,5.733577546003794,0.0,0.0
2026-01-01 11:00:00+00:00,12.261430070454203,7.308525548795885,0.0,60.3009161691959,41.822087271501346,0.0,0.0,0.11096316805840908,394.74567696110597,0.0,5.450400810888256,0.0,0.0
2026-01-01 12:00:00+00:00,10.146864686468646,7.070528638226853,0.0,65.18835454974068,34.16901753062015,0.0,0.0,0.11409712399811409,378.23423941506996,0.0,5.076898055875605,0.0,0.0
2026-01-01 13:00:00+00:00,5.818012325858408,9.981711290966372,0.0,74.65976142386107,41.82229231277846,0.0,0.0,0.1040620090803943,376.0666607332963,0.0,5.5474999041590465,0.0,0.0
2026-01-01 14:00:00+00:00,1.6061148374289407,16.27576251677542,0.0,109.46526002346076,61.59635895764248,0.0,0.0,0.09627936355159863,346.7995135506466,0.0,5.160710750494185,0.0,0.0
2026-01-01 15:00:00+00:00,0.013619011589916427,18.547388440807033,0.0,69.82240258623654,35.90660920631413,0.0,0.0,0.04993637582969357,203.2183857485573,0.0,3.441658630665381,0.0,0.0
2026-01-01 16:00:00+00:00,0.0,17.740528862276356,0.0,70.15759049198306,36.58345814892861,0.0,0.0,0.04534674004241347,184.32685456400557,0.0,3.1462211927639725,0.0,0.0
