,FR_CH,CH_FR,CH_AT,AT_CH,CH_DE_LU,DE_LU_CH,CH_IT_NORD,IT_NORD_CH,CH_AT_net_export,CH_DE_LU_net_export,CH_FR_net_export,CH_IT_NORD_net_export,Net Export
2026-01-01 00:00:00+00:00,3200.0,2.5,0.0,900.0,0.0,799.0,967.0,366.0,-900.0,-799.0,-3197.5,601.0,-4295.5
2026-01-01 01:00:00+00:00,3200.0,0.0,0.0,900.0,0.0,799.5,927.0,345.0,-900.0,-799.5,-3200.0,582.0,-4317.5
2026-01-01 02:00:00+00:00,3200.0,0.0,0.0,900.0,0.0,800.0,1089.0,315.0,-900.0,-800.0,-3200.0,774.0,-4126.0
2026-01-01 03:00:00+00:00,3200.0,0.0,0.0,900.0,0.0,800.0,1005.0,344.75,-900.0,-800.0,-3200.0,660.25,-4239.75
2026-01-01 04:00:00+00:00,3200.0,0.0,0.0,900.0,0.0,800.0,1213.0,455.5,-900.0,-800.0,-3200.0,757.5,-4142.5
2026-01-01 05:00:00+00:00,3200.0,0.0,0.0,900.0,0.0,799.25,1204.0,344.75,-900.0,-799.25,-3200.0,859.25,-4040.0
2026-01-01 06:00:00+00:00,3200.0,0.0,0.0,900.0,0.0,800.0,1396.0,280.0,-900.0,-800.0,-3200.0,1116.0,-3784.0
2026-01-01 07:00:00+00:00,3200.0,0.0,0.0,900.0,0.0,800.0,1391.0,512.25,-900.0,-800.0,-3200.0,878.75,-4021.25
2026-01-01 08:00:00+00:00,3200.0,0.0,0.0,900.0,0.0,800.0,1354.0,310.0,-900.0,-800.0,-3200.0,1044.0,-3856.0
2026-01-01 09:00:00+00:00,3200.0,0.0,0.0,750.0,0.0,797.5,1156.0,450.5,-750.0,-797.5,-3200.0,705.5,-4042.0
2026-01-01 10:00:00+00:00,3200.0,0.0,0.0,750.0,0.0,800.0,1208.0,220.0,-750.0,-800.0,-3200.0,988.0,-3762.0
2026-01-01 11:00:00+00:00,3200.0,0.0,0.0,750.0,0.0,800.0,1264.0,390.0,-750.0,-800.0,-3200.0,874.0,-3876.0
