,FI_SE_1,SE_1_FI,NO_4_SE_1,SE_1_NO_4,SE_1_SE_2,SE_2_SE_1,SE_1_FI_net_export,SE_1_NO_4_net_export,SE_1_SE_2_net_export,Net Export
2026-01-01 00:00:00+00:00,0.0,3511.75,84.25,0.0,2.975,1842.725,3511.75,-84.25,-1839.75,1587.75
2026-01-01 01:00:00+00:00,0.0,1954.45,5.8,0.0,0.0,627.5,1954.45,-5.8,-627.5,1321.15
2026-01-01 02:00:00+00:00,0.0,2735.975,0.0,0.0,40.075,1690.875,2735.975,0.0,-1650.8,1085.175
2026-01-01 03:00:00+00:00,0.0,911.4,1.25,0.0,39.025,0.0,911.4,-1.25,39.025,949.175
2026-01-01 04:00:00+00:00,0.0,934.95,0.275,0.0,19.025,0.0,934.95,-0.275,19.025,953.7
2026-01-01 05:00:00+00:00,0.0,2121.0,0.0,0.0,8.525,1094.275,2121.0,0.0,-1085.75,1035.25
2026-01-01 06:00:00+00:00,0.0,2158.325,174.825,0.0,3.825,781.3,2158.325,-174.825,-777.4749999999999,1206.0249999999999
2026-01-01 07:00:00+00:00,0.0,3709.85,0.0,0.0,0.0,2449.625,3709.85,0.0,-2449.625,1260.225
2026-01-01 08:00:00+00:00,0.0,1713.4,0.0,0.0,17.825,369.975,1713.4,0.0,-352.15000000000003,1361.25
2026-01-01 09:00:00+00:00,0.0,2878.175,175.875,0.0,42.9,1416.325,2878.175,-175.875,-1373.425,1328.8750000000002
2026-01-01 10:00:00+00:00,0.0,2862.525,151.6,0.0,16.85,1343.675,2862.525,-151.6,-1326.825,1384.1000000000001
2026-01-01 11:00:00+00:00,0.0,2788.0,140.325,0.0,59.875,1238.675,2788.0,-140.325,-1178.8,1468.8750000000002
2026-01-01 12:00:00+00:00,0.0,2718.35,0.0,0.0,98.65,1256.4,2718.35,0.0,-1157.75,1560.6
2026-01-01 13:00:00+00:00,0.0,2374.45,80.175,0.0,13.6,659.825,2374.45,-80.175,-646.225,1648.0499999999997
2026-01-01 14:00:00+00:00,0.0,3604.975,2.425,0.0,56.05,1753.0,3604.975,-2.425,-1696.95,1905.5999999999997
2026-01-01 15:00:00+00:00,0.0,2470.375,7.275,0.0,184.225,564.275,2470.375,-7.275,-380.04999999999995,2083.05
2026-01-01 16:00:00+00:00,0.0,2055.8,13.075,0.0,161.825,0.0,2055.8,-13.075,161.825,2204.55
2026-01-01 17:00:00+00:00,0.0,2871.95,4.525,0.0,145.55,834.325,2871.95,-4.525,-688.7750000000001,2178.6499999999996
2026-01-01 18:00:00+00:00,0.0,2219.975,2.75,0.0,373.8,393.2,2219.975,-2.75,-19.399999999999977,2197.825
2026-01-01 19:00:00+00:00,0.0,1814.15,0.0,196.675,250.8,0.0,1814.15,196.675,250.8,2261.625
2026-01-01 20:00:00+00:00,0.0,1952.3,0.0,678.7,26.875,378.95,1952.3,678.7,-352.075,2278.925
2026-01-01 21:00:00+00:00,0.0,2004.8,1.5,176.35,8.0,0.0,2004.8,174.85,8.0,2187.65
2026-01-01 22:00:00+00:00,0.0,2640.575,3.0,561.375,1.25,1115.475,2640.575,558.375,-1114.225,2084.725
2026-01-01 23:00:00+00:00,0.0,1922.0,0.0,211.45,22.55,39.575,1922.0,211.45,-17.025000000000002,2116.4249999999997
2026-01-02 00:00:00+00:00,0.0,1872.725,0.0,337.45,7.625,98.95,1872.725,337.45,-91.325,2118.85
2026-01-02 01:00:00+00:00,0.0,1914.175,0.0,141.325,0.0,106.025,1914.175,141.325,-106.025,1949.475
2026-01-02 02:00:00+00:00,0.0,1919.325,0.0,145.8,0.0,99.875,1919.325,145.8,-99.875,1965.25
2026-01-02 03:00:00+00:00,0.0,1872.7,0.0,454.225,0.0,179.375,1872.7,454.225,-179.375,2147.55
2026-01-02 04:00:00+00:00,0.0,1813.05,2.5,317.0,10.875,95.225,1813.05,314.5,-84.35,2043.2000000000003
2026-01-02 05:00:00+00:00,0.0,1917.95,0.0,687.525,19.65,74.275,1917.95,687.525,-54.62500000000001,2550.85
2026-01-02 06:00:00+00:00,0.0,1902.15,0.0,670.7,109.65,0.0,1902.15,670.7,109.65,2682.5000000000005
2026-01-02 07:00:00+00:00,0.0,1910.825,0.0,523.325,217.3,0.0,1910.825,523.325,217.3,2651.4500000000003
2026-01-02 08:00:00+00:00,0.0,1912.925,0.0,384.575,340.4,0.0,1912.925,384.575,340.4,2637.9
2026-01-02 09:00:00+00:00,0.0,1919.45,0.0,429.75,316.775,0.0,1919.45,429.75,316.775,2665.975
2026-01-02 10:00:00+00:00,0.0,1925.5,0.0,443.8,319.225,0.0,1925.5,443.8,319.225,2688.525
