,ME_IT_CSUD,IT_CSUD_ME,IT_SUD_IT_CSUD,IT_CSUD_IT_SUD,IT_CSUD_IT_CNOR,IT_CNOR_IT_CSUD,IT_CSUD_IT_SARD,IT_SARD_IT_CSUD,IT_CSUD_IT_CNOR_net_export,IT_CSUD_IT_SARD_net_export,IT_CSUD_IT_SUD_net_export,IT_CSUD_ME_net_export,Net Export
2026-01-01 00:00:00+00:00,110.0,67.0,1473.5,0.0,0.0,1842.5,372.5,0.0,-1842.5,372.5,-1473.5,-43.0,-2986.5
2026-01-01 01:00:00+00:00,109.0,32.0,1566.75,0.0,0.0,1779.75,464.0,0.0,-1779.75,464.0,-1566.75,-77.0,-2959.5
2026-01-01 02:00:00+00:00,140.0,20.0,1730.75,0.0,0.0,1463.0,518.5,0.0,-1463.0,518.5,-1730.75,-120.0,-2795.25
2026-01-01 03:00:00+00:00,180.0,0.0,1716.25,0.0,0.0,992.0,305.25,0.0,-992.0,305.25,-1716.25,-180.0,-2583.0
2026-01-01 04:00:00+00:00,180.0,0.0,1507.25,0.0,0.0,936.75,111.25,0.0,-936.75,111.25,-1507.25,-180.0,-2512.75
2026-01-01 05:00:00+00:00,165.0,0.0,1318.75,0.0,0.0,1194.75,29.75,242.0,-1194.75,-212.25,-1318.75,-165.0,-2890.75
2026-01-01 06:00:00+00:00,180.0,40.0,1651.0,0.0,0.0,1498.75,193.5,0.0,-1498.75,193.5,-1651.0,-140.0,-3096.25
2026-01-01 07:00:00+00:00,169.0,10.0,1985.0,0.0,0.0,657.25,50.75,77.75,-657.25,-27.0,-1985.0,-159.0,-2828.25
2026-01-01 08:00:00+00:00,162.0,7.0,1741.5,0.0,0.0,308.25,0.0,261.5,-308.25,-261.5,-1741.5,-155.0,-2466.25
2026-01-01 09:00:00+00:00,162.0,0.0,2336.25,0.0,339.0,0.0,0.0,204.5,339.0,-204.5,-2336.25,-162.0,-2363.75
