,NL_NO_2,NO_2_NL,GB_NO_2,NO_2_GB,NO_2_DE_LU,DE_LU_NO_2,NO_2_DK_1,DK_1_NO_2,NO_2_NO_1,NO_1_NO_2,NO_2_NO_5,NO_5_NO_2,NO_2_DE_LU_net_export,NO_2_DK_1_net_export,NO_2_NL_net_export,NO_2_NO_1_net_export,NO_2_NO_5_net_export,NO_2_GB_net_export,Net Export
2026-01-01 00:00:00+00:00,0.0,577.95,0.0,671.6,3.75,1353.25,0.0,1623.825,6.125,3.775,945.9,0.0,-1349.5,-1623.825,577.95,2.35,945.9,671.6,-775.525
2026-01-01 01:00:00+00:00,0.0,347.025,0.0,694.9,0.0,1290.25,0.0,1680.0,451.125,0.175,519.75,0.0,-1290.25,-1680.0,347.025,450.95,519.75,694.9,-957.6250000000001
2026-01-01 02:00:00+00:00,88.0,83.35,0.0,398.9,0.0,1115.75,0.0,1680.0,297.85,0.05,768.4,0.0,-1115.75,-1680.0,-4.650000000000006,297.8,768.4,398.9,-1335.2999999999997
2026-01-01 03:00:00+00:00,112.625,0.0,0.0,20.5,0.0,1045.75,0.0,1680.0,244.775,0.0,753.725,0.0,-1045.75,-1680.0,-112.625,244.775,753.725,20.5,-1819.375
2026-01-01 04:00:00+00:00,80.2,0.0,141.9,0.0,0.0,1181.75,0.0,1680.0,303.075,0.05,897.15,0.0,-1181.75,-1680.0,-80.2,303.025,897.15,-141.9,-1883.6749999999997
2026-01-01 05:00:00+00:00,6.475,23.275,147.7,0.0,0.0,1400.0,0.0,1679.825,685.2,17.1,704.35,0.0,-1400.0,-1679.825,16.799999999999997,668.1,704.35,-147.7,-1838.2749999999999
2026-01-01 06:00:00+00:00,0.0,149.025,363.3,0.0,0.0,1400.0,0.0,1680.0,1328.3,0.0,0.025,0.1,-1400.0,-1680.0,149.025,1328.3,-0.07500000000000001,-363.3,-1966.05
2026-01-01 07:00:00+00:00,0.0,124.0,228.6,0.0,0.0,1400.0,0.0,1680.0,1105.775,0.0,0.0,0.0,-1400.0,-1680.0,124.0,1105.775,0.0,-228.6,-2078.825
2026-01-01 08:00:00+00:00,157.5,63.275,141.2,0.0,0.0,1131.75,0.0,1680.0,1044.925,0.0,16.625,0.0,-1131.75,-1680.0,-94.225,1044.925,16.625,-141.2,-1985.625
2026-01-01 09:00:00+00:00,382.20000000000005,0.0,0.0,0.0,0.0,982.5,0.0,1680.0,708.15,0.0,16.625,0.0,-982.5,-1680.0,-382.20000000000005,708.15,16.625,0.0,-2319.9249999999997
2026-01-01 10:00:00+00:00,316.375,0.0,0.0,0.0,0.0,817.5,0.0,1680.0,424.9,0.0,17.325,0.0,-817.5,-1680.0,-316.375,424.9,17.325,0.0,-2371.65
2026-01-01 11:00:00+00:00,0.0,27.625,117.2,0.0,0.0,1036.0,0.0,1680.0,1211.1,0.0,20.275,0.0,-1036.0,-1680.0,27.625,1211.1,20.275,-117.2,-1574.2
2026-01-01 12:00:00+00:00,16.0,0.0,0.0,91.8,0.0,994.5,0.0,1680.0,777.75,0.0,274.225,0.0,-994.5,-1680.0,-16.0,777.75,274.225,91.8,-1546.7250000000001
2026-01-01 13:00:00+00:00,0.0,236.325,0.0,54.0,1.0,1303.25,0.0,1680.0,749.075,0.0,276.825,0.0,-1302.25,-1680.0,236.325,749.075,276.825,54.0,-1666.025
2026-01-01 14:00:00+00:00,0.0,330.575,0.0,519.0,0.0,1387.25,0.0,1680.0,925.8,1.7,336.825,0.0,-1387.25,-1680.0,330.575,924.0999999999999,336.825,519.0,-956.7500000000002
2026-01-01 15:00:00+00:00,0.0,555.525,0.0,984.0,8.0,1407.75,0.0,1680.0,970.3,0.0,329.875,0.0,-1399.75,-1680.0,555.525,970.3,329.875,984.0,-240.04999999999995
2026-01-01 16:00:00+00:00,0.0,630.05,0.0,1449.0,0.0,1400.0,0.0,1680.0,274.675,1.85,788.275,0.0,-1400.0,-1680.0,630.05,272.825,788.275,1449.0,60.15000000000009
2026-01-01 17:00:00+00:00,0.0,634.025,0.0,1449.0,0.0,1400.0,0.0,1680.1,1318.85,0.0,0.25,0.0,-1400.0,-1680.1,634.025,1318.85,0.25,1449.0,322.0250000000001
2026-01-01 18:00:00+00:00,0.0,562.55,0.0,1449.0,0.0,1400.0,0.0,1680.0,1074.75,2.425,324.825,0.0,-1400.0,-1680.0,562.55,1072.325,324.825,1449.0,328.7000000000003
2026-01-01 19:00:00+00:00,0.0,340.375,0.0,1449.0,0.25,1400.25,0.0,1680.0,1624.725,0.0,5.675,0.0,-1400.0,-1680.0,340.375,1624.725,5.675,1449.0,339.77499999999986
2026-01-01 20:00:00+00:00,106.6,15.85,0.0,1449.0,0.0,1400.0,0.0,1680.0,1259.175,0.0,432.575,0.0,-1400.0,-1680.0,-90.75,1259.175,432.575,1449.0,-30.0
2026-01-01 21:00:00+00:00,43.050000000000004,129.2,0.0,1154.4,0.0,1400.0,0.0,1680.025,1186.15,0.0,418.425,0.0,-1400.0,-1680.025,86.14999999999998,1186.15,418.425,1154.4,-234.89999999999986
2026-01-01 22:00:00+00:00,41.875,29.924999999999997,0.0,689.4,0.0,1186.0,0.0,1680.0,1231.225,0.0,18.45,0.0,-1186.0,-1680.0,-11.950000000000003,1231.225,18.45,689.4,-938.8749999999999
2026-01-01 23:00:00+00:00,586.25,0.0,0.0,224.4,0.0,636.5,0.0,1680.0,835.4,0.0,11.9,0.0,-636.5,-1680.0,-586.25,835.4,11.9,224.4,-1831.0499999999997
2026-01-02 00:00:00+00:00,632.7,0.0,240.6,0.0,5.5,674.75,0.0,1680.0,1087.45,0.0,16.525,0.0,-669.25,-1680.0,-632.7,1087.45,16.525,-240.6,-2118.575
2026-01-02 01:00:00+00:00,640.5,0.0,705.6,0.0,0.25,661.5,0.0,1680.0,1264.925,0.0,5.625,0.0,-661.25,-1680.0,-640.5,1264.925,5.625,-705.6,-2416.8
2026-01-02 02:00:00+00:00,251.3,0.0,1035.0,0.0,42.25,759.5,0.0,1671.325,1285.8,0.0,12.075,0.0,-717.25,-1671.325,-251.3,1285.8,12.075,-1035.0,-2377.0
2026-01-02 03:00:00+00:00,258.85,0.0,1035.0,0.0,30.25,776.25,0.0,1605.7,1335.575,0.0,11.5,0.0,-746.0,-1605.7,-258.85,1335.575,11.5,-1035.0,-2298.4749999999995
2026-01-02 04:00:00+00:00,570.825,0.0,876.0,0.0,6.75,698.0,0.0,1632.3,1370.55,0.0,13.1,0.0,-691.25,-1632.3,-570.825,1370.55,13.1,-876.0,-2386.7250000000004
2026-01-02 05:00:00+00:00,435.3,0.0,411.0,0.0,105.25,978.5,0.0,1655.925,1427.25,0.0,5.5,0.0,-873.25,-1655.925,-435.3,1427.25,5.5,-411.0,-1942.7250000000004
2026-01-02 06:00:00+00:00,100.45,54.175,0.0,54.0,98.75,1245.5,0.0,1596.375,1991.25,0.0,0.0,0.75,-1146.75,-1596.375,-46.275000000000006,1991.25,-0.75,54.0,-744.9000000000001
2026-01-02 07:00:00+00:00,0.0,491.5,0.0,519.0,91.0,712.25,0.0,1388.275,2136.25,0.0,11.55,0.0,-621.25,-1388.275,491.5,2136.25,11.55,519.0,1148.7749999999999
2026-01-02 08:00:00+00:00,0.0,479.425,0.0,984.0,549.25,873.0,0.0,1430.075,2226.725,0.0,0.0,0.05,-323.75,-1430.075,479.425,2226.725,-0.05,984.0,1936.2749999999999
2026-01-02 09:00:00+00:00,0.0,225.92499999999998,0.0,1449.0,513.75,1529.0,0.0,1445.35,2270.75,0.0,0.0,0.0,-1015.25,-1445.35,225.92499999999998,2270.75,0.0,1449.0,1485.0750000000003
2026-01-02 10:00:00+00:00,249.0,0.0,0.0,1449.0,528.5,1524.75,0.0,1492.2,2346.9,0.0,0.0,0.0,-996.25,-1492.2,-249.0,2346.9,0.0,1449.0,1058.4500000000003
2026-01-02 11:00:00+00:00,616.65,0.0,0.0,1449.0,1079.75,1530.75,0.0,1608.45,2279.525,0.0,0.0,0.0,-451.0,-1608.45,-616.65,2279.525,0.0,1449.0,1052.4250000000002
