,AT_SI,SI_AT,HU_SI,SI_HU,IT_NORD_SI,SI_IT_NORD,SI_HR,HR_SI,SI_AT_net_export,SI_HR_net_export,SI_IT_NORD_net_export,SI_HU_net_export,Net Export
2026-01-01 00:00:00+00:00,2273.525,201.725,36.05,1258.6750000000002,680.0,0.0,1584.5749999999998,63.55,-2071.8,1521.0249999999999,-680.0,1222.6250000000002,-8.150000000000091
2026-01-01 01:00:00+00:00,2325.1,220.625,21.025,26.125,680.0,5.300000000000001,2808.55,58.325,-2104.475,2750.2250000000004,-674.7,5.100000000000001,-23.84999999999959
2026-01-01 02:00:00+00:00,2147.8,125.45,92.45,2229.2999999999997,680.0,7.8,391.125,49.675,-2022.3500000000001,341.45,-672.2,2136.85,-216.25000000000045
2026-01-01 03:00:00+00:00,3035.125,108.10000000000001,30.65,1222.425,680.35,0.35,2333.025,47.0,-2927.025,2286.025,-680.0,1191.7749999999999,-129.22500000000014
2026-01-01 04:00:00+00:00,3309.475,119.825,0.0,2245.625,680.0,0.0,1602.2749999999999,49.275,-3189.65,1552.9999999999998,-680.0,2245.625,-71.02500000000055
2026-01-01 05:00:00+00:00,3118.175,25.475,0.15,2176.0,680.0,0.0,1572.3249999999998,53.1,-3092.7000000000003,1519.225,-680.0,2175.85,-77.62500000000045
2026-01-01 06:00:00+00:00,469.0,121.575,28.0,33.175,680.0,0.0,814.525,52.175,-347.425,762.35,-680.0,5.174999999999997,-259.9
2026-01-01 07:00:00+00:00,1075.025,13.025,0.075,517.6,680.0,0.0,1062.375,51.45,-1062.0,1010.925,-680.0,517.525,-213.55000000000007
2026-01-01 08:00:00+00:00,178.725,78.7,0.0,177.22500000000002,681.15,1.15,429.5,79.325,-100.02499999999999,350.175,-680.0,177.22500000000002,-252.62499999999994
2026-01-01 09:00:00+00:00,63.525000000000006,124.025,7.55,180.85,597.45,0.1,378.225,126.72500000000001,60.5,251.5,-597.35,173.29999999999998,-112.05000000000004
2026-01-01 10:00:00+00:00,1.05,573.775,316.625,73.225,680.975,0.975,352.65,43.4,572.725,309.25,-680.0,-243.4,-41.42499999999998
2026-01-01 11:00:00+00:00,125.425,96.675,0.4,310.25,634.875,0.825,376.4,42.725,-28.75,333.67499999999995,-634.05,309.85,-19.274999999999977
2026-01-01 12:00:00+00:00,306.0,116.0,25.45,458.375,680.0,0.0,450.025,52.95,-190.0,397.075,-680.0,432.925,-40.0
2026-01-01 13:00:00+00:00,819.5,303.15,145.475,0.225,680.0,0.0,1261.7749999999999,44.675,-516.35,1217.1,-680.0,-145.25,-124.50000000000011
2026-01-01 14:00:00+00:00,876.75,406.25,5.15,56.125,705.0,15.95,1375.925,47.15,-470.5,1328.7749999999999,-689.05,50.975,220.1999999999999
2026-01-01 15:00:00+00:00,963.6750000000001,1085.35,874.9250000000001,1535.5,689.0,0.0,434.1,49.3,121.67499999999984,384.8,-689.0,660.5749999999999,478.0499999999998
2026-01-01 16:00:00+00:00,254.525,7.575,4.0,1195.975,703.45,3.925,510.075,52.075,-246.95000000000002,458.0,-699.5250000000001,1191.975,703.4999999999998
2026-01-01 17:00:00+00:00,1543.875,12.075,2.075,2522.825,718.2,5.324999999999999,441.675,56.475,-1531.8,385.2,-712.875,2520.75,661.2750000000001
2026-01-01 18:00:00+00:00,892.875,0.2,10.15,1617.3,710.75,4.8500000000000005,385.475,52.425,-892.675,333.05,-705.9,1607.1499999999999,341.6249999999998
2026-01-01 19:00:00+00:00,1873.2,1042.425,1019.2249999999999,2101.6000000000004,718.525,1.425,703.425,50.75,-830.7750000000001,652.675,-717.1,1082.3750000000005,187.1750000000003
2026-01-01 20:00:00+00:00,4.65,4189.65,4446.15,84.575,692.65,0.0,937.975,48.45,4185.0,889.525,-692.65,-4361.575,20.300000000000182
2026-01-01 21:00:00+00:00,2785.7,1.55,34.25,2666.325,668.425,0.475,771.775,49.25,-2784.1499999999996,722.525,-667.9499999999999,2632.075,-97.49999999999955
2026-01-01 22:00:00+00:00,1875.325,21.250000000000004,327.92499999999995,1735.775,532.875,4.725,858.825,50.4,-1854.075,808.4250000000001,-528.15,1407.8500000000001,-165.95000000000005
2026-01-01 23:00:00+00:00,511.475,33.325,0.0,419.875,735.0,0.0,758.175,48.825,-478.15000000000003,709.3499999999999,-735.0,419.875,-83.92500000000013
2026-01-02 00:00:00+00:00,397.325,6.175000000000001,0.0,471.75,735.0,0.0,649.0,48.2,-391.15,600.8,-735.0,471.75,-53.60000000000002
2026-01-02 01:00:00+00:00,261.1,17.8,2.45,448.95,735.0,0.0,532.275,53.5,-243.3,478.775,-735.0,446.5,-53.025000000000034
2026-01-02 02:00:00+00:00,186.8,3.375,0.0,467.25,782.0,0.0,507.475,48.175,-183.425,459.3,-782.0,467.25,-38.875
2026-01-02 03:00:00+00:00,208.825,0.175,0.0,451.85,782.0,0.0,512.875,49.05,-208.64999999999998,463.825,-782.0,451.85,-74.97500000000002
2026-01-02 04:00:00+00:00,223.375,0.35,10.4,499.2,782.0,0.0,590.975,50.125,-223.025,540.85,-782.0,488.8,24.625000000000057
2026-01-02 05:00:00+00:00,347.975,0.44999999999999996,0.15,563.175,782.0,0.0,598.75,62.675,-347.52500000000003,536.075,-782.0,563.025,-30.425000000000068
2026-01-02 06:00:00+00:00,487.825,125.65,100.875,452.75,692.0,0.0,704.375,83.85,-362.17499999999995,620.525,-692.0,351.875,-81.77499999999998
2026-01-02 07:00:00+00:00,256.8,299.975,151.075,288.8,692.0,0.0,621.45,93.125,43.17500000000001,528.325,-692.0,137.72500000000002,17.225000000000023
2026-01-02 08:00:00+00:00,177.05,147.625,45.1,68.7,605.75,18.725,634.8,128.2,-29.42500000000001,506.59999999999997,-587.025,23.6,-86.25000000000003
2026-01-02 09:00:00+00:00,562.1,184.825,360.45,162.725,153.775,306.9,556.55,264.15,-377.27500000000003,292.4,153.12499999999997,-197.725,-129.47500000000008
2026-01-02 10:00:00+00:00,560.575,156.55,375.65,257.225,259.7,243.75,559.275,189.4,-404.02500000000003,369.875,-15.949999999999989,-118.42499999999995,-168.52499999999998
2026-01-02 11:00:00+00:00,726.075,0.025,294.225,477.45,357.625,274.725,672.05,278.54999999999995,-726.0500000000001,393.5,-82.89999999999998,183.22499999999997,-232.22500000000008
2026-01-02 12:00:00+00:00,377.625,90.575,54.525,245.75,606.0,160.85,740.275,439.65,-287.05,300.625,-445.15,191.225,-240.35
2026-01-02 13:00:00+00:00,891.7,0.0,70.625,495.25,608.55,217.2,736.15,96.35,-891.7,639.8,-391.34999999999997,424.625,-218.625
2026-01-02 14:00:00+00:00,767.825,0.30000000000000004,38.5,894.25,791.4,66.35,788.8,92.25,-767.5250000000001,696.55,-725.05,855.75,59.72499999999991
