,RS_ME,ME_RS,ME_BA,BA_ME,ME_IT_CSUD,IT_CSUD_ME,ME_BA_net_export,ME_RS_net_export,ME_IT_CSUD_net_export,Net Export
2026-01-01 00:00:00+00:00,242.0,0.0,5.0,246.0,110.0,67.0,-241.0,-242.0,43.0,-440.0
2026-01-01 01:00:00+00:00,243.0,0.0,12.0,246.0,109.0,32.0,-234.0,-243.0,77.0,-400.0
2026-01-01 02:00:00+00:00,202.0,0.0,1.0,251.0,140.0,20.0,-250.0,-202.0,120.0,-332.0
2026-01-01 03:00:00+00:00,207.0,0.0,1.0,251.0,180.0,0.0,-250.0,-207.0,180.0,-277.0
2026-01-01 04:00:00+00:00,200.0,0.0,1.0,247.0,180.0,0.0,-246.0,-200.0,180.0,-266.0
2026-01-01 05:00:00+00:00,200.0,0.0,1.0,241.0,165.0,0.0,-240.0,-200.0,165.0,-275.0
2026-01-01 06:00:00+00:00,198.0,0.0,26.0,181.0,180.0,40.0,-155.0,-198.0,140.0,-213.0
2026-01-01 07:00:00+00:00,195.0,2.0,12.0,166.0,169.0,10.0,-154.0,-193.0,159.0,-188.0
2026-01-01 08:00:00+00:00,179.0,23.0,2.0,218.0,162.0,7.0,-216.0,-156.0,155.0,-217.0
2026-01-01 09:00:00+00:00,228.0,36.0,1.0,260.0,162.0,0.0,-259.0,-192.0,162.0,-289.0
2026-01-01 10:00:00+00:00,267.0,18.0,1.0,287.0,164.0,0.0,-286.0,-249.0,164.0,-371.0
2026-01-01 11:00:00+00:00,250.0,14.0,1.0,287.0,162.0,1.0,-286.0,-236.0,161.0,-361.0
2026-01-01 12:00:00+00:00,240.0,26.0,1.0,287.0,162.0,0.0,-286.0,-214.0,162.0,-338.0
2026-01-01 13:00:00+00:00,240.0,0.0,1.0,275.0,162.0,0.0,-274.0,-240.0,162.0,-352.0
2026-01-01 14:00:00+00:00,250.0,0.0,1.0,292.0,134.0,67.0,-291.0,-250.0,67.0,-474.0
2026-01-01 15:00:00+00:00,166.0,0.0,1.0,166.0,142.0,36.0,-165.0,-166.0,106.0,-225.0
2026-01-01 16:00:00+00:00,156.0,0.0,1.0,157.0,106.0,37.0,-156.0,-156.0,69.0,-243.0
2026-01-01 17:00:00+00:00,148.0,0.0,1.0,161.0,106.0,33.0,-160.0,-148.0,73.0,-235.0
2026-01-01 18:00:00+00:00,107.0,0.0,1.0,157.0,102.0,45.0,-156.0,-107.0,57.0,-206.0
2026-01-01 19:00:00+00:00,121.0,0.0,1.0,153.0,132.0,58.0,-152.0,-121.0,74.0,-199.0
2026-01-01 20:00:00+00:00,178.0,0.0,20.0,202.0,109.0,88.0,-182.0,-178.0,21.0,-339.0
2026-01-01 21:00:00+00:00,231.0,0.0,22.0,227.0,110.0,90.0,-205.0,-231.0,20.0,-416.0
2026-01-01 22:00:00+00:00,250.0,0.0,12.0,297.0,128.0,80.0,-285.0,-250.0,48.0,-487.0
2026-01-01 23:00:00+00:00,75.0,0.0,1.0,301.0,80.0,10.0,-300.0,-75.0,70.0,-305.0
2026-01-02 00:00:00+00:00,75.0,0.0,1.0,301.0,80.0,10.0,-300.0,-75.0,70.0,-305.0
2026-01-02 01:00:00+00:00,75.0,14.0,8.0,249.0,80.0,10.0,-241.0,-61.0,70.0,-232.0
2026-01-02 02:00:00+00:00,77.0,36.0,15.0,248.0,80.0,10.0,-233.0,-41.0,70.0,-204.0
2026-01-02 03:00:00+00:00,75.0,36.0,5.0,237.0,80.0,10.0,-232.0,-39.0,70.0,-201.0
2026-01-02 04:00:00+00:00,75.0,36.0,4.0,234.0,80.0,10.0,-230.0,-39.0,70.0,-199.0
2026-01-02 05:00:00+00:00,75.0,34.0,21.0,266.0,80.0,10.0,-245.0,-41.0,70.0,-216.0
2026-01-02 06:00:00+00:00,75.0,34.0,21.0,217.0,80.0,10.0,-196.0,-41.0,70.0,-167.0
2026-01-02 07:00:00+00:00,82.0,25.0,11.0,215.0,80.0,10.0,-204.0,-57.0,70.0,-191.0
2026-01-02 08:00:00+00:00,75.0,19.0,1.0,246.0,80.0,10.0,-245.0,-56.0,70.0,-231.0
2026-01-02 09:00:00+00:00,103.0,16.0,1.0,256.0,80.0,10.0,-255.0,-87.0,70.0,-272.0
2026-01-02 10:00:00+00:00,105.0,13.0,1.0,244.0,80.0,10.0,-243.0,-92.0,70.0,-265.0
2026-01-02 11:00:00+00:00,105.0,5.0,1.0,255.0,80.0,10.0,-254.0,-100.0,70.0,-284.0
2026-01-02 12:00:00+00:00,56.0,5.0,15.0,242.0,30.0,10.0,-227.0,-51.0,20.0,-258.0
2026-01-02 13:00:00+00:00,55.0,5.0,12.0,240.0,30.0,10.0,-228.0,-50.0,20.0,-258.0
2026-01-02 14:00:00+00:00,48.0,0.0,21.0,122.0,30.0,10.0,-101.0,-48.0,20.0,-129.0
2026-01-02 15:00:00+00:00,25.0,0.0,1.0,163.0,30.0,10.0,-162.0,-25.0,20.0,-167.0
