,BE_NL,NL_BE,NL_DE_LU,DE_LU_NL,NL_GB,GB_NL,NL_NO_2,NO_2_NL,NL_DK_1,DK_1_NL,NL_BE_net_export,NL_DE_LU_net_export,NL_GB_net_export,NL_NO_2_net_export,NL_DK_1_net_export,Net Export
2026-01-01 00:00:00+00:00,116.3,1277.675,232.25,1576.575,1120.0,102.0,0.0,577.95,0.025,700.025,1161.375,-1344.325,1018.0,-577.95,-700.0,-442.9000000000001
2026-01-01 01:00:00+00:00,1.175,2053.725,0.0,3738.3,1048.0,197.0,0.0,347.025,0.0,700.0,2052.5499999999997,-3738.3,851.0,-347.025,-700.0,-1881.7750000000005
2026-01-01 02:00:00+00:00,31.15,1760.75,0.0,5547.425,1013.0,45.0,88.0,83.35,0.0,700.0,1729.6,-5547.425,968.0,4.650000000000006,-700.0,-3545.175
2026-01-01 03:00:00+00:00,0.7,1025.925,0.0,4999.525,962.0,238.0,112.625,0.0,0.0,700.0,1025.225,-4999.525,724.0,112.625,-700.0,-3837.6749999999997
2026-01-01 04:00:00+00:00,32.95,1463.0,0.0,4913.075,755.0,96.0,80.2,0.0,3.0250000000000004,701.6,1430.05,-4913.075,659.0,80.2,-698.575,-3442.3999999999996
2026-01-01 05:00:00+00:00,0.5,294.77500000000003,0.0,1924.875,749.0,0.0,6.475,23.275,16.125,698.35,294.27500000000003,-1924.875,749.0,-16.799999999999997,-682.225,-1580.625
2026-01-01 06:00:00+00:00,0.375,94.1,0.0,3993.15,797.0,1.0,0.0,149.025,0.0,700.0,93.725,-3993.15,796.0,-149.025,-700.0,-3952.4500000000003
2026-01-01 07:00:00+00:00,0.825,168.95,0.0,1959.2,808.0,0.0,0.0,124.0,0.0,700.0,168.125,-1959.2,808.0,-124.0,-700.0,-1807.075
2026-01-01 08:00:00+00:00,0.5,154.15,0.0,2155.225,730.0,63.0,157.5,63.275,1.85,700.225,153.65,-2155.225,667.0,94.225,-698.375,-1938.725
2026-01-01 09:00:00+00:00,1.0,632.875,0.75,4143.125,746.0,143.0,382.20000000000005,0.0,4.15,700.0,631.875,-4142.375,603.0,382.20000000000005,-695.85,-3221.15
2026-01-01 10:00:00+00:00,1.0,255.9,0.0,1967.7,730.0,328.0,316.375,0.0,0.0,700.0,254.9,-1967.7,402.0,316.375,-700.0,-1694.425
2026-01-01 11:00:00+00:00,1.6,54.400000000000006,0.0,4813.55,1047.0,1042.0,0.0,27.625,0.0,700.0,52.800000000000004,-4813.55,5.0,-27.625,-700.0,-5483.375
2026-01-01 12:00:00+00:00,0.35,338.85,289.375,3723.7,1060.0,719.0,16.0,0.0,0.0,700.0,338.5,-3434.325,341.0,16.0,-700.0,-3438.825
2026-01-01 13:00:00+00:00,0.0,696.875,157.55,6086.025,1061.0,191.0,0.0,236.325,0.0,700.0,696.875,-5928.474999999999,870.0,-236.325,-700.0,-5297.924999999999
2026-01-01 14:00:00+00:00,0.525,990.375,0.0,3519.825,1059.0,767.0,0.0,330.575,0.0,700.0,989.85,-3519.825,292.0,-330.575,-700.0,-3268.5499999999997
2026-01-01 15:00:00+00:00,0.175,1996.5,0.0,6037.55,1060.0,92.0,0.0,555.525,0.625,700.625,1996.325,-6037.55,968.0,-555.525,-700.0,-4328.75
2026-01-01 16:00:00+00:00,0.625,3274.25,0.0,8257.225,1060.0,362.0,0.0,630.05,0.0,700.0,3273.625,-8257.225,698.0,-630.05,-700.0,-5615.650000000001
2026-01-01 17:00:00+00:00,0.075,1186.325,0.0,2778.275,1066.0,30.0,0.0,634.025,0.0,700.0,1186.25,-2778.275,1036.0,-634.025,-700.0,-1890.0500000000002
2026-01-01 18:00:00+00:00,0.0,1156.2749999999999,22.55,2456.6749999999997,1067.0,0.0,0.0,562.55,0.0,700.0,1156.2749999999999,-2434.1249999999995,1067.0,-562.55,-700.0,-1473.3999999999996
