,IT_NORD_IT_CNOR,IT_CNOR_IT_NORD,IT_CSUD_IT_CNOR,IT_CNOR_IT_CSUD,IT_CNOR_IT_NORD_net_export,IT_CNOR_IT_CSUD_net_export,Net Export
2026-01-01 00:00:00+00:00,2465.5,0.0,0.0,1842.5,-2465.5,1842.5,-623.0
2026-01-01 01:00:00+00:00,2377.5,0.0,0.0,1779.75,-2377.5,1779.75,-597.75
2026-01-01 02:00:00+00:00,2042.25,0.0,0.0,1463.0,-2042.25,1463.0,-579.25
2026-01-01 03:00:00+00:00,1600.5,0.0,0.0,992.0,-1600.5,992.0,-608.5
2026-01-01 04:00:00+00:00,1511.0,0.0,0.0,936.75,-1511.0,936.75,-574.25
2026-01-01 05:00:00+00:00,1809.75,0.0,0.0,1194.75,-1809.75,1194.75,-615.0
2026-01-01 06:00:00+00:00,2203.5,0.0,0.0,1498.75,-2203.5,1498.75,-704.75
2026-01-01 07:00:00+00:00,1264.5,0.0,0.0,657.25,-1264.5,657.25,-607.25
2026-01-01 08:00:00+00:00,836.75,0.0,0.0,308.25,-836.75,308.25,-528.5
2026-01-01 09:00:00+00:00,265.25,0.0,339.0,0.0,-265.25,-339.0,-604.25
2026-01-01 10:00:00+00:00,545.75,0.0,201.0,38.0,-545.75,-163.0,-708.75
2026-01-01 11:00:00+00:00,287.75,0.0,247.5,0.0,-287.75,-247.5,-535.25
2026-01-01 12:00:00+00:00,0.0,423.5,917.75,0.0,423.5,-917.75,-494.25
2026-01-01 13:00:00+00:00,0.0,265.75,835.75,0.0,265.75,-835.75,-570.0
2026-01-01 14:00:00+00:00,164.5,8.0,474.25,0.0,-156.5,-474.25,-630.75
2026-01-01 15:00:00+00:00,1245.5,0.0,0.0,595.0,-1245.5,595.0,-650.5
2026-01-01 16:00:00+00:00,1792.75,0.0,0.0,1058.5,-1792.75,1058.5,-734.25
2026-01-01 17:00:00+00:00,2058.75,0.0,0.0,1219.25,-2058.75,1219.25,-839.5
2026-01-01 18:00:00+00:00,1864.0,0.0,0.0,967.25,-1864.0,967.25,-896.75
2026-01-01 19:00:00+00:00,1765.75,0.0,0.0,816.5,-1765.75,816.5,-949.25
2026-01-01 20:00:00+00:00,1734.5,0.0,0.0,848.5,-1734.5,848.5,-886.0
2026-01-01 21:00:00+00:00,1098.5,0.0,0.0,252.75,-1098.5,252.75,-845.75
2026-01-01 22:00:00+00:00,214.5,0.0,447.5,0.0,-214.5,-447.5,-662.0
2026-01-01 23:00:00+00:00,734.5,0.0,153.75,111.25,-734.5,-42.5,-777.0
2026-01-02 00:00:00+00:00,63.25,256.0,794.0,0.0,192.75,-794.0,-601.25
2026-01-02 01:00:00+00:00,0.0,560.25,1109.5,0.0,560.25,-1109.5,-549.25
2026-01-02 02:00:00+00:00,0.0,786.5,1327.5,0.0,786.5,-1327.5,-541.0
2026-01-02 03:00:00+00:00,0.0,923.5,1486.25,0.0,923.5,-1486.25,-562.75
2026-01-02 04:00:00+00:00,0.0,992.25,1631.25,0.0,992.25,-1631.25,-639.0
2026-01-02 05:00:00+00:00,36.75,184.25,996.0,0.0,147.5,-996.0,-848.5
2026-01-02 06:00:00+00:00,244.5,1.75,854.25,0.0,-242.75,-854.25,-1097.0
2026-01-02 07:00:00+00:00,412.5,0.0,922.5,0.0,-412.5,-922.5,-1335.0
2026-01-02 08:00:00+00:00,506.25,0.0,764.75,0.0,-506.25,-764.75,-1271.0
2026-01-02 09:00:00+00:00,0.0,440.25,1594.75,0.0,440.25,-1594.75,-1154.5
2026-01-02 10:00:00+00:00,0.0,1311.25,2330.75,0.0,1311.25,-2330.75,-1019.5
2026-01-02 11:00:00+00:00,0.0,934.25,1999.5,0.0,934.25,-1999.5,-1065.25
2026-01-02 12:00:00+00:00,0.0,1375.25,2311.25,0.0,1375.25,-2311.25,-936.0
2026-01-02 13:00:00+00:00,0.0,583.75,1600.75,0.0,583.75,-1600.75,-1017.0
2026-01-02 14:00:00+00:00,26.5,90.0,1301.5,0.0,63.5,-1301.5,-1238.0
2026-01-02 15:00:00+00:00,745.25,0.0,652.5,0.0,-745.25,-652.5,-1397.75
2026-01-02 16:00:00+00:00,1164.25,0.0,533.25,0.0,-1164.25,-533.25,-1697.5
