,BE_GB,GB_BE,NL_GB,GB_NL,FR_GB,GB_FR,GB_NO_2,NO_2_GB,GB_DK_1,DK_1_GB,GB_BE_net_export,GB_FR_net_export,GB_NL_net_export,GB_NO_2_net_export,GB_DK_1_net_export,Net Export
2026-01-01 00:00:00+00:00,499.0,252.0,1120.0,102.0,287.0,2341.0,0.0,671.6,0.0,1000.0,-247.0,2054.0,-1018.0,-671.6,-1000.0,-882.6
2026-01-01 01:00:00+00:00,593.0,242.0,1048.0,197.0,306.0,3104.0,0.0,694.9,0.0,1000.0,-351.0,2798.0,-851.0,-694.9,-1000.0,-98.89999999999998
2026-01-01 02:00:00+00:00,283.0,142.0,1013.0,45.0,407.0,2459.0,0.0,398.9,0.0,1000.0,-141.0,2052.0,-968.0,-398.9,-1000.0,-455.9
2026-01-01 03:00:00+00:00,312.0,231.0,962.0,238.0,588.0,2706.0,0.0,20.5,0.0,1000.0,-81.0,2118.0,-724.0,-20.5,-1000.0,292.5
2026-01-01 04:00:00+00:00,495.0,322.0,755.0,96.0,532.0,3214.0,141.9,0.0,0.0,975.0,-173.0,2682.0,-659.0,141.9,-975.0,1016.9000000000001
2026-01-01 05:00:00+00:00,159.0,570.0,749.0,0.0,899.0,3417.0,147.7,0.0,0.0,1000.0,411.0,2518.0,-749.0,147.7,-1000.0,1327.6999999999998
2026-01-01 06:00:00+00:00,371.0,399.0,797.0,1.0,614.0,2793.0,363.3,0.0,0.0,982.0,28.0,2179.0,-796.0,363.3,-982.0,792.3
2026-01-01 07:00:00+00:00,1015.0,329.0,808.0,0.0,563.0,2019.0,228.6,0.0,0.0,1000.0,-686.0,1456.0,-808.0,228.6,-1000.0,-809.4
2026-01-01 08:00:00+00:00,1075.0,224.0,730.0,63.0,753.0,829.0,141.2,0.0,0.0,1000.0,-851.0,76.0,-667.0,141.2,-1000.0,-2300.8
2026-01-01 09:00:00+00:00,905.0,172.0,746.0,143.0,1304.0,225.0,0.0,0.0,0.0,1000.0,-733.0,-1079.0,-603.0,0.0,-1000.0,-3415.0
