,NO_2_NO_1,NO_1_NO_2,SE_3_NO_1,NO_1_SE_3,NO_1_NO_3,NO_3_NO_1,NO_1_NO_5,NO_5_NO_1,NO_1_NO_2_net_export,NO_1_NO_3_net_export,NO_1_NO_5_net_export,NO_1_SE_3_net_export,Net Export
2026-01-01 00:00:00+00:00,6.125,3.775,0.0,1265.4,0.0,3225.75,0.0,626.45,-2.35,-3225.75,-626.45,1265.4,-2589.15
2026-01-01 01:00:00+00:00,451.125,0.175,1229.075,0.0,134.875,1055.075,72.625,116.55,-450.95,-920.2,-43.925,-1229.075,-2644.15
2026-01-01 02:00:00+00:00,297.85,0.05,0.0,1810.725,0.0,3884.75,7.625,436.225,-297.8,-3884.75,-428.6,1810.725,-2800.4250000000006
2026-01-01 03:00:00+00:00,244.775,0.0,874.575,0.0,438.15,1313.95,0.0,879.675,-244.775,-875.8000000000001,-879.675,-874.575,-2874.825
2026-01-01 04:00:00+00:00,303.075,0.05,871.875,1465.075,124.35,3341.625,15.5,83.85,-303.025,-3217.275,-68.35,593.2,-2995.45
2026-01-01 05:00:00+00:00,685.2,17.1,543.8,735.9,208.875,1403.875,0.0,1412.25,-668.1,-1195.0,-1412.25,192.10000000000002,-3083.25
2026-01-01 06:00:00+00:00,1328.3,0.0,541.55,0.0,57.775,1426.475,0.0,0.0,-1328.3,-1368.6999999999998,0.0,-541.55,-3238.55
2026-01-01 07:00:00+00:00,1105.775,0.0,0.0,844.6,0.0,2765.5,0.0,340.275,-1105.775,-2765.5,-340.275,844.6,-3366.9500000000003
2026-01-01 08:00:00+00:00,1044.925,0.0,1819.65,890.1,325.275,1507.15,14.725,225.375,-1044.925,-1181.875,-210.65,-929.5500000000001,-3367.0000000000005
2026-01-01 09:00:00+00:00,708.15,0.0,0.0,922.025,0.0,3210.975,9.75,500.95,-708.15,-3210.975,-491.2,922.025,-3488.2999999999997
2026-01-01 10:00:00+00:00,424.9,0.0,683.375,981.85,0.0,3421.95,20.225,0.0,-424.9,-3421.95,20.225,298.475,-3528.15
2026-01-01 11:00:00+00:00,1211.1,0.0,1312.1,0.0,247.3,1072.65,12.925,155.425,-1211.1,-825.3500000000001,-142.5,-1312.1,-3491.0499999999997
2026-01-01 12:00:00+00:00,777.75,0.0,1347.625,0.0,180.625,1297.55,19.575,369.325,-777.75,-1116.925,-349.75,-1347.625,-3592.05
2026-01-01 13:00:00+00:00,749.075,0.0,1335.5,0.0,132.225,1092.675,6.625,587.825,-749.075,-960.4499999999999,-581.2,-1335.5,-3626.2250000000004
2026-01-01 14:00:00+00:00,925.8,1.7,636.05,0.0,107.825,1724.325,6.775,419.4,-924.0999999999999,-1616.5,-412.625,-636.05,-3589.2749999999996
2026-01-01 15:00:00+00:00,970.3,0.0,1270.65,1455.45,200.275,2576.7,4.575,442.125,-970.3,-2376.4249999999997,-437.55,184.79999999999995,-3599.4749999999995
2026-01-01 16:00:00+00:00,274.675,1.85,1878.85,0.0,273.525,532.8,0.0,1186.075,-272.825,-259.275,-1186.075,-1878.85,-3597.0249999999996
2026-01-01 17:00:00+00:00,1318.85,0.0,561.325,0.0,99.375,1494.925,0.0,213.65,-1318.85,-1395.55,-213.65,-561.325,-3489.375
2026-01-01 18:00:00+00:00,1074.75,2.425,1158.55,0.0,230.0,926.275,0.0,476.95,-1072.325,-696.275,-476.95,-1158.55,-3404.0999999999995
2026-01-01 19:00:00+00:00,1624.725,0.0,564.075,1526.875,124.4,2826.45,74.55,14.85,-1624.725,-2702.0499999999997,59.699999999999996,962.8,-3304.2749999999996
2026-01-01 20:00:00+00:00,1259.175,0.0,565.7,0.0,120.55,1308.575,105.425,378.6,-1259.175,-1188.025,-273.175,-565.7,-3286.075
2026-01-01 21:00:00+00:00,1186.15,0.0,555.625,0.0,0.0,1608.975,158.825,0.0,-1186.15,-1608.975,158.825,-555.625,-3191.925
2026-01-01 22:00:00+00:00,1231.225,0.0,0.0,0.0,0.0,1862.85,0.0,64.375,-1231.225,-1862.85,-64.375,0.0,-3158.45
2026-01-01 23:00:00+00:00,835.4,0.0,71.85,7.425,0.0,1740.35,0.0,474.175,-835.4,-1740.35,-474.175,-64.425,-3114.3500000000004
2026-01-02 00:00:00+00:00,1087.45,0.0,92.875,10.325,0.0,1622.675,0.0,229.95,-1087.45,-1622.675,-229.95,-82.55,-3022.625
2026-01-02 01:00:00+00:00,1264.925,0.0,147.925,0.0,0.0,1446.55,0.0,123.9,-1264.925,-1446.55,-123.9,-147.925,-2983.3
2026-01-02 02:00:00+00:00,1285.8,0.0,157.85,0.0,0.0,1234.6,0.0,245.875,-1285.8,-1234.6,-245.875,-157.85,-2924.1249999999995
2026-01-02 03:00:00+00:00,1335.575,0.0,20.7,13.75,0.0,1409.75,0.0,242.6,-1335.575,-1409.75,-242.6,-6.949999999999999,-2994.8749999999995
2026-01-02 04:00:00+00:00,1370.55,0.0,0.0,147.6,0.0,1649.825,0.0,274.7,-1370.55,-1649.825,-274.7,147.6,-3147.475
2026-01-02 05:00:00+00:00,1427.25,0.0,0.0,23.775,0.0,1685.175,0.0,443.325,-1427.25,-1685.175,-443.325,23.775,-3531.975
2026-01-02 06:00:00+00:00,1991.25,0.0,9.025,13.95,0.0,898.2,0.0,886.975,-1991.25,-898.2,-886.975,4.924999999999999,-3771.4999999999995
2026-01-02 07:00:00+00:00,2136.25,0.0,19.15,0.0,0.0,804.45,0.0,884.375,-2136.25,-804.45,-884.375,-19.15,-3844.225
2026-01-02 08:00:00+00:00,2226.725,0.0,19.25,0.0,0.0,800.925,0.0,836.7,-2226.725,-800.925,-836.7,-19.25,-3883.5999999999995
2026-01-02 09:00:00+00:00,2270.75,0.0,0.0,0.0,0.0,1247.775,0.0,478.9,-2270.75,-1247.775,-478.9,0.0,-3997.425
2026-01-02 10:00:00+00:00,2346.9,0.0,0.0,0.05,0.0,1226.275,0.0,486.9,-2346.9,-1226.275,-486.9,0.05,-4060.025
2026-01-02 11:00:00+00:00,2279.525,0.0,0.0,0.0,0.0,1298.4,0.0,578.975,-2279.525,-1298.4,-578.975,0.0,-4156.900000000001
2026-01-02 12:00:00+00:00,2082.75,0.0,0.0,0.0,0.0,1340.325,0.0,746.9,-2082.75,-1340.325,-746.9,0.0,-4169.974999999999
2026-01-02 13:00:00+00:00,1782.725,0.0,0.075,0.0,0.0,1326.725,0.0,982.475,-1782.725,-1326.725,-982.475,-0.075,-4091.9999999999995
2026-01-02 14:00:00+00:00,450.675,0.0,0.0,0.0,0.0,1630.1,0.0,1952.425,-450.675,-1630.1,-1952.425,0.0,-4033.2
2026-01-02 15:00:00+00:00,78.4,8.575,0.0,0.0,0.0,1741.25,0.0,2144.15,-69.825,-1741.25,-2144.15,0.0,-3955.2250000000004
2026-01-02 16:00:00+00:00,21.425,49.425,0.0,0.0,0.0,1700.025,0.0,2242.525,27.999999999999996,-1700.025,-2242.525,0.0,-3914.55
2026-01-02 17:00:00+00:00,14.925,0.025,0.025,0.0,0.0,2059.55,0.0,1734.425,-14.9,-2059.55,-1734.425,-0.025,-3808.9
2026-01-02 18:00:00+00:00,81.1,0.0,0.075,0.0,0.0,2189.625,0.0,1513.5,-81.1,-2189.625,-1513.5,-0.075,-3784.2999999999997
2026-01-02 19:00:00+00:00,125.65,0.0,0.0,0.0,0.0,2288.95,0.0,1304.4,-125.65,-2288.95,-1304.4,0.0,-3719.0
2026-01-02 20:00:00+00:00,61.125,0.0,0.05,0.0,0.0,2260.575,0.0,1286.075,-61.125,-2260.575,-1286.075,-0.05,-3607.825
2026-01-02 21:00:00+00:00,488.7,0.0,5.15,0.0,0.0,2352.375,0.0,665.6,-488.7,-2352.375,-665.6,-5.15,-3511.825
2026-01-02 22:00:00+00:00,215.75,0.0,83.1,0.0,0.0,2401.3,0.0,585.625,-215.75,-2401.3,-585.625,-83.1,-3285.775
2026-01-02 23:00:00+00:00,42.025,0.0,0.0,0.0,0.0,2523.325,0.0,605.05,-42.025,-2523.325,-605.05,0.0,-3170.3999999999996
2026-01-03 00:00:00+00:00,133.05,0.0,0.0,0.0,0.0,2395.2,0.0,644.225,-133.05,-2395.2,-644.225,0.0,-3172.475
2026-01-03 01:00:00+00:00,286.725,0.0,0.0,0.0,0.0,2447.15,0.0,428.925,-286.725,-2447.15,-428.925,0.0,-3162.8
2026-01-03 02:00:00+00:00,238.45,0.0,0.0,3.65,0.0,2428.175,0.0,466.175,-238.45,-2428.175,-466.175,3.65,-3129.15
2026-01-03 03:00:00+00:00,2.475,7.675,0.0,0.0,0.0,2154.65,0.0,983.15,5.199999999999999,-2154.65,-983.15,0.0,-3132.6000000000004
2026-01-03 04:00:00+00:00,3.325,7.075,0.0,0.0,0.0,2357.65,0.0,799.25,3.75,-2357.65,-799.25,0.0,-3153.15
2026-01-03 05:00:00+00:00,215.1,0.0,0.0,18.3,0.0,2373.55,0.0,724.75,-215.1,-2373.55,-724.75,18.3,-3295.1
2026-01-03 06:00:00+00:00,121.75,0.0,0.0,3.425,0.0,2166.2,0.0,1119.85,-121.75,-2166.2,-1119.85,3.425,-3404.3749999999995
2026-01-03 07:00:00+00:00,59.75,0.0,4.375,0.0,0.0,1972.55,0.0,1492.225,-59.75,-1972.55,-1492.225,-4.375,-3528.8999999999996
2026-01-03 08:00:00+00:00,14.3,0.0,21.025,0.0,0.0,1792.6,0.0,1757.575,-14.3,-1792.6,-1757.575,-21.025,-3585.5
2026-01-03 09:00:00+00:00,13.775,8.925,15.0,0.0,0.0,1709.925,0.0,1920.8,-4.85,-1709.925,-1920.8,-15.0,-3650.575
2026-01-03 10:00:00+00:00,0.0,37.475,16.275,0.0,0.0,1486.575,0.0,2357.625,37.475,-1486.575,-2357.625,-16.275,-3823.0000000000005
2026-01-03 11:00:00+00:00,0.0,23.025,13.1,0.0,0.0,1476.8,0.0,2450.8,23.025,-1476.8,-2450.8,-13.1,-3917.6749999999997
2026-01-03 12:00:00+00:00,11.35,2.5,16.05,0.0,0.0,1407.65,0.0,2481.025,-8.85,-1407.65,-2481.025,-16.05,-3913.5750000000003
2026-01-03 13:00:00+00:00,0.0,31.625,18.825,0.0,0.0,1437.1,0.0,2389.625,31.625,-1437.1,-2389.625,-18.825,-3813.9249999999997
2026-01-03 14:00:00+00:00,2.325,9.525,6.2,0.0,0.0,1406.55,0.0,2356.25,7.2,-1406.55,-2356.25,-6.2,-3761.7999999999997
2026-01-03 15:00:00+00:00,0.0,27.275,13.85,0.0,0.0,1449.95,0.0,2409.625,27.275,-1449.95,-2409.625,-13.85,-3846.15
